autonum,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,appr_comm_id,appr_hh_code,appr_n_accpt,appr_n_rfs,abordaje_vivienda_complete,,,,
351,baseline_visit_arm_1,,,01,486,1,1,1,,,,
352,baseline_visit_arm_1,,,01,489,1,0,1,,,,
353,baseline_visit_arm_1,,,01,488,4,1,1,,,,
354,baseline_visit_arm_1,,,01,472,0,3,1,,,,
355,baseline_visit_arm_1,,,01,481,4,0,1,,,,
356,baseline_visit_arm_1,,,01,117,0,3,1,,,,
357,baseline_visit_arm_1,,,01,124,4,1,1,,,,
358,baseline_visit_arm_1,,,01,120,0,4,1,,,,
359,baseline_visit_arm_1,,,01,477,3,1,1,,,,
360,baseline_visit_arm_1,,,01,471,1,5,1,,,,
361,baseline_visit_arm_1,,,01,480,6,0,1,,,,
362,baseline_visit_arm_1,,,01,132,3,0,1,,,,
363,baseline_visit_arm_1,,,01,478,3,0,1,,,,
364,baseline_visit_arm_1,,,01,178,5,3,1,,,,
365,baseline_visit_arm_1,,,01,507,3,0,1,,,,
366,baseline_visit_arm_1,,,01,512,2,0,1,,,,
367,baseline_visit_arm_1,,,01,179,2,1,1,,,,
368,baseline_visit_arm_1,,,01,206,2,1,1,,,,
369,baseline_visit_arm_1,,,01,207,2,3,1,,,,
370,baseline_visit_arm_1,,,01,219,4,0,1,,,,
371,baseline_visit_arm_1,,,01,491,0,3,1,,,,
372,baseline_visit_arm_1,,,01,173,3,2,1,,,,
373,baseline_visit_arm_1,,,01,193,1,0,1,,,,
374,baseline_visit_arm_1,,,01,197,2,1,1,,,,
375,baseline_visit_arm_1,,,01,203,1,4,1,,,,
376,baseline_visit_arm_1,,,01,202,3,1,1,,,,
377,baseline_visit_arm_1,,,01,174,1,0,1,,,,
378,baseline_visit_arm_1,,,01,192,1,4,1,,,,
379,baseline_visit_arm_1,,,01,198,5,1,1,,,,
380,baseline_visit_arm_1,,,01,199,5,3,1,,,,
381,baseline_visit_arm_1,,,01,180,1,2,1,,,,
382,baseline_visit_arm_1,,,01,183,1,4,1,,,,
383,baseline_visit_arm_1,,,01,503,1,6,1,,,,
384,baseline_visit_arm_1,,,01,493,2,4,1,,,,
385,baseline_visit_arm_1,,,01,209,1,2,1,,,,
386,baseline_visit_arm_1,,,01,511,4,0,1,,,,
387,baseline_visit_arm_1,,,01,495,3,1,1,,,,
388,baseline_visit_arm_1,,,01,497,1,2,1,,,,
389,baseline_visit_arm_1,,,01,172,3,0,1,,,,
390,baseline_visit_arm_1,,,01,181,3,2,1,,,,
391,baseline_visit_arm_1,,,01,494,1,0,1,,,,
392,baseline_visit_arm_1,,,01,189,1,3,1,,,,
393,baseline_visit_arm_1,,,01,195,3,4,1,,,,
394,baseline_visit_arm_1,,,01,182,5,0,1,,,,
395,baseline_visit_arm_1,,,01,156,2,5,1,,,,
396,baseline_visit_arm_1,,,01,141,1,5,1,,,,
397,baseline_visit_arm_1,,,01,155,1,2,1,,,,
398,baseline_visit_arm_1,,,01,210,2,0,1,,,,
399,baseline_visit_arm_1,,,01,524,1,2,1,,,,
400,baseline_visit_arm_1,,,01,521,5,1,1,,,,
401,baseline_visit_arm_1,,,01,229,1,4,1,,,,
402,baseline_visit_arm_1,,,01,520,2,2,1,,,,
403,baseline_visit_arm_1,,,01,242,2,0,1,,,,
404,baseline_visit_arm_1,,,01,461,1,0,1,,,,
405,baseline_visit_arm_1,,,01,460,4,0,1,,,,
406,baseline_visit_arm_1,,,01,227,3,2,1,,,,
407,baseline_visit_arm_1,,,01,519,5,1,1,,,,
408,baseline_visit_arm_1,,,01,226,2,2,1,,,,
409,baseline_visit_arm_1,,,01,224,3,3,1,,,,
410,baseline_visit_arm_1,,,01,230,6,0,1,,,,
411,baseline_visit_arm_1,,,01,221,1,2,1,,,,
412,baseline_visit_arm_1,,,01,518,3,1,1,,,,
413,baseline_visit_arm_1,,,01,522,4,1,1,,,,
414,baseline_visit_arm_1,,,01,509,1,2,1,,,,
415,baseline_visit_arm_1,,,01,510,3,0,1,,,,
416,baseline_visit_arm_1,,,01,231,4,0,1,,,,
417,baseline_visit_arm_1,,,01,266,3,0,1,,,,
418,baseline_visit_arm_1,,,01,265,5,0,1,,,,
419,baseline_visit_arm_1,,,01,523,4,1,1,,,,
420,baseline_visit_arm_1,,,01,538,3,2,1,,,,
421,baseline_visit_arm_1,,,01,535,0,4,1,,,,
422,baseline_visit_arm_1,,,01,528,1,0,1,,,,
423,baseline_visit_arm_1,,,01,264,1,2,1,,,,
424,baseline_visit_arm_1,,,01,473,1,1,1,,,,
425,baseline_visit_arm_1,,,01,499,2,1,1,,,,
426,baseline_visit_arm_1,,,01,527,1,2,1,,,,
427,baseline_visit_arm_1,,,01,530,1,2,1,,,,
428,baseline_visit_arm_1,,,01,533,1,3,1,,,,
429,baseline_visit_arm_1,,,01,536,4,0,1,,,,
430,baseline_visit_arm_1,,,01,526,0,1,1,,,,
431,baseline_visit_arm_1,,,01,532,0,2,1,,,,
432,baseline_visit_arm_1,,,01,527,0,4,1,,,,
433,baseline_visit_arm_1,,,01,241,1,2,1,,,,
434,baseline_visit_arm_1,,,01,205,4,1,1,,,,
437,baseline_visit_arm_1,,,01,243,1,3,1,,,,
438,baseline_visit_arm_1,,,01,244,2,1,1,,,,
439,baseline_visit_arm_1,,,01,280,1,1,1,,,,
440,baseline_visit_arm_1,,,01,279,1,0,1,,,,
441,baseline_visit_arm_1,,,01,245,4,4,1,,,,
442,baseline_visit_arm_1,,,01,601,0,2,1,,,,
443,baseline_visit_arm_1,,,01,263,5,0,1,,,,
444,baseline_visit_arm_1,,,01,257,0,5,1,,,,
445,baseline_visit_arm_1,,,01,254,0,3,1,,,,
446,baseline_visit_arm_1,,,01,249,0,5,1,,,,
447,baseline_visit_arm_1,,,01,545,0,1,1,,,,
448,baseline_visit_arm_1,,,01,259,1,0,1,,,,
449,baseline_visit_arm_1,,,01,258,2,1,1,,,,
450,baseline_visit_arm_1,,,01,537,1,2,1,,,,
452,baseline_visit_arm_1,,,01,547,1,2,1,,,,
453,baseline_visit_arm_1,,,01,548,1,1,1,,,,
454,baseline_visit_arm_1,,,01,543,3,3,1,,,,
455,baseline_visit_arm_1,,,01,552,1,0,1,,,,
456,baseline_visit_arm_1,,,01,555,1,2,1,,,,
457,baseline_visit_arm_1,,,01,568,3,2,1,,,,
458,baseline_visit_arm_1,,,01,214,4,1,1,,,,
459,baseline_visit_arm_1,,,01,145,6,0,1,,,,
460,baseline_visit_arm_1,,,01,500,4,0,1,,,,
461,baseline_visit_arm_1,,,01,306,1,0,1,,,,
462,baseline_visit_arm_1,,,01,315,1,0,1,,,,
463,baseline_visit_arm_1,,,01,285,1,0,1,,,,
464,baseline_visit_arm_1,,,01,248,2,0,1,,,,
465,baseline_visit_arm_1,,,01,312,6,0,1,,,,
466,baseline_visit_arm_1,,,01,309,0,2,1,,,,
467,baseline_visit_arm_1,,,01,702,3,0,1,,,,
468,baseline_visit_arm_1,,,01,561,5,0,1,,,,
469,baseline_visit_arm_1,,,01,549,1,0,1,,,,
470,baseline_visit_arm_1,,,01,544,4,2,1,,,,
471,baseline_visit_arm_1,,,01,560,3,6,1,,,,
472,baseline_visit_arm_1,,,01,550,1,3,1,,,,
473,baseline_visit_arm_1,,,01,554,0,1,1,,,,
474,baseline_visit_arm_1,,,01,534,1,2,1,,,,
475,baseline_visit_arm_1,,,01,314,6,0,1,,,,
476,baseline_visit_arm_1,,,01,290,1,3,1,,,,
477,baseline_visit_arm_1,,,01,292,1,0,1,,,,
478,baseline_visit_arm_1,,,01,329,2,6,1,,,,
479,baseline_visit_arm_1,,,01,559,4,0,1,,,,
480,baseline_visit_arm_1,,,01,328,1,1,1,,,,
481,baseline_visit_arm_1,,,01,187,3,3,1,,,,
482,baseline_visit_arm_1,,,01,505,2,2,1,,,,
483,baseline_visit_arm_1,,,01,569,4,0,1,,,,
484,baseline_visit_arm_1,,,01,570,1,0,1,,,,
486,baseline_visit_arm_1,,,01,950,0,2,1,,,,
487,baseline_visit_arm_1,,,01,580,3,1,1,,,,
488,baseline_visit_arm_1,,,01,515,1,2,1,,,,
490,baseline_visit_arm_1,,,01,514,3,0,1,,,,
491,baseline_visit_arm_1,,,01,297,2,3,1,,,,
492,baseline_visit_arm_1,,,01,551,0,6,1,,,,
493,baseline_visit_arm_1,,,01,159,0,2,1,,,,
494,baseline_visit_arm_1,,,01,562,0,1,1,,,,
495,baseline_visit_arm_1,,,01,581,7,0,1,,,,
496,baseline_visit_arm_1,,,01,558,2,0,1,,,,
497,baseline_visit_arm_1,,,01,578,0,1,1,,,,
498,baseline_visit_arm_1,,,01,579,3,0,1,,,,
499,baseline_visit_arm_1,,,01,176,5,3,1,,,,
500,baseline_visit_arm_1,,,01,201,1,4,1,,,,
501,baseline_visit_arm_1,,,01,331,4,7,1,,,,
502,baseline_visit_arm_1,,,01,574,1,2,1,,,,
503,baseline_visit_arm_1,,,01,587,1,2,1,,,,
504,baseline_visit_arm_1,,,01,589,1,0,1,,,,
505,baseline_visit_arm_1,,,01,588,5,2,1,,,,
506,baseline_visit_arm_1,,,01,584,1,5,1,,,,
507,baseline_visit_arm_1,,,01,295,0,1,1,,,,
508,baseline_visit_arm_1,,,01,299,3,0,1,,,,
77,baseline_visit_arm_1,,,02,286,2,2,1,,807,,
78,baseline_visit_arm_1,,,02,288,1,5,1,,,,
79,baseline_visit_arm_1,,,02,478,1,3,1,,,,
80,baseline_visit_arm_1,,,02,277,1,2,1,,,,
81,baseline_visit_arm_1,,,02,477,1,6,1,,,,
82,baseline_visit_arm_1,,,02,294,1,2,1,,,,
83,baseline_visit_arm_1,,,02,287,3,5,1,,,,
84,baseline_visit_arm_1,,,02,476,4,1,1,,,,
85,baseline_visit_arm_1,,,02,289,4,3,1,,,,
86,baseline_visit_arm_1,,,02,278,1,5,1,,,,
87,baseline_visit_arm_1,,,02,291,3,3,1,,,,
88,baseline_visit_arm_1,,,02,316,1,3,1,,,,
89,baseline_visit_arm_1,,,02,310,2,1,1,,,,
90,baseline_visit_arm_1,,,02,308,04,03,1,,,,
91,baseline_visit_arm_1,,,02,309,1,1,1,,,,
92,baseline_visit_arm_1,,,02,295,2,2,1,,,,
93,baseline_visit_arm_1,,,02,314,2,0,1,,,,
94,baseline_visit_arm_1,,,02,313,3,2,1,,,,
95,baseline_visit_arm_1,,,02,481,4,0,1,,,,
96,baseline_visit_arm_1,,,02,300,3,0,1,,,,
97,baseline_visit_arm_1,,,02,305,2,3,1,,,,
98,baseline_visit_arm_1,,,02,480,3,2,1,,,,
99,baseline_visit_arm_1,,,02,293,4,0,1,,,,
100,baseline_visit_arm_1,,,02,307,2,2,1,,,,
101,baseline_visit_arm_1,,,02,292,2,1,1,,,,
102,baseline_visit_arm_1,,,02,484,2,2,1,,,,
103,baseline_visit_arm_1,,,02,301,5,1,1,,,,
104,baseline_visit_arm_1,,,02,296,5,0,1,,,,
105,baseline_visit_arm_1,,,02,299,7,3,1,,,,
106,baseline_visit_arm_1,,,02,304,3,7,1,,,,
107,baseline_visit_arm_1,,,02,315,5,0,1,,,,
108,baseline_visit_arm_1,,,02,271,2,1,1,,,,
109,baseline_visit_arm_1,,,02,257,2,2,1,,,,
110,baseline_visit_arm_1,,,02,495,0,2,1,,,,
111,baseline_visit_arm_1,,,02,185,4,3,1,,,,
112,baseline_visit_arm_1,,,02,189,3,0,1,,,,
113,baseline_visit_arm_1,,,02,269,2,0,1,,,,
114,baseline_visit_arm_1,,,02,259,5,0,1,,,,
115,baseline_visit_arm_1,,,02,400,1,2,1,,,,
116,baseline_visit_arm_1,,,02,498,1,0,1,,,,
117,baseline_visit_arm_1,,,02,256,1,1,1,,,,
118,baseline_visit_arm_1,,,02,248,2,0,1,,,,
119,baseline_visit_arm_1,,,02,204,4,3,1,,,,
120,baseline_visit_arm_1,,,02,501,0,5,1,,,,
121,baseline_visit_arm_1,,,02,510,2,0,1,,,,
122,baseline_visit_arm_1,,,02,197,1,4,1,,,,
124,baseline_visit_arm_1,,,02,485,0,1,1,,,,
125,baseline_visit_arm_1,,,02,207,0,2,1,,,,
126,baseline_visit_arm_1,,,02,202,1,5,1,,,,
127,baseline_visit_arm_1,,,02,496,1,0,1,,,,
128,baseline_visit_arm_1,,,02,497,4,1,1,,,,
129,baseline_visit_arm_1,,,02,258,1,0,1,,,,
130,baseline_visit_arm_1,,,02,215,2,1,1,,,,
131,baseline_visit_arm_1,,,02,267,1,2,1,,,,
132,baseline_visit_arm_1,,,02,182,4,1,1,,,,
133,baseline_visit_arm_1,,,02,192,4,0,1,,,,
134,baseline_visit_arm_1,,,02,272,2,1,1,,,,
135,baseline_visit_arm_1,,,02,704,3,2,1,,,,
136,baseline_visit_arm_1,,,02,186,6,0,1,,,,
138,baseline_visit_arm_1,,,02,452,3,0,1,,,,
139,baseline_visit_arm_1,,,02,180,6,0,1,,,,
140,baseline_visit_arm_1,,,02,265,2,6,1,,,,
141,baseline_visit_arm_1,,,02,262,2,1,1,,,,
143,baseline_visit_arm_1,,,02,179,5,0,1,,,,
144,baseline_visit_arm_1,,,02,188,2,2,1,,,,
146,baseline_visit_arm_1,,,02,165,1,2,1,,,,
147,baseline_visit_arm_1,,,02,175,3,3,1,,,,
148,baseline_visit_arm_1,,,02,494,2,3,1,,,,
149,baseline_visit_arm_1,,,02,264,2,5,1,,,,
150,baseline_visit_arm_1,,,02,141,2,1,1,,,,
151,baseline_visit_arm_1,,,02,200,2,2,1,,,,
152,baseline_visit_arm_1,,,02,146,3,1,1,,,,
153,baseline_visit_arm_1,,,02,240,5,0,1,,,,
154,baseline_visit_arm_1,,,02,170,1,0,1,,,,
155,baseline_visit_arm_1,,,02,166,5,0,1,,,,
156,baseline_visit_arm_1,,,02,243,1,4,1,,,,
157,baseline_visit_arm_1,,,02,161,2,1,1,,,,
158,baseline_visit_arm_1,,,02,511,4,0,1,,,,
160,baseline_visit_arm_1,,,02,235,2,3,1,,,,
161,baseline_visit_arm_1,,,02,184,5,0,1,,,,
162,baseline_visit_arm_1,,,02,148,5,3,1,,,,
163,baseline_visit_arm_1,,,02,234,1,0,1,,,,
164,baseline_visit_arm_1,,,02,236,1,1,1,,,,
165,baseline_visit_arm_1,,,02,487,0,2,1,,,,
166,baseline_visit_arm_1,,,02,167,1,0,1,,,,
167,baseline_visit_arm_1,,,02,187,5,0,1,,,,
168,baseline_visit_arm_1,,,02,145,5,1,1,,,,
169,baseline_visit_arm_1,,,02,237,2,4,1,,,,
170,baseline_visit_arm_1,,,02,160,1,2,1,,,,
171,baseline_visit_arm_1,,,02,495,3,0,1,,,,
172,baseline_visit_arm_1,,,02,147,2,4,1,,,,
173,baseline_visit_arm_1,,,02,246,4,0,1,,,,
174,baseline_visit_arm_1,,,02,172,1,1,1,,,,
175,baseline_visit_arm_1,,,02,201,4,2,1,,,,
176,baseline_visit_arm_1,,,02,142,3,0,1,,,,
177,baseline_visit_arm_1,,,02,164,1,3,1,,,,
178,baseline_visit_arm_1,,,02,312,0,3,1,,,,
180,baseline_visit_arm_1,,,02,255,2,0,1,,,,
183,baseline_visit_arm_1,,,02,326,3,1,1,,,,
184,baseline_visit_arm_1,,,02,325,1,1,1,,,,
185,baseline_visit_arm_1,,,02,324,5,1,1,,,,
186,baseline_visit_arm_1,,,02,403,3,0,1,,,,
187,baseline_visit_arm_1,,,02,328,3,4,1,,,,
188,baseline_visit_arm_1,,,02,327,1,3,1,,,,
189,baseline_visit_arm_1,,,02,319,2,1,1,,,,
190,baseline_visit_arm_1,,,02,320,1,2,1,,,,
191,baseline_visit_arm_1,,,02,323,3,8,1,,,,
192,baseline_visit_arm_1,,,02,650,1,0,1,,,,
193,baseline_visit_arm_1,,,02,329,7,0,1,,,,
194,baseline_visit_arm_1,,,02,322,2,4,1,,,,
195,baseline_visit_arm_1,,,02,318,2,1,1,,,,
196,baseline_visit_arm_1,,,02,273,5,1,1,,,,
197,baseline_visit_arm_1,,,02,117,5,0,1,,,,
199,baseline_visit_arm_1,,,02,131,3,1,1,,,,
200,baseline_visit_arm_1,,,02,285,2,1,1,,,,
203,baseline_visit_arm_1,,,02,107,1,0,1,,,,
205,baseline_visit_arm_1,,,02,483,1,4,1,,,,
206,baseline_visit_arm_1,,,02,516,3,0,1,,,,
207,baseline_visit_arm_1,,,02,109,1,4,1,,,,
208,baseline_visit_arm_1,,,02,114,1,2,1,,,,
209,baseline_visit_arm_1,,,02,658,3,0,1,,,,
210,baseline_visit_arm_1,,,02,485,1,0,1,,,,
211,baseline_visit_arm_1,,,02,655,4,1,1,,,,
212,baseline_visit_arm_1,,,02,656,4,1,1,,,,
214,baseline_visit_arm_1,,,02,249,1,2,1,,,,
215,baseline_visit_arm_1,,,02,110,2,1,1,,,,
216,baseline_visit_arm_1,,,02,116,3,1,1,,,,
217,baseline_visit_arm_1,,,02,263,5,0,1,,,,
218,baseline_visit_arm_1,,,02,118,2,4,1,,,,
219,baseline_visit_arm_1,,,02,121,2,0,1,,,,
223,baseline_visit_arm_1,,,02,149,1,3,1,,,,
224,baseline_visit_arm_1,,,02,151,2,3,1,,,,
225,baseline_visit_arm_1,,,02,657,2,0,1,,,,
226,baseline_visit_arm_1,,,02,221,0,1,1,,,,
227,baseline_visit_arm_1,,,02,693,0,2,1,,,,
228,baseline_visit_arm_1,,,02,217,2,0,1,,,,
229,baseline_visit_arm_1,,,02,242,4,3,1,,,,
230,baseline_visit_arm_1,,,02,105,3,2,1,,,,
231,baseline_visit_arm_1,,,02,106,1,2,1,,,,
233,baseline_visit_arm_1,,,02,244,3,3,1,,,,
234,baseline_visit_arm_1,,,02,209,4,0,1,,,,
235,baseline_visit_arm_1,,,02,660,5,2,1,,,,
236,baseline_visit_arm_1,,,02,703,2,1,1,,,,
237,baseline_visit_arm_1,,,02,252,3,2,1,,,,
239,baseline_visit_arm_1,,,02,168,1,0,1,,,,
240,baseline_visit_arm_1,,,02,517,0,6,1,,,,
241,baseline_visit_arm_1,,,02,247,6,0,1,,,,
242,baseline_visit_arm_1,,,02,122,3,5,1,,,,
243,baseline_visit_arm_1,,,02,515,5,0,1,,,,
244,baseline_visit_arm_1,,,02,127,1,1,1,,,,
245,baseline_visit_arm_1,,,02,210,1,2,1,,,,
246,baseline_visit_arm_1,,,02,129,4,0,1,,,,
247,baseline_visit_arm_1,,,02,102,5,1,1,,,,
248,baseline_visit_arm_1,,,02,133,1,3,1,,,,
249,baseline_visit_arm_1,,,02,230,1,2,1,,,,
250,baseline_visit_arm_1,,,02,218,2,0,1,,,,
251,baseline_visit_arm_1,,,02,241,2,1,1,,,,
252,baseline_visit_arm_1,,,02,514,1,1,1,,,,
253,baseline_visit_arm_1,,,02,124,0,6,1,,,,
254,baseline_visit_arm_1,,,02,720,2,2,1,,,,
255,baseline_visit_arm_1,,,02,111,2,2,1,,,,
256,baseline_visit_arm_1,,,02,758,2,5,1,,,,
257,baseline_visit_arm_1,,,02,756,1,0,1,,,,
258,baseline_visit_arm_1,,,02,752,0,4,1,,,,
259,baseline_visit_arm_1,,,02,753,0,1,1,,,,
260,baseline_visit_arm_1,,,02,755,0,1,1,,,,
261,baseline_visit_arm_1,,,02,757,0,1,1,,,,
262,baseline_visit_arm_1,,,02,759,0,4,1,,,,
263,baseline_visit_arm_1,,,02,763,5,0,1,,,,
264,baseline_visit_arm_1,,,02,766,1,1,1,,,,
265,baseline_visit_arm_1,,,02,765,1,0,1,,,,
266,baseline_visit_arm_1,,,02,752,1,2,1,,,,
267,baseline_visit_arm_1,,,02,754,3,0,1,,,,
268,baseline_visit_arm_1,,,02,486,3,1,1,,,,
270,baseline_visit_arm_1,,,02,132,5,0,1,,,,
271,baseline_visit_arm_1,,,02,02489,1,3,1,,,,
272,baseline_visit_arm_1,,,02,139,1,1,1,,,,
273,baseline_visit_arm_1,,,02,108,1,2,1,,,,
274,baseline_visit_arm_1,,,02,135,3,0,1,,,,
275,baseline_visit_arm_1,,,02,518,3,4,1,,,,
276,baseline_visit_arm_1,,,02,137,0,3,1,,,,
277,baseline_visit_arm_1,,,02,212,3,0,1,,,,
278,baseline_visit_arm_1,,,02,213,1,2,1,,,,
279,baseline_visit_arm_1,,,02,750,2,0,1,,,,
280,baseline_visit_arm_1,,,02,751,2,3,1,,,,
281,baseline_visit_arm_1,,,02,760,1,1,1,,,,
282,baseline_visit_arm_1,,,02,761,1,0,1,,,,
283,baseline_visit_arm_1,,,02,157,6,0,1,,,,206
285,baseline_visit_arm_1,,,02,130,2,2,1,,,,
286,baseline_visit_arm_1,,,02,158,0,2,1,,,,
288,baseline_visit_arm_1,,,02,112,2,1,1,,,,
289,baseline_visit_arm_1,,,02,154,2,1,1,,,,
290,baseline_visit_arm_1,,,02,119,0,2,1,,,,
291,baseline_visit_arm_1,,,02,156,1,0,1,,,,
292,baseline_visit_arm_1,,,02,671,1,0,1,,,,
293,baseline_visit_arm_1,,,02,767,4,1,1,,,,
294,baseline_visit_arm_1,,,02,762,0,1,1,,,,
295,baseline_visit_arm_1,,,02,752,1,2,1,,,,
296,baseline_visit_arm_1,,,02,601,1,2,1,,,,
297,baseline_visit_arm_1,,,02,153,2,3,1,,,,
299,baseline_visit_arm_1,,,02,155,3,2,1,,,,
300,baseline_visit_arm_1,,,02,768,1,5,2,,,,
301,baseline_visit_arm_1,,,02,770,1,0,1,,,,
302,baseline_visit_arm_1,,,02,769,0,2,1,,,,
303,baseline_visit_arm_1,,,02,771,3,4,1,,,,
306,baseline_visit_arm_1,,,02,208,1,3,1,,,,
20,baseline_visit_arm_1,,,13,169,2,1,2,,230,,
21,baseline_visit_arm_1,,,13,150,3,1,2,,,,
22,baseline_visit_arm_1,,,13,128,2,3,2,,,,
23,baseline_visit_arm_1,,,13,160,1,2,2,,,,
24,baseline_visit_arm_1,,,13,144,2,2,2,,,,
25,baseline_visit_arm_1,,,13,129,2,1,2,,,,
26,baseline_visit_arm_1,,,13,450,1,5,2,,,,
27,baseline_visit_arm_1,,,13,142,0,3,2,,,,
28,baseline_visit_arm_1,,,13,137,0,3,2,,,,
29,baseline_visit_arm_1,,,13,131,5,0,2,,,,
30,baseline_visit_arm_1,,,13,153,0,7,2,,,,
31,baseline_visit_arm_1,,,13,167,1,4,2,,,,
32,baseline_visit_arm_1,,,13,120,1,2,2,,,,
33,baseline_visit_arm_1,,,13,104,2,1,2,,,,
34,baseline_visit_arm_1,,,13,155,2,5,2,,,,
35,baseline_visit_arm_1,,,13,166,1,0,2,,,,
36,baseline_visit_arm_1,,,13,162,3,2,2,,,,
37,baseline_visit_arm_1,,,13,130,3,1,2,,,,
38,baseline_visit_arm_1,,,13,154,0,6,2,,,,
39,baseline_visit_arm_1,,,13,139,1,2,2,,,,
40,baseline_visit_arm_1,,,13,152,2,1,2,,,,
41,baseline_visit_arm_1,,,13,136,0,7,2,,,,
42,baseline_visit_arm_1,,,13,132,2,0,2,,,,
43,baseline_visit_arm_1,,,13,141,1,1,2,,,,
44,baseline_visit_arm_1,,,13,149,3,4,2,,,,
45,baseline_visit_arm_1,,,13,127,3,4,2,,,,
46,baseline_visit_arm_1,,,13,168,01,02,2,,,,
47,baseline_visit_arm_1,,,13,148,5,1,2,,,,
48,baseline_visit_arm_1,,,13,153,1,5,1,,,,
49,baseline_visit_arm_1,,,13,151,1,5,1,,,,
50,baseline_visit_arm_1,,,13,105,3,3,1,,,,
51,baseline_visit_arm_1,,,13,111,2,0,1,,,,
52,baseline_visit_arm_1,,,13,124,1,2,1,,,,
53,baseline_visit_arm_1,,,13,114,2,0,1,,,,
54,baseline_visit_arm_1,,,13,118,1,0,1,,,,
55,baseline_visit_arm_1,,,13,134,4,1,1,,,,
56,baseline_visit_arm_1,,,13,146,1,0,1,,,,
57,baseline_visit_arm_1,,,13,110,3,0,1,,,,
58,baseline_visit_arm_1,,,13,115,5,4,1,,,,
59,baseline_visit_arm_1,,,13,123,2,0,1,,,,
60,baseline_visit_arm_1,,,13,126,5,0,1,,,,
61,baseline_visit_arm_1,,,13,145,3,0,1,,,,
62,baseline_visit_arm_1,,,13,106,2,0,1,,,,
63,baseline_visit_arm_1,,,13,116,5,2,2,,,,
64,baseline_visit_arm_1,,,13,451,1,0,1,,,,
65,baseline_visit_arm_1,,,13,122,3,1,1,,,,
66,baseline_visit_arm_1,,,13,121,1,5,1,,,,
67,baseline_visit_arm_1,,,13,119,3,2,1,,,,
68,baseline_visit_arm_1,,,13,112,5,0,1,,,,
69,baseline_visit_arm_1,,,13,113,3,0,1,,,,
70,baseline_visit_arm_1,,,13,400,2,0,1,,,,
72,baseline_visit_arm_1,,,13,108,3,3,1,,,,
73,baseline_visit_arm_1,,,13,107,5,0,1,,,,
74,baseline_visit_arm_1,,,13,103,1,1,1,,,,
75,baseline_visit_arm_1,,,13,125,1,4,1,,,,
76,baseline_visit_arm_1,,,13,101,5,1,1,,,,
1,baseline_visit_arm_1,,,22,106,,,2,,,,
2,baseline_visit_arm_1,,,22,113,,,2,,,,
3,baseline_visit_arm_1,,,22,109,,,2,,,,
4,baseline_visit_arm_1,,,22,575,,,2,,,,
5,baseline_visit_arm_1,,,22,119,,,2,,,,
