autonum,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,appr_comm_id,appr_hh_code,appr_hh_yn,appr_hh_not,appr_hh_not_other,appr_n_accpt,appr_n_rfs,appr_rfs_rsn_1,appr_rfs_rsn_other_1,appr_rfs_rsn_2,appr_rfs_rsn_other_2,appr_rfs_rsn_3,appr_rfs_rsn_other_3,appr_rfs_rsn_4,appr_rfs_rsn_other_4,appr_rfs_rsn_5,appr_rfs_rsn_other_5,appr_rfs_rsn_6,appr_rfs_rsn_other_6,appr_rfs_rsn_7,appr_rfs_rsn_other_7,appr_rfs_rsn_8,appr_rfs_rsn_other_8,appr_rfs_rsn_9,appr_rfs_rsn_other_9,appr_rfs_rsn_10,appr_rfs_rsn_other_10
40,baseline_visit_arm_1,,,13,152,,,,2,1,,,,,,,,,,,,,,,,,,,,
41,baseline_visit_arm_1,,,13,136,,,,0,7,,,,,,,,,,,,,,,,,,,,
42,baseline_visit_arm_1,,,13,132,,,,2,0,,,,,,,,,,,,,,,,,,,,
43,baseline_visit_arm_1,,,13,141,,,,1,1,,,,,,,,,,,,,,,,,,,,
44,baseline_visit_arm_1,,,13,149,,,,3,4,,,,,,,,,,,,,,,,,,,,
45,baseline_visit_arm_1,,,13,127,,,,3,4,,,,,,,,,,,,,,,,,,,,
46,baseline_visit_arm_1,,,13,168,,,,01,02,,,,,,,,,,,,,,,,,,,,
47,baseline_visit_arm_1,,,13,148,,,,5,1,,,,,,,,,,,,,,,,,,,,
48,baseline_visit_arm_1,,,13,153,,,,1,5,,,,,,,,,,,,,,,,,,,,
49,baseline_visit_arm_1,,,13,151,,,,1,5,,,,,,,,,,,,,,,,,,,,
50,baseline_visit_arm_1,,,13,105,,,,3,3,,,,,,,,,,,,,,,,,,,,
51,baseline_visit_arm_1,,,13,111,,,,2,0,,,,,,,,,,,,,,,,,,,,
52,baseline_visit_arm_1,,,13,124,,,,1,2,,,,,,,,,,,,,,,,,,,,
53,baseline_visit_arm_1,,,13,114,,,,2,0,,,,,,,,,,,,,,,,,,,,
54,baseline_visit_arm_1,,,13,118,,,,1,0,,,,,,,,,,,,,,,,,,,,
55,baseline_visit_arm_1,,,13,134,,,,4,1,,,,,,,,,,,,,,,,,,,,
56,baseline_visit_arm_1,,,13,146,,,,1,0,,,,,,,,,,,,,,,,,,,,
57,baseline_visit_arm_1,,,13,110,,,,3,0,,,,,,,,,,,,,,,,,,,,
58,baseline_visit_arm_1,,,13,115,,,,5,4,,,,,,,,,,,,,,,,,,,,
59,baseline_visit_arm_1,,,13,123,,,,2,0,,,,,,,,,,,,,,,,,,,,
60,baseline_visit_arm_1,,,13,126,,,,5,0,,,,,,,,,,,,,,,,,,,,
61,baseline_visit_arm_1,,,13,145,,,,3,0,,,,,,,,,,,,,,,,,,,,
62,baseline_visit_arm_1,,,13,106,,,,2,0,,,,,,,,,,,,,,,,,,,,
63,baseline_visit_arm_1,,,13,116,,,,5,2,,,,,,,,,,,,,,,,,,,,
64,baseline_visit_arm_1,,,13,451,,,,1,0,,,,,,,,,,,,,,,,,,,,
65,baseline_visit_arm_1,,,13,122,,,,3,1,,,,,,,,,,,,,,,,,,,,
66,baseline_visit_arm_1,,,13,121,,,,1,5,,,,,,,,,,,,,,,,,,,,
67,baseline_visit_arm_1,,,13,119,,,,3,2,,,,,,,,,,,,,,,,,,,,
68,baseline_visit_arm_1,,,13,112,,,,5,0,,,,,,,,,,,,,,,,,,,,
69,baseline_visit_arm_1,,,13,113,,,,3,0,,,,,,,,,,,,,,,,,,,,
70,baseline_visit_arm_1,,,13,400,,,,2,0,,,,,,,,,,,,,,,,,,,,
72,baseline_visit_arm_1,,,13,108,,,,3,3,,,,,,,,,,,,,,,,,,,,
73,baseline_visit_arm_1,,,13,107,,,,5,0,,,,,,,,,,,,,,,,,,,,
74,baseline_visit_arm_1,,,13,103,,,,1,1,,,,,,,,,,,,,,,,,,,,
75,baseline_visit_arm_1,,,13,125,,,,1,4,,,,,,,,,,,,,,,,,,,,
76,baseline_visit_arm_1,,,13,101,,,,5,1,,,,,,,,,,,,,,,,,,,,
77,baseline_visit_arm_1,,,02,286,,,,2,2,,,,,,,,,,,,,,,,,,,,
78,baseline_visit_arm_1,,,02,288,,,,1,5,,,,,,,,,,,,,,,,,,,,
79,baseline_visit_arm_1,,,02,478,,,,1,3,,,,,,,,,,,,,,,,,,,,
80,baseline_visit_arm_1,,,02,277,,,,1,2,,,,,,,,,,,,,,,,,,,,
81,baseline_visit_arm_1,,,02,477,,,,1,6,,,,,,,,,,,,,,,,,,,,
82,baseline_visit_arm_1,,,02,294,,,,1,2,,,,,,,,,,,,,,,,,,,,
83,baseline_visit_arm_1,,,02,287,,,,3,5,,,,,,,,,,,,,,,,,,,,
84,baseline_visit_arm_1,,,02,476,,,,4,1,,,,,,,,,,,,,,,,,,,,
85,baseline_visit_arm_1,,,02,289,,,,4,3,,,,,,,,,,,,,,,,,,,,
86,baseline_visit_arm_1,,,02,278,,,,1,5,,,,,,,,,,,,,,,,,,,,
87,baseline_visit_arm_1,,,02,291,,,,3,3,,,,,,,,,,,,,,,,,,,,
88,baseline_visit_arm_1,,,02,316,,,,1,3,,,,,,,,,,,,,,,,,,,,
89,baseline_visit_arm_1,,,02,310,,,,2,1,,,,,,,,,,,,,,,,,,,,
90,baseline_visit_arm_1,,,02,308,,,,04,03,,,,,,,,,,,,,,,,,,,,
91,baseline_visit_arm_1,,,02,309,,,,1,1,,,,,,,,,,,,,,,,,,,,
92,baseline_visit_arm_1,,,02,295,,,,2,2,,,,,,,,,,,,,,,,,,,,
93,baseline_visit_arm_1,,,02,314,,,,2,0,,,,,,,,,,,,,,,,,,,,
94,baseline_visit_arm_1,,,02,313,,,,3,2,,,,,,,,,,,,,,,,,,,,
95,baseline_visit_arm_1,,,02,481,,,,4,0,,,,,,,,,,,,,,,,,,,,
96,baseline_visit_arm_1,,,02,300,,,,3,0,,,,,,,,,,,,,,,,,,,,
97,baseline_visit_arm_1,,,02,305,,,,2,3,,,,,,,,,,,,,,,,,,,,
98,baseline_visit_arm_1,,,02,480,,,,3,2,,,,,,,,,,,,,,,,,,,,
99,baseline_visit_arm_1,,,02,293,,,,4,0,,,,,,,,,,,,,,,,,,,,
100,baseline_visit_arm_1,,,02,307,,,,2,2,,,,,,,,,,,,,,,,,,,,
101,baseline_visit_arm_1,,,02,292,,,,2,1,,,,,,,,,,,,,,,,,,,,
102,baseline_visit_arm_1,,,02,484,,,,2,2,,,,,,,,,,,,,,,,,,,,
103,baseline_visit_arm_1,,,02,301,,,,5,1,,,,,,,,,,,,,,,,,,,,
104,baseline_visit_arm_1,,,02,296,,,,5,0,,,,,,,,,,,,,,,,,,,,
105,baseline_visit_arm_1,,,02,299,,,,7,3,,,,,,,,,,,,,,,,,,,,
106,baseline_visit_arm_1,,,02,304,,,,3,7,,,,,,,,,,,,,,,,,,,,
107,baseline_visit_arm_1,,,02,315,,,,5,0,,,,,,,,,,,,,,,,,,,,
108,baseline_visit_arm_1,,,02,271,,,,2,1,,,,,,,,,,,,,,,,,,,,
109,baseline_visit_arm_1,,,02,257,,,,2,2,,,,,,,,,,,,,,,,,,,,
110,baseline_visit_arm_1,,,02,495,,,,0,2,,,,,,,,,,,,,,,,,,,,
111,baseline_visit_arm_1,,,02,185,,,,4,3,,,,,,,,,,,,,,,,,,,,
112,baseline_visit_arm_1,,,02,189,,,,3,0,,,,,,,,,,,,,,,,,,,,
113,baseline_visit_arm_1,,,02,269,,,,2,0,,,,,,,,,,,,,,,,,,,,
114,baseline_visit_arm_1,,,02,259,,,,5,0,,,,,,,,,,,,,,,,,,,,
115,baseline_visit_arm_1,,,02,400,,,,1,2,,,,,,,,,,,,,,,,,,,,
116,baseline_visit_arm_1,,,02,498,,,,1,0,,,,,,,,,,,,,,,,,,,,
117,baseline_visit_arm_1,,,02,256,,,,1,1,,,,,,,,,,,,,,,,,,,,
118,baseline_visit_arm_1,,,02,248,,,,2,0,,,,,,,,,,,,,,,,,,,,
119,baseline_visit_arm_1,,,02,204,,,,4,3,,,,,,,,,,,,,,,,,,,,
120,baseline_visit_arm_1,,,02,501,,,,0,5,,,,,,,,,,,,,,,,,,,,
121,baseline_visit_arm_1,,,02,510,,,,2,0,,,,,,,,,,,,,,,,,,,,
122,baseline_visit_arm_1,,,02,197,,,,1,4,,,,,,,,,,,,,,,,,,,,
124,baseline_visit_arm_1,,,02,485,,,,0,1,,,,,,,,,,,,,,,,,,,,
125,baseline_visit_arm_1,,,02,207,,,,0,2,,,,,,,,,,,,,,,,,,,,
126,baseline_visit_arm_1,,,02,202,,,,1,5,,,,,,,,,,,,,,,,,,,,
127,baseline_visit_arm_1,,,02,496,,,,1,0,,,,,,,,,,,,,,,,,,,,
128,baseline_visit_arm_1,,,02,497,,,,4,1,,,,,,,,,,,,,,,,,,,,
129,baseline_visit_arm_1,,,02,258,,,,1,0,,,,,,,,,,,,,,,,,,,,
130,baseline_visit_arm_1,,,02,215,,,,2,1,,,,,,,,,,,,,,,,,,,,
131,baseline_visit_arm_1,,,02,267,,,,1,2,,,,,,,,,,,,,,,,,,,,
132,baseline_visit_arm_1,,,02,182,,,,4,1,,,,,,,,,,,,,,,,,,,,
133,baseline_visit_arm_1,,,02,192,,,,4,0,,,,,,,,,,,,,,,,,,,,
134,baseline_visit_arm_1,,,02,272,,,,2,1,,,,,,,,,,,,,,,,,,,,
135,baseline_visit_arm_1,,,02,704,,,,3,2,,,,,,,,,,,,,,,,,,,,
136,baseline_visit_arm_1,,,02,186,,,,6,0,,,,,,,,,,,,,,,,,,,,
138,baseline_visit_arm_1,,,02,452,,,,3,0,,,,,,,,,,,,,,,,,,,,
139,baseline_visit_arm_1,,,02,180,,,,6,0,,,,,,,,,,,,,,,,,,,,
140,baseline_visit_arm_1,,,02,265,,,,2,6,,,,,,,,,,,,,,,,,,,,
141,baseline_visit_arm_1,,,02,262,,,,2,1,,,,,,,,,,,,,,,,,,,,
143,baseline_visit_arm_1,,,02,179,,,,5,0,,,,,,,,,,,,,,,,,,,,
144,baseline_visit_arm_1,,,02,188,,,,2,2,,,,,,,,,,,,,,,,,,,,
146,baseline_visit_arm_1,,,02,165,,,,1,2,,,,,,,,,,,,,,,,,,,,
147,baseline_visit_arm_1,,,02,175,,,,3,3,,,,,,,,,,,,,,,,,,,,
148,baseline_visit_arm_1,,,02,494,,,,2,3,,,,,,,,,,,,,,,,,,,,
149,baseline_visit_arm_1,,,02,264,,,,2,5,,,,,,,,,,,,,,,,,,,,
150,baseline_visit_arm_1,,,02,141,,,,2,1,,,,,,,,,,,,,,,,,,,,
151,baseline_visit_arm_1,,,02,200,,,,2,2,,,,,,,,,,,,,,,,,,,,
152,baseline_visit_arm_1,,,02,146,,,,3,1,,,,,,,,,,,,,,,,,,,,
153,baseline_visit_arm_1,,,02,240,,,,5,0,,,,,,,,,,,,,,,,,,,,
154,baseline_visit_arm_1,,,02,170,,,,1,0,,,,,,,,,,,,,,,,,,,,
155,baseline_visit_arm_1,,,02,166,,,,5,0,,,,,,,,,,,,,,,,,,,,
156,baseline_visit_arm_1,,,02,243,,,,1,4,,,,,,,,,,,,,,,,,,,,
157,baseline_visit_arm_1,,,02,161,,,,2,1,,,,,,,,,,,,,,,,,,,,
158,baseline_visit_arm_1,,,02,511,,,,4,0,,,,,,,,,,,,,,,,,,,,
160,baseline_visit_arm_1,,,02,235,,,,2,3,,,,,,,,,,,,,,,,,,,,
161,baseline_visit_arm_1,,,02,184,,,,5,0,,,,,,,,,,,,,,,,,,,,
162,baseline_visit_arm_1,,,02,148,,,,5,3,,,,,,,,,,,,,,,,,,,,
163,baseline_visit_arm_1,,,02,234,,,,1,0,,,,,,,,,,,,,,,,,,,,
164,baseline_visit_arm_1,,,02,236,,,,1,1,,,,,,,,,,,,,,,,,,,,
165,baseline_visit_arm_1,,,02,487,,,,0,2,,,,,,,,,,,,,,,,,,,,
166,baseline_visit_arm_1,,,02,167,,,,1,0,,,,,,,,,,,,,,,,,,,,
167,baseline_visit_arm_1,,,02,187,,,,5,0,,,,,,,,,,,,,,,,,,,,
168,baseline_visit_arm_1,,,02,145,,,,5,1,,,,,,,,,,,,,,,,,,,,
169,baseline_visit_arm_1,,,02,237,,,,2,4,,,,,,,,,,,,,,,,,,,,
170,baseline_visit_arm_1,,,02,160,,,,1,2,,,,,,,,,,,,,,,,,,,,
171,baseline_visit_arm_1,,,02,495,,,,3,0,,,,,,,,,,,,,,,,,,,,
172,baseline_visit_arm_1,,,02,147,,,,2,4,,,,,,,,,,,,,,,,,,,,
173,baseline_visit_arm_1,,,02,246,,,,4,0,,,,,,,,,,,,,,,,,,,,
174,baseline_visit_arm_1,,,02,172,,,,1,1,,,,,,,,,,,,,,,,,,,,
175,baseline_visit_arm_1,,,02,201,,,,4,2,,,,,,,,,,,,,,,,,,,,
176,baseline_visit_arm_1,,,02,142,,,,3,0,,,,,,,,,,,,,,,,,,,,
177,baseline_visit_arm_1,,,02,164,,,,1,3,,,,,,,,,,,,,,,,,,,,
178,baseline_visit_arm_1,,,02,312,,,,0,3,,,,,,,,,,,,,,,,,,,,
180,baseline_visit_arm_1,,,02,255,,,,2,0,,,,,,,,,,,,,,,,,,,,
183,baseline_visit_arm_1,,,02,326,,,,3,1,,,,,,,,,,,,,,,,,,,,
184,baseline_visit_arm_1,,,02,325,,,,1,1,,,,,,,,,,,,,,,,,,,,
185,baseline_visit_arm_1,,,02,324,,,,5,1,,,,,,,,,,,,,,,,,,,,
186,baseline_visit_arm_1,,,02,403,,,,3,0,,,,,,,,,,,,,,,,,,,,
187,baseline_visit_arm_1,,,02,328,,,,3,4,,,,,,,,,,,,,,,,,,,,
188,baseline_visit_arm_1,,,02,327,,,,1,3,,,,,,,,,,,,,,,,,,,,
189,baseline_visit_arm_1,,,02,319,,,,2,1,,,,,,,,,,,,,,,,,,,,
190,baseline_visit_arm_1,,,02,320,,,,1,2,,,,,,,,,,,,,,,,,,,,
191,baseline_visit_arm_1,,,02,323,,,,3,8,,,,,,,,,,,,,,,,,,,,
192,baseline_visit_arm_1,,,02,650,,,,1,0,,,,,,,,,,,,,,,,,,,,
193,baseline_visit_arm_1,,,02,329,,,,7,0,,,,,,,,,,,,,,,,,,,,
194,baseline_visit_arm_1,,,02,322,,,,2,4,,,,,,,,,,,,,,,,,,,,
195,baseline_visit_arm_1,,,02,318,,,,2,1,,,,,,,,,,,,,,,,,,,,
196,baseline_visit_arm_1,,,02,273,,,,5,1,,,,,,,,,,,,,,,,,,,,
197,baseline_visit_arm_1,,,02,117,,,,5,0,,,,,,,,,,,,,,,,,,,,
199,baseline_visit_arm_1,,,02,131,,,,3,1,,,,,,,,,,,,,,,,,,,,
200,baseline_visit_arm_1,,,02,285,,,,2,1,,,,,,,,,,,,,,,,,,,,
203,baseline_visit_arm_1,,,02,107,,,,1,0,,,,,,,,,,,,,,,,,,,,
205,baseline_visit_arm_1,,,02,483,,,,1,4,,,,,,,,,,,,,,,,,,,,
206,baseline_visit_arm_1,,,02,516,,,,3,0,,,,,,,,,,,,,,,,,,,,
207,baseline_visit_arm_1,,,02,109,,,,1,4,,,,,,,,,,,,,,,,,,,,
208,baseline_visit_arm_1,,,02,114,,,,1,2,,,,,,,,,,,,,,,,,,,,
209,baseline_visit_arm_1,,,02,658,,,,3,0,,,,,,,,,,,,,,,,,,,,
210,baseline_visit_arm_1,,,02,485,,,,1,0,,,,,,,,,,,,,,,,,,,,
211,baseline_visit_arm_1,,,02,655,,,,4,1,,,,,,,,,,,,,,,,,,,,
212,baseline_visit_arm_1,,,02,656,,,,4,1,,,,,,,,,,,,,,,,,,,,
214,baseline_visit_arm_1,,,02,249,,,,1,2,,,,,,,,,,,,,,,,,,,,
215,baseline_visit_arm_1,,,02,110,,,,2,1,,,,,,,,,,,,,,,,,,,,
216,baseline_visit_arm_1,,,02,116,,,,3,1,,,,,,,,,,,,,,,,,,,,
217,baseline_visit_arm_1,,,02,263,,,,5,0,,,,,,,,,,,,,,,,,,,,
218,baseline_visit_arm_1,,,02,118,,,,2,4,,,,,,,,,,,,,,,,,,,,
219,baseline_visit_arm_1,,,02,121,,,,2,0,,,,,,,,,,,,,,,,,,,,
223,baseline_visit_arm_1,,,02,149,,,,1,3,,,,,,,,,,,,,,,,,,,,
224,baseline_visit_arm_1,,,02,151,,,,2,3,,,,,,,,,,,,,,,,,,,,
225,baseline_visit_arm_1,,,02,657,,,,2,0,,,,,,,,,,,,,,,,,,,,
226,baseline_visit_arm_1,,,02,221,,,,0,1,,,,,,,,,,,,,,,,,,,,
227,baseline_visit_arm_1,,,02,693,,,,0,2,,,,,,,,,,,,,,,,,,,,
228,baseline_visit_arm_1,,,02,217,,,,2,0,,,,,,,,,,,,,,,,,,,,
229,baseline_visit_arm_1,,,02,242,,,,4,3,,,,,,,,,,,,,,,,,,,,
230,baseline_visit_arm_1,,,02,105,,,,3,2,,,,,,,,,,,,,,,,,,,,
231,baseline_visit_arm_1,,,02,106,,,,1,2,,,,,,,,,,,,,,,,,,,,
233,baseline_visit_arm_1,,,02,244,,,,3,3,,,,,,,,,,,,,,,,,,,,
234,baseline_visit_arm_1,,,02,209,,,,4,0,,,,,,,,,,,,,,,,,,,,
235,baseline_visit_arm_1,,,02,660,,,,5,2,,,,,,,,,,,,,,,,,,,,
236,baseline_visit_arm_1,,,02,703,,,,2,1,,,,,,,,,,,,,,,,,,,,
237,baseline_visit_arm_1,,,02,252,,,,3,2,,,,,,,,,,,,,,,,,,,,
239,baseline_visit_arm_1,,,02,168,,,,1,0,,,,,,,,,,,,,,,,,,,,
240,baseline_visit_arm_1,,,02,517,,,,0,6,,,,,,,,,,,,,,,,,,,,
241,baseline_visit_arm_1,,,02,247,,,,6,0,,,,,,,,,,,,,,,,,,,,
242,baseline_visit_arm_1,,,02,122,,,,3,5,,,,,,,,,,,,,,,,,,,,
243,baseline_visit_arm_1,,,02,515,,,,5,0,,,,,,,,,,,,,,,,,,,,
244,baseline_visit_arm_1,,,02,127,,,,1,1,,,,,,,,,,,,,,,,,,,,
245,baseline_visit_arm_1,,,02,210,,,,1,2,,,,,,,,,,,,,,,,,,,,
246,baseline_visit_arm_1,,,02,129,,,,4,0,,,,,,,,,,,,,,,,,,,,
247,baseline_visit_arm_1,,,02,102,,,,5,1,,,,,,,,,,,,,,,,,,,,
248,baseline_visit_arm_1,,,02,133,,,,1,3,,,,,,,,,,,,,,,,,,,,
249,baseline_visit_arm_1,,,02,230,,,,1,2,,,,,,,,,,,,,,,,,,,,
250,baseline_visit_arm_1,,,02,218,,,,2,0,,,,,,,,,,,,,,,,,,,,
251,baseline_visit_arm_1,,,02,241,,,,2,1,,,,,,,,,,,,,,,,,,,,
252,baseline_visit_arm_1,,,02,514,,,,1,1,,,,,,,,,,,,,,,,,,,,
253,baseline_visit_arm_1,,,02,124,,,,0,6,,,,,,,,,,,,,,,,,,,,
254,baseline_visit_arm_1,,,02,720,,,,2,2,,,,,,,,,,,,,,,,,,,,
255,baseline_visit_arm_1,,,02,111,,,,2,2,,,,,,,,,,,,,,,,,,,,
256,baseline_visit_arm_1,,,02,758,,,,2,5,,,,,,,,,,,,,,,,,,,,
257,baseline_visit_arm_1,,,02,756,,,,1,0,,,,,,,,,,,,,,,,,,,,
258,baseline_visit_arm_1,,,02,752,,,,0,4,,,,,,,,,,,,,,,,,,,,
259,baseline_visit_arm_1,,,02,753,,,,0,1,,,,,,,,,,,,,,,,,,,,
260,baseline_visit_arm_1,,,02,755,,,,0,1,,,,,,,,,,,,,,,,,,,,
261,baseline_visit_arm_1,,,02,757,,,,0,1,,,,,,,,,,,,,,,,,,,,
262,baseline_visit_arm_1,,,02,759,,,,0,4,,,,,,,,,,,,,,,,,,,,
263,baseline_visit_arm_1,,,02,763,,,,5,0,,,,,,,,,,,,,,,,,,,,
264,baseline_visit_arm_1,,,02,766,,,,1,1,,,,,,,,,,,,,,,,,,,,
265,baseline_visit_arm_1,,,02,765,,,,1,0,,,,,,,,,,,,,,,,,,,,
266,baseline_visit_arm_1,,,02,752,,,,1,2,,,,,,,,,,,,,,,,,,,,
267,baseline_visit_arm_1,,,02,754,,,,3,0,,,,,,,,,,,,,,,,,,,,
268,baseline_visit_arm_1,,,02,486,,,,3,1,,,,,,,,,,,,,,,,,,,,
270,baseline_visit_arm_1,,,02,132,,,,5,0,,,,,,,,,,,,,,,,,,,,
271,baseline_visit_arm_1,,,02,216,,,,1,3,,,,,,,,,,,,,,,,,,,,
272,baseline_visit_arm_1,,,02,139,,,,1,1,,,,,,,,,,,,,,,,,,,,
273,baseline_visit_arm_1,,,02,108,,,,1,2,,,,,,,,,,,,,,,,,,,,
274,baseline_visit_arm_1,,,02,135,,,,3,0,,,,,,,,,,,,,,,,,,,,
275,baseline_visit_arm_1,,,02,518,,,,3,4,,,,,,,,,,,,,,,,,,,,
276,baseline_visit_arm_1,,,02,137,,,,0,3,,,,,,,,,,,,,,,,,,,,
277,baseline_visit_arm_1,,,02,212,,,,3,0,,,,,,,,,,,,,,,,,,,,
278,baseline_visit_arm_1,,,02,213,,,,1,2,,,,,,,,,,,,,,,,,,,,
279,baseline_visit_arm_1,,,02,750,,,,2,0,,,,,,,,,,,,,,,,,,,,
280,baseline_visit_arm_1,,,02,751,,,,2,3,,,,,,,,,,,,,,,,,,,,
281,baseline_visit_arm_1,,,02,760,,,,1,1,,,,,,,,,,,,,,,,,,,,
282,baseline_visit_arm_1,,,02,761,,,,1,0,,,,,,,,,,,,,,,,,,,,
283,baseline_visit_arm_1,,,02,157,,,,6,0,,,,,,,,,,,,,,,,,,,,
285,baseline_visit_arm_1,,,02,130,,,,2,2,,,,,,,,,,,,,,,,,,,,
286,baseline_visit_arm_1,,,02,158,,,,0,2,,,,,,,,,,,,,,,,,,,,
288,baseline_visit_arm_1,,,02,112,,,,2,1,,,,,,,,,,,,,,,,,,,,
289,baseline_visit_arm_1,,,02,154,,,,2,1,,,,,,,,,,,,,,,,,,,,
290,baseline_visit_arm_1,,,02,119,,,,0,2,,,,,,,,,,,,,,,,,,,,
291,baseline_visit_arm_1,,,02,156,,,,1,0,,,,,,,,,,,,,,,,,,,,
292,baseline_visit_arm_1,,,02,671,,,,1,0,,,,,,,,,,,,,,,,,,,,
293,baseline_visit_arm_1,,,02,767,,,,4,1,,,,,,,,,,,,,,,,,,,,
294,baseline_visit_arm_1,,,02,762,,,,0,1,,,,,,,,,,,,,,,,,,,,
295,baseline_visit_arm_1,,,02,752,,,,1,2,,,,,,,,,,,,,,,,,,,,
296,baseline_visit_arm_1,,,02,601,,,,1,2,,,,,,,,,,,,,,,,,,,,
297,baseline_visit_arm_1,,,02,153,,,,2,3,,,,,,,,,,,,,,,,,,,,
299,baseline_visit_arm_1,,,02,155,,,,3,2,,,,,,,,,,,,,,,,,,,,
300,baseline_visit_arm_1,,,02,768,,,,1,5,,,,,,,,,,,,,,,,,,,,
301,baseline_visit_arm_1,,,02,770,,,,1,0,,,,,,,,,,,,,,,,,,,,
302,baseline_visit_arm_1,,,02,769,,,,0,2,,,,,,,,,,,,,,,,,,,,
303,baseline_visit_arm_1,,,02,771,,,,3,4,,,,,,,,,,,,,,,,,,,,
306,baseline_visit_arm_1,,,02,208,,,,1,3,,,,,,,,,,,,,,,,,,,,
307,baseline_visit_arm_1,,,01,105,,,,2,1,,,,,,,,,,,,,,,,,,,,
