base_hh_intrvwr,base_hh_vst_date,base_hh_com_code,base_hh_house_code,base_hh_extr_wall,base_hh_mat_wall,base_hh_mat_wall_oth,base_hh_mat_roof,base_hh_mat_roof_oth,base_hh_mat_floor,base_hh_mat_floor_oth,base_hh_num_sleep_spce,base_hh_wtr_source,base_hh_wtr_source_oth,base_hh_electrct,base_hh_electrct_hrs,base_hh_spryd_insect,base_hh_reside_time,base_hh_reside_yrs,base_hh_reside_mnth,base_hh_net_noninsect,base_hh_net_insect,base_hh_net_deliver,base_hh_net_hohh,base_hh_net_tx,base_hh_net_tx_time,base_hh_hohh_trvl,base_hh_trvl_quant,base_hh_trvl_ovrnght,base_hh_nights_spent,base_hh_destin,base_hh_trip_reasn___1,base_hh_trip_reasn___2,base_hh_trip_reasn___3,base_hh_trip_reasn___4,base_hh_trip_reasn___5,base_hh_trip_reasn___6,base_hh_trip_reasn___99,base_hh_trip_reasn_oth,base_hh_trip_wrk___0,base_hh_trip_wrk___1,base_hh_trip_wrk___2,base_hh_trip_wrk___3,base_hh_trip_wrk___4,base_hh_trip_wrk___5,base_hh_trip_wrk___6,base_hh_trip_wrk___7,base_hh_trip_wrk___8,base_hh_trip_wrk___9,base_hh_trip_wrk___99,base_hh_trip_wrk_oth,base_hh_trip_trnsprt___1,base_hh_trip_trnsprt___2,base_hh_trip_trnsprt___3,base_hh_trip_trnsprt___4,base_hh_trip_trnsprt___99,base_hh_trip_trnsprt_oth,base_hh_sleep_plce___1,base_hh_sleep_plce___2,base_hh_sleep_plce___3,base_hh_sleep_plce___99,base_hh_plce_oth,base_hh_net_plce1,base_hh_net_plce2,base_hh_net_plce3,base_hh_net_plce4,encuesta_basal_household_complete
5,2024-10-14,22,111,3,2,,2,,2,,2,5,,2,,2,1,,,2,2,2,1,2,,1,2,2,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,2
7,2024-10-14,22,112,3,2,,3,,2,,1,5,,2,,2,1,,,0,2,3,1,1,3,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,2
7,2024-10-14,22,102,2,2,,5,,2,,1,5,,2,,2,2,6,,2,0,,1,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,2
4,2024-10-14,22,103,2,2,,3,,2,,2,5,,2,,2,1,,,2,0,,1,2,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
4,2024-10-14,22,105,3,2,,3,,2,,2,5,,2,,2,1,,,0,2,2,1,1,2,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,2
10,2024-10-14,22,120,2,2,,5,,2,,1,5,,1,,2,3,,4,0,0,,2,,,1,1,1,4,Iquitos,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,,1,,,,1
10,2024-10-14,22,121,2,2,,3,,2,,2,5,,3,23,2,3,,8,0,1,1,1,1,1,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
10,2024-10-14,22,850,2,2,,3,,2,,3,5,,1,,2,2,15,,0,0,,1,2,,1,5,2,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
10,2024-10-14,22,851,2,2,,3,,2,,1,5,,2,,2,3,,4,1,0,,1,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,2
5,2024-10-16,13,169,3,2,,3,,2,,1,3,,2,,2,2,2,,1,0,,1,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
5,2024-10-16,13,150,3,2,,3,,3,,1,3,,2,,2,1,,,2,2,2,1,1,2,1,8,2,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
5,2024-10-16,13,128,3,1,,3,,3,,2,3,,2,,2,2,2,,2,0,,1,,,1,4,2,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
10,2024-10-16,13,160,3,2,,3,,1,,2,2,,1,,1,2,5,,0,2,98,1,1,98,1,1,1,20,"Rio Nanay",1,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,,1,0,0,0,0,,1,0,0,0,,1,,,,1
10,2024-10-16,13,144,3,1,,3,,3,,2,2,,2,,2,3,,7,2,0,,1,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
10,2024-10-16,13,129,3,1,,3,,3,,2,2,,2,,2,1,,,2,0,,1,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
6,2024-10-16,13,450,3,99,Madera,3,,3,,3,2,,2,,1,2,12,,0,2,3,1,1,3,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,0
6,2024-10-16,13,131,3,1,,3,,3,,2,1,,2,,1,2,1,,0,3,2,1,1,2,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,0
8,2024-10-16,13,167,2,2,,3,,1,,5,2,,2,,2,98,,,0,1,2,1,2,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
8,2024-10-16,13,120,3,2,,3,,1,,2,2,,2,,2,1,,,3,0,,1,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
8,2024-10-16,13,104,3,1,,3,,3,,3,2,,2,,2,1,,,0,4,2,2,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
8,2024-10-16,13,155,2,2,,3,,1,,2,2,,2,,2,1,,,13,3,98,1,2,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-10-16,13,166,3,2,,3,,1,,1,1,,2,,2,2,21,,0,1,2,1,1,3,1,1,1,31,Arequipa,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,Avion,1,0,0,0,,2,,,,1
9,2024-10-16,13,162,3,2,,3,,1,,3,2,,2,,1,1,,,0,3,1,1,1,3,1,1,1,2,Llanchama,1,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,,0,0,0,1,Monte,,,,2,1
9,2024-10-16,13,130,3,1,,1,,3,,1,3,,2,,2,1,,,1,2,2,1,1,2,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,0
9,2024-10-16,13,139,3,1,,3,,1,,1,3,,2,,2,1,,,0,2,2,1,1,2,1,1,1,6,Nauta,1,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,,0,0,1,0,,,,1,,1
7,2024-10-16,13,152,3,2,,3,,3,,3,2,,2,,2,1,,,2,3,3,1,1,3,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,0
7,2024-10-16,13,132,3,1,,3,,3,,2,2,,2,,2,1,,,0,3,3,1,1,3,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
7,2024-10-16,13,141,3,1,,3,,4,,2,2,,2,,1,2,4,,2,0,,1,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
4,2024-10-16,13,149,3,2,,3,,3,,4,2,,2,,2,2,1,,5,0,,1,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
4,2024-10-16,13,127,3,,,3,,3,,3,2,,2,,2,1,,,0,4,3,2,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
2,2024-10-16,13,168,3,2,,3,,3,,2,3,,3,23,2,2,9,,3,0,,1,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
2,2024-10-16,13,148,3,2,,3,,3,,2,99,"Pozo artesiano",2,,2,2,4,,0,03,2,1,1,2,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
2,2024-10-17,13,153,3,2,,3,,3,,2,99,"Pozo artesiano",2,,2,1,,,0,03,3,1,1,3,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
2,2024-10-17,13,151,3,2,,3,,1,,2,99,"Pozo artesiano",2,,1,1,,,0,2,1,1,1,3,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
2,2024-10-17,13,105,3,2,,3,,3,,3,99,"Pozo artesiano",2,,2,1,,,0,4,2,1,1,3,1,2,1,2,Nauta,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,"Técnico en identificación de árboles",0,1,0,0,0,,0,0,1,0,,,,1,,1
6,2024-10-17,13,111,3,99,Estera,3,,1,,1,3,,3,12,2,2,21,,1,0,,1,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
6,2024-10-17,13,124,2,99,Estera,3,,1,,1,3,,2,,2,2,20,,1,2,2,1,2,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
6,2024-10-17,13,114,3,99,Estera,3,,1,,1,2,,1,,2,2,2,,0,1,3,1,1,2,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
6,2024-10-17,13,118,3,99,Madera,3,,1,,1,2,,1,,2,2,21,,0,1,3,1,1,3,1,1,1,20,"Alvarenga, Alto Nanay",1,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,,2,,,,1
9,2024-10-17,13,134,3,2,,3,,1,,2,3,,2,,2,1,,,0,3,2,1,1,3,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
9,2024-10-17,13,146,3,2,,3,,3,,2,3,,2,,2,1,,,0,2,2,1,1,2,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
9,2024-10-17,13,110,3,2,,3,,1,,3,3,,2,,2,1,,,0,3,2,1,1,3,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
10,2024-10-17,13,115,2,2,,3,,1,,3,2,,1,,1,2,3,,0,3,3,1,2,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
10,2024-10-17,13,123,3,1,,3,,3,,1,2,,2,,1,1,,,1,0,,1,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
5,2024-10-17,13,126,3,2,,3,,1,,1,3,,1,,2,1,,,2,2,2,1,2,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
5,2024-10-17,13,145,3,2,,3,,1,,2,2,,2,,2,2,21,,3,0,,1,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
5,2024-10-17,13,106,3,1,,3,,3,,2,2,,2,,2,1,,,0,2,2,1,1,2,1,1,2,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
4,2024-10-17,13,116,3,2,,3,,1,,1,3,,2,,2,1,,,1,2,2,1,2,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-10-17,13,451,1,2,,5,,1,,1,2,,2,,2,2,5,,1,1,3,1,2,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
8,2024-10-17,13,122,2,2,,3,,3,,2,2,,2,,2,1,,,0,3,98,1,1,98,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
8,2024-10-17,13,121,2,2,,3,,1,,4,2,,2,,2,2,19,,0,5,98,1,1,3,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
8,2024-10-17,13,119,2,2,,3,,3,,1,2,,1,,2,2,3,,0,2,2,1,1,2,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
7,2024-10-17,13,112,3,2,,3,,1,,2,2,,2,,2,2,1,,2,3,2,1,1,2,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
7,2024-10-17,13,113,3,99,Triplay,3,,1,,1,2,,1,,2,1,,,2,0,,1,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
10,2024-10-18,13,400,3,2,,3,,3,,2,2,,2,,2,2,3,,1,1,3,1,2,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
9,2024-10-18,13,108,3,1,,3,,3,,3,3,,2,,2,2,21,,4,1,3,1,2,,1,1,1,30,Leticia,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,,1,,,,1
6,2024-10-18,13,107,3,99,Triplay,3,,2,,3,2,,2,,2,2,13,,2,2,3,1,2,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
4,2024-10-18,13,103,3,2,,2,,3,,1,2,,2,,2,3,,10,0,0,,,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
4,2024-10-18,13,125,3,2,,3,,3,,4,2,,2,,2,2,2,,0,4,3,2,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
2,2024-10-18,13,101,3,2,,3,,3,,2,3,,2,,2,2,2,,4,0,,1,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
8,2024-10-19,02,286,3,2,,3,,3,,4,2,,2,,2,1,,,1,0,,1,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
2,2024-10-19,02,288,3,99,"Tripley y calamina",3,,1,,1,1,,2,,1,1,,,0,2,2,1,1,3,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
6,2024-10-19,02,478,3,99,Madera,3,,3,,3,1,,2,,2,2,21,,0,4,2,1,1,2,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
6,2024-10-19,02,277,3,2,,3,,2,,2,2,,2,,1,1,,,0,3,3,1,1,3,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
10,2024-10-19,02,477,3,1,,3,,3,,2,3,,2,,2,2,13,,0,4,3,1,1,3,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
10,2024-10-19,02,294,2,2,,3,,1,,2,2,,2,,1,1,,,0,2,98,1,2,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
7,2024-10-19,02,287,3,1,,3,,3,,2,2,,2,,2,1,,,0,5,3,1,1,3,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
9,2024-10-19,02,476,3,1,,3,,3,,3,3,,2,,1,1,,,0,2,2,1,1,3,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
4,2024-10-19,02,289,3,1,,3,,3,,7,2,,2,,2,1,,,0,6,3,2,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
5,2024-10-19,02,278,3,1,,3,,3,,3,2,,2,,1,1,,,0,3,2,1,1,2,1,18,2,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
5,2024-10-19,02,291,3,1,,3,,3,,5,2,,2,,2,1,,,0,5,2,1,1,2,1,10,2,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
2,2024-10-21,02,316,3,1,,3,,3,,3,99,"Pozo artesiano",2,,1,1,,,0,3,3,1,1,3,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
2,2024-10-21,02,310,3,1,,3,,3,,4,99,"Pozo artesiano",2,,98,1,,,2,2,3,1,1,3,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
2,2024-10-21,02,308,3,1,,3,,3,,3,99,"Pozo artesiano",2,,1,2,4,,1,3,2,1,2,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
6,2024-10-21,02,309,3,1,,3,,99,Cemento,2,2,,2,,2,2,21,,2,0,,1,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
6,2024-10-21,02,295,2,99,Triplay,3,,3,,3,2,,2,,98,1,,,0,4,3,1,1,3,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
6,2024-10-21,02,314,2,1,,3,,99,Cemento,2,2,,2,,98,3,,6,2,0,,1,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
6,2024-10-21,02,313,3,2,,3,,2,,3,2,,2,,2,1,,,3,2,3,2,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
7,2024-10-21,02,481,3,1,,3,,3,,3,2,,2,,1,2,2,,3,0,,1,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
7,2024-10-21,02,300,3,1,,3,,3,,3,2,,2,,1,1,,,0,3,2,2,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
9,2024-10-21,02,305,3,1,,3,,3,,3,3,,2,,2,1,,,3,1,3,2,,,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
9,2024-10-21,02,480,3,1,,3,,3,,4,3,,2,,1,2,21,,0,4,3,1,1,3,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
9,2024-10-21,02,293,3,1,,3,,3,,2,3,,2,,1,1,,,0,6,3,1,1,3,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
8,2024-10-21,02,307,3,1,,3,,3,,6,2,,2,,2,2,4,,0,6,3,1,1,3,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
8,2024-10-21,02,292,3,1,,3,,3,,3,2,,2,,2,1,,,0,4,2,1,1,2,2,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,1
