Community Code,Household code,Individual code,Enrollment date
02,289,02099,10/22/24
02,289,02102,10/22/24
02,278,02175,10/19/24
02,278,02216,10/26/24
02,278,02217,10/26/24
02,278,02218,10/26/24
02,291,02176,10/19/24
02,291,02177,10/19/24
02,291,02178,10/19/24
02,291,02192,10/22/24
02,291,02193,10/22/24
02,316,02002,10/21/24
02,310,02003,10/21/24
02,310,02004,10/21/24
02,308,02005,10/21/24
02,308,02006,10/21/24
02,308,02007,10/21/24
02,308,02008,10/21/24
02,309,02264,10/21/24
02,295,02265,10/21/24
02,295,02266,10/21/24
02,314,02267,10/21/24
02,314,02268,10/21/24
02,313,02269,10/21/24
02,313,02270,10/21/24
02,313,02271,10/21/24
02,313,02654,10/26/24
02,481,02352,10/21/24
02,481,02353,10/21/24
02,481,02354,10/21/24
02,481,02357,10/21/24
02,300,02356,10/21/24
02,300,02355,10/21/24
02,300,02358,10/21/24
02,305,02529,10/21/24
02,305,02537,10/21/24
02,480,02530,10/21/24
02,480,02531,10/21/24
02,480,02532,10/21/24
02,293,02533,10/21/24
02,293,02534,10/21/24
02,293,02535,10/21/24
02,293,02536,10/21/24
02,307,02439,10/21/24
02,307,02440,10/21/24
02,292,02441,10/21/24
02,292,02442,10/21/24
02,292,02464,10/24/24
02,484,02443,10/21/24
02,484,02444,10/21/24
02,301,02179,10/21/24
02,301,02180,10/21/24
02,301,02181,10/21/24
02,301,02182,10/21/24
02,301,02183,10/21/24
02,301,02215,10/26/24
02,296,02184,10/21/24
02,296,02185,10/21/24
02,296,02186,10/21/24
02,296,02187,10/21/24
02,296,02188,10/21/24
02,299,02092,10/21/24
02,299,02093,10/21/24
02,299,02094,10/21/24
02,299,02095,10/21/24
02,299,02096,10/21/24
02,299,02097,10/21/24
02,299,02098,10/21/24
02,299,02124,10/26/24
02,299,02125,10/26/24
02,299,02126,10/26/24
02,299,02127,10/26/24
02,299,02128,10/26/24
02,304,02615,10/21/24
02,304,02616,10/21/24
02,304,02617,10/21/24
02,304,02623,10/22/24
02,304,02624,10/22/24
02,304,02625,10/22/24
02,315,02618,10/21/24
02,315,02619,10/21/24
02,315,02620,10/21/24
02,315,02621,10/21/24
02,315,02622,10/21/24
02,271,02272,10/22/24
02,271,02273,10/22/24
02,257,02274,10/22/24
02,257,02275,10/22/24
02,185,02276,10/22/24
02,185,02277,10/22/24
02,185,02278,10/22/24
02,185,02282,10/22/24
02,189,02279,10/22/24
02,189,02280,10/22/24
02,189,02281,10/22/24
02,269,02538,10/22/24
02,269,02539,10/22/24
02,259,02540,10/22/24
02,259,02541,10/22/24
02,259,02542,10/22/24
02,259,02543,10/22/24
02,259,02546,10/22/24
02,400,02544,10/22/24
02,498,02545,10/22/24
02,256,02359,10/22/24
02,248,02360,10/22/24
02,248,02361,10/22/24
02,204,02362,10/22/24
02,204,02363,10/22/24
02,204,02364,10/22/24
02,204,02365,10/22/24
02,510,02367,10/22/24
02,510,02368,10/22/24
02,197,02366,10/22/24
02,202,02626,10/22/24
02,496,02627,10/22/24
02,497,02628,10/22/24
02,497,02629,10/22/24
02,497,02630,10/22/24
02,497,02631,10/22/24
02,258,02445,10/22/24
02,215,02446,10/22/24
02,267,02447,10/22/24
02,267,02456,10/23/24
02,182,02448,10/22/24
02,182,02449,10/22/24
02,182,02450,10/22/24
02,182,02451,10/22/24
02,192,02452,10/22/24
02,192,02453,10/22/24
02,192,02454,10/22/24
02,192,02455,10/22/24
02,272,02009,10/22/24
02,272,02015,10/22/24
02,704,02010,10/22/24
02,704,02011,10/22/24
02,704,02012,10/22/24
02,186,02016,10/22/24
02,186,02017,10/22/24
02,186,02018,10/22/24
02,186,02019,10/22/24
02,186,02020,10/22/24
02,186,02021,10/22/24
02,452,02100,10/22/24
02,452,02101,10/22/24
02,452,02103,10/22/24
02,180,02104,10/22/24
02,180,02105,10/22/24
02,180,02106,10/22/24
02,180,02107,10/22/24
02,180,02108,10/22/24
02,180,02109,10/22/24
02,265,02189,10/22/24
02,265,02190,10/22/24
02,262,02191,10/22/24
02,262,02194,10/22/24
02,179,02195,10/22/24
02,179,02196,10/22/24
02,179,02197,10/22/24
02,179,02198,10/22/24
02,179,02199,10/22/24
02,188,02200,10/22/24
02,188,02201,10/22/24
02,188,02208,10/23/24
02,165,02457,10/23/24
02,165,02461,10/23/24
02,175,02458,10/23/24
02,175,02459,10/23/24
02,175,02460,10/23/24
02,494,02462,10/23/24
02,494,02463,10/23/24
02,264,02283,10/23/24
02,264,02284,10/23/24
02,264,02219,10/26/24
02,141,02285,10/23/24
02,141,02286,10/23/24
02,200,02287,10/23/24
02,200,02288,10/23/24
02,200,02292,10/24/24
02,146,02289,10/23/24
02,146,02290,10/23/24
02,146,02291,10/23/24
02,240,02369,10/23/24
02,240,02370,10/23/24
02,240,02371,10/23/24
02,240,02378,10/23/24
02,240,02379,10/23/24
02,170,02372,10/23/24
02,166,02373,10/23/24
02,166,02374,10/23/24
02,166,02375,10/23/24
02,166,02376,10/23/24
02,166,02377,10/23/24
02,243,02202,10/23/24
02,161,02203,10/23/24
02,161,02209,10/23/24
02,511,02204,10/23/24
02,511,02205,10/23/24
02,511,02206,10/23/24
02,511,02207,10/23/24
02,235,02022,10/23/24
02,235,02023,10/23/24
02,184,02024,10/23/24
02,184,02025,10/23/24
02,184,02026,10/23/24
02,184,02027,10/23/24
02,184,02028,10/23/24
02,148,02029,10/23/24
02,148,02030,10/23/24
02,148,02031,10/23/24
02,148,02032,10/23/24
02,148,02033,10/23/24
02,234,02547,10/23/24
02,236,02548,10/23/24
02,167,02549,10/23/24
02,187,02550,10/23/24
02,187,02551,10/23/24
02,187,02552,10/23/24
02,187,02553,10/23/24
02,187,02559,10/23/24
02,145,02554,10/23/24
02,145,02555,10/23/24
02,145,02556,10/23/24
02,145,02557,10/23/24
02,145,02558,10/23/24
02,237,02110,10/23/24
02,237,02111,10/23/24
02,160,02112,10/23/24
02,495,02113,10/23/24
02,495,02114,10/23/24
02,495,02115,10/23/24
02,147,02116,10/23/24
02,147,02117,10/23/24
02,246,02632,10/23/24
02,246,02633,10/23/24
02,246,02634,10/23/24
02,246,02635,10/23/24
02,172,02636,10/23/24
02,172,02655,10/26/24
02,201,02637,10/23/24
02,201,02638,10/23/24
02,201,02639,10/23/24
02,201,02640,10/23/24
02,201,02644,10/24/24
02,142,02641,10/23/24
02,142,02642,10/23/24
02,142,02643,10/23/24
02,164,02560,10/24/24
02,255,02118,10/24/24
02,255,02119,10/24/24
02,326,02380,10/25/24
02,326,02381,10/25/24
02,326,02382,10/25/24
02,325,02383,10/25/24
02,324,02210,10/25/24
02,324,02211,10/25/24
02,324,02212,10/25/24
02,324,02213,10/25/24
02,324,02214,10/25/24
02,403,02293,10/25/24
02,403,02294,10/25/24
02,403,02295,10/25/24
02,328,02465,10/25/24
02,328,02466,10/25/24
02,328,02467,10/25/24
02,328,02469,10/26/24
02,328,02470,10/26/24
02,328,02471,10/26/24
02,328,02472,10/26/24
02,327,02468,10/25/24
02,319,02561,10/25/24
02,319,02562,10/25/24
02,320,02563,10/25/24
02,323,02120,10/25/24
02,323,02121,10/25/24
02,323,02123,10/25/24
02,650,02122,10/25/24
02,329,02645,10/25/24
02,329,02646,10/25/24
02,329,02647,10/25/24
02,329,02648,10/25/24
02,329,02649,10/25/24
02,329,02650,10/25/24
02,329,02651,10/25/24
02,322,02034,10/25/24
02,322,02035,10/25/24
02,318,02036,10/25/24
02,318,02037,10/25/24
02,273,02296,10/26/24
02,273,02297,10/26/24
02,273,02298,10/26/24
02,273,02299,10/26/24
02,273,02300,10/26/24
02,117,02301,10/26/24
02,117,02302,10/26/24
02,117,02303,10/26/24
02,117,02304,10/26/24
02,117,02305,10/26/24
02,131,02129,10/26/24
02,131,02130,10/26/24
02,131,02131,10/26/24
02,285,02652,10/26/24
02,285,02653,10/26/24
02,107,02656,10/26/24
02,483,02384,10/26/24
02,516,02385,10/26/24
02,516,02386,10/26/24
02,516,02387,10/26/24
02,109,02388,10/26/24
02,114,02389,10/26/24
02,658,02390,10/26/24
02,658,02391,10/26/24
02,658,02392,10/26/24
02,485,02564,10/26/24
02,655,02565,10/26/24
02,655,02566,10/26/24
02,655,02567,10/26/24
02,655,02568,10/26/24
02,655,02573,10/27/24
02,656,02569,10/26/24
02,656,02570,10/26/24
02,656,02571,10/26/24
02,656,02572,10/26/24
02,249,02473,10/26/24
02,110,02474,10/26/24
02,110,02475,10/26/24
02,116,02476,10/26/24
02,116,02477,10/26/24
02,116,02478,10/26/24
02,263,02038,10/26/24
02,263,02039,10/26/24
02,263,02040,10/26/24
02,263,02041,10/26/24
02,263,02046,10/26/24
02,118,02042,10/26/24
02,118,02045,10/26/24
02,121,02043,10/26/24
02,121,02044,10/26/24
02,149,02220,10/26/24
02,151,02221,10/26/24
02,151,02222,10/26/24
02,151,02240,10/29/24
02,151,02241,10/29/24
02,657,02223,10/26/24
02,657,02224,10/26/24
02,217,02306,10/27/24
02,217,02307,10/27/24
02,242,02308,10/27/24
02,242,02309,10/27/24
02,242,02310,10/27/24
02,242,02311,10/27/24
02,105,02312,10/27/24
02,105,02313,10/27/24
02,105,02314,10/27/24
02,106,02315,10/27/24
02,244,02574,10/27/24
02,244,02575,10/27/24
02,244,02576,10/27/24
02,209,02577,10/27/24
02,209,02578,10/27/24
02,209,02579,10/27/24
02,209,02580,10/27/24
02,660,02047,10/27/24
02,660,02048,10/27/24
02,660,02049,10/27/24
02,660,02050,10/27/24
02,660,02051,10/27/24
02,660,02064,10/29/24
02,660,02065,10/29/24
02,703,02052,10/27/24
02,703,02053,10/27/24
02,252,02659,10/27/24
02,252,02660,10/27/24
02,252,02661,10/27/24
02,168,02665,10/27/24
02,247,02132,10/27/24
02,247,02133,10/27/24
02,247,02134,10/27/24
02,247,02135,10/27/24
02,247,02136,10/27/24
02,247,02137,10/27/24
02,122,02138,10/27/24
02,122,02139,10/27/24
02,122,02140,10/27/24
02,122,02144,10/28/24
02,122,02145,10/28/24
02,515,02393,10/27/24
02,515,02394,10/27/24
02,515,02395,10/27/24
02,515,02396,10/27/24
02,515,02397,10/27/24
02,127,02398,10/27/24
02,210,02399,10/27/24
02,129,02400,10/27/24
02,129,02401,10/27/24
02,129,02402,10/27/24
02,129,02403,10/27/24
02,102,02225,10/27/24
02,102,02226,10/27/24
02,102,02227,10/27/24
02,102,02228,10/27/24
02,102,02229,10/27/24
02,133,02230,10/27/24
02,133,02237,10/29/24
02,133,02238,10/29/24
02,133,02239,10/29/24
02,133,02242,10/29/24
02,230,02479,10/27/24
02,218,02480,10/27/24
02,218,02481,10/27/24
02,241,02482,10/27/24
02,241,02483,10/27/24
02,514,02484,10/27/24
02,720,02404,10/28/24
02,720,02405,10/28/24
02,111,02406,10/28/24
02,111,02407,10/28/24
02,758,02316,10/28/24
02,758,02317,10/28/24
02,756,02318,10/28/24
02,763,02319,10/28/24
02,763,02320,10/28/24
02,763,02321,10/28/24
02,763,02322,10/28/24
02,763,02323,10/28/24
02,766,02581,10/28/24
02,765,02582,10/28/24
02,764,02054,10/28/24
02,754,02055,10/28/24
02,754,02056,10/28/24
02,754,02057,10/28/24
02,486,02141,10/28/24
02,486,02142,10/28/24
02,486,02143,10/28/24
02,486,02149,10/29/24
02,132,02485,10/28/24
02,132,02486,10/28/24
02,132,02487,10/28/24
02,132,02488,10/28/24
02,132,02492,10/28/24
02,216,02489,10/28/24
02,139,02490,10/28/24
02,108,02491,10/28/24
02,135,02666,10/28/24
02,135,02667,10/28/24
02,135,02668,10/28/24
02,518,02669,10/28/24
02,518,02670,10/28/24
02,518,02671,10/28/24
02,212,02672,10/28/24
02,212,02673,10/28/24
02,212,02674,10/28/24
02,213,02675,10/28/24
02,750,02231,10/28/24
02,750,02232,10/28/24
02,751,02233,10/28/24
02,751,02234,10/28/24
02,760,02235,10/28/24
02,761,02236,10/28/24
02,157,02058,10/29/24
02,157,02059,10/29/24
02,157,02060,10/29/24
02,157,02061,10/29/24
02,157,02062,10/29/24
02,157,02063,10/29/24
02,130,02324,10/29/24
02,130,02325,10/29/24
02,112,02676,10/29/24
02,112,02677,10/29/24
02,154,02408,10/29/24
02,154,02409,10/29/24
02,156,02410,10/29/24
02,671,02583,10/29/24
02,767,02584,10/29/24
02,767,02585,10/29/24
02,767,02586,10/29/24
02,767,02587,10/29/24
02,752,02588,10/29/24
02,601,02146,10/29/24
02,153,02147,10/29/24
02,153,02148,10/29/24
02,155,02493,10/29/24
02,155,02494,10/29/24
02,155,02495,10/29/24
02,768,02496,10/29/24
02,770,02497,10/29/24
02,771,02498,10/29/24
02,771,02499,10/29/24
02,208,02243,10/29/24
03,135,03397,2/18/25
03,135,03398,2/18/25
03,134,03399,2/18/25
03,133,03400,2/18/25
03,131,03401,2/18/25
03,131,03402,2/18/25
03,136,03403,2/18/25
03,218,03595,2/18/25
03,284,03596,2/18/25
03,284,03597,2/18/25
03,290,03598,2/18/25
03,290,03599,2/18/25
03,290,03600,2/18/25
03,132,03133,2/18/25
03,132,03134,2/18/25
03,132,03135,2/18/25
03,132,03136,2/18/25
03,132,03137,2/18/25
03,126,03138,2/18/25
03,127,03139,2/18/25
03,217,03727,2/18/25
03,217,03728,2/18/25
03,217,03729,2/18/25
03,217,03730,2/18/25
03,518,03731,2/18/25
03,220,03732,2/18/25
03,140,03199,2/18/25
03,140,03200,2/18/25
03,148,03201,2/18/25
03,152,03202,2/18/25
03,158,03203,2/18/25
03,158,03204,2/18/25
03,158,03205,2/18/25
03,162,03206,2/18/25
03,529,03529,2/18/25
03,529,03530,2/18/25
03,529,03531,2/18/25
03,529,03537,2/18/25
03,146,03532,2/18/25
03,146,03533,2/18/25
03,146,03534,2/18/25
03,146,03535,2/18/25
03,146,03536,2/18/25
03,101,03463,2/18/25
03,102,03464,2/18/25
03,103,03465,2/18/25
03,103,03466,2/18/25
03,103,03467,2/18/25
03,103,03468,2/18/25
03,103,03469,2/18/25
03,104,03470,2/18/25
03,105,03471,2/18/25
03,278,03661,2/18/25
03,278,03662,2/18/25
03,278,03663,2/18/25
03,278,03664,2/18/25
03,276,03665,2/18/25
03,276,03666,2/18/25
03,276,03667,2/18/25
03,276,03668,2/18/25
03,276,03669,2/18/25
03,274,03670,2/18/25
03,274,03671,2/18/25
