"village_district","Village","District","Province","Latitude","Longitude","Population size","dist_minutes_cat1","dist_minutes_cat3","2021","2022","order","ipa.2021","ipa.2022","randomizationArm 2","randomizationArm 11","randomizationArm 36","randomizationArm 54","randomizationArm 70","randomizationArm 84","randomizationArm 105","randomizationArm 170","randomizationArm 196","randomizationArm 206","randomizationArm 207","randomizationArm 216","randomizationArm 263","randomizationArm 300","randomizationArm 328","randomizationArm 344","randomizationArm 362","randomizationArm 395","randomizationArm 397","randomizationArm 418","randomizationArm 425","randomizationArm 436","randomizationArm 451","randomizationArm 465","randomizationArm 489","randomizationArm 496","randomizationArm 508","randomizationArm 516","randomizationArm 527","randomizationArm 547","randomizationArm 563","randomizationArm 565","randomizationArm 597","randomizationArm 609","randomizationArm 616","randomizationArm 637","randomizationArm 640","randomizationArm 641","randomizationArm 655","randomizationArm 658","randomizationArm 662","randomizationArm 666","randomizationArm 667","randomizationArm 682","randomizationArm 697","randomizationArm 702","randomizationArm 704","randomizationArm 712","randomizationArm 799","randomizationArm 804","randomizationArm 833","randomizationArm 844","randomizationArm 869","randomizationArm 874","randomizationArm 887","randomizationArm 929","randomizationArm 932","randomizationArm 947","randomizationArm 950","randomizationArm 951","randomizationArm 952","randomizationArm 955","randomizationArm 974","randomizationArm 1026","randomizationArm 1037","randomizationArm 1063","randomizationArm 1101","randomizationArm 1114","randomizationArm 1121","randomizationArm 1124","randomizationArm 1130","randomizationArm 1134","randomizationArm 1177","randomizationArm 1189","randomizationArm 1220","randomizationArm 1225","randomizationArm 1260","randomizationArm 1298","randomizationArm 1310","randomizationArm 1325","randomizationArm 1329","randomizationArm 1336","randomizationArm 1338","randomizationArm 1349","randomizationArm 1360","randomizationArm 1363","randomizationArm 1384","randomizationArm 1390","randomizationArm 1416","randomizationArm 1441","randomizationArm 1498","randomizationArm 1507","randomizationArm 1561","randomizationArm 1569","randomizationArm 1576","randomizationArm 1584","randomizationArm 1617","randomizationArm 1622","randomizationArm 1636","randomizationArm 1664","randomizationArm 1712","randomizationArm 1718","randomizationArm 1769","randomizationArm 1772","randomizationArm 1781","randomizationArm 1809","randomizationArm 1833","randomizationArm 1841","randomizationArm 1847","randomizationArm 1857","randomizationArm 1859","randomizationArm 1867","randomizationArm 1891","randomizationArm 1892","randomizationArm 1904","randomizationArm 1913","randomizationArm 1944","randomizationArm 1951","randomizationArm 1960","randomizationArm 1985","randomizationArm 2034","randomizationArm 2051","randomizationArm 2088","randomizationArm 2090","randomizationArm 2093","randomizationArm 2098","randomizationArm 2099","randomizationArm 2111","randomizationArm 2127","randomizationArm 2143","randomizationArm 2180","randomizationArm 2194","randomizationArm 2233","randomizationArm 2235","randomizationArm 2259","randomizationArm 2292","randomizationArm 2297","randomizationArm 2321","randomizationArm 2324","randomizationArm 2363","randomizationArm 2369","randomizationArm 2371","randomizationArm 2373","randomizationArm 2399","randomizationArm 2440","randomizationArm 2441","randomizationArm 2465","randomizationArm 2513","randomizationArm 2540","randomizationArm 2542","randomizationArm 2593","randomizationArm 2604","randomizationArm 2605","randomizationArm 2643","randomizationArm 2650","randomizationArm 2653","randomizationArm 2657","randomizationArm 2661","randomizationArm 2664","randomizationArm 2668","randomizationArm 2684","randomizationArm 2687","randomizationArm 2713","randomizationArm 2760","randomizationArm 2777","randomizationArm 2785","randomizationArm 2789","randomizationArm 2824","randomizationArm 2857","randomizationArm 2861","randomizationArm 2888","randomizationArm 2902","randomizationArm 2934","randomizationArm 2962","randomizationArm 2983"
"FLOR DE AGOSTO_PUNCHANA","FLOR DE AGOSTO","PUNCHANA","Maynas",-73.34517844,-3.63324797,47,55,175,1,6,32,21.2765957446809,127.659574468085,2,2,1,2,1,2,1,1,2,2,2,1,1,2,1,1,2,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,1,2,1,1,2,2,2,2,2,1,2,1,1,2,1,2,1,2,1,1,1,1,2,2,2,1,2,2,1,1,1,2,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,2,1,1,1,1,2,2,2,1,2,2,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,1,2,2,2,1,2,1,1,1
"MOMONCILLO_PUNCHANA","MOMONCILLO","PUNCHANA","Maynas",-73.26928472,-3.67263588,137,48,60,0,12,36,0,87.5912408759124,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,1,1,1,1,2,2,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,1,2,1,1,1,2,2,1,1,2,1,1,2,2,1,1,1,2,1,1,1,2,1,2,1,2,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,1,2,1,2,2,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,1,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,1,1,2,1,1,2,2,1,2,1,2,2,2,2,1,2,2,1,2,2,1,1,2,2,2,1,2,2,2,2,2
"NUEVO SAN ANTONIO_PUNCHANA","NUEVO SAN ANTONIO","PUNCHANA","Maynas",-73.33319476,-3.64587537,87,23,143,0,9,40,0,103.448275862069,2,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,2,1,2,1,2,1,2,2,2,1,1,1,2,2,2,2,1,2,2,1,1,1,1,2,2,2,2,2,2,1,2,1,2,1,2,1,1,2,2,2,1,1,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,2,2,1,2,2,2,1,2,1,1,2,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,1,2,1,1,2,1,2,2,2,1,2,2,2,1,2,1,1,2,1,1,1,1,2,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,1,1,2,1
"SAN ANTONIO_PUNCHANA","SAN ANTONIO","PUNCHANA","Maynas",-73.25994,-3.627738333,70,72,88,0,3,46,0,42.8571428571429,2,1,1,2,2,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,1,2,2,1,2,2,2,2,1,1,1,2,2,1,1,2,2,2,2,1,1,2,1,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,1,2,1,1,2,2,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,2,1,2,1,2,1,2,2,1,2,2,1,2,1,1,1,1,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,2,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1
"SANTO TOMAS DE CAPIRONAL_PUNCHANA","SANTO TOMAS DE CAPIRONAL","PUNCHANA","Maynas",-73.36174061,-3.57877907,78,197,317,1,6,50,12.8205128205128,76.9230769230769,1,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,1,2,1,1,2,2,2,1,2,2,1,2,1,1,2,2,1,2,1,1,1,2,1,2,2,1,1,2,2,1,2,1,2,1,1,1,2,1,2,2,2,1,2,1,1,2,2,1,2,1,1,2,2,2,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,2,2,1,2,2,1,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,2,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,1,2,2,1,2,2,2,2,2,1,1,1,2,2
"UNION FAMILIAR_PUNCHANA","UNION FAMILIAR","PUNCHANA","Maynas",-73.38096847,-3.54480853,53,205,496,0,7,52,0,132.075471698113,2,1,1,2,1,1,2,1,1,1,2,1,1,2,2,1,2,2,2,2,1,2,1,2,1,2,1,2,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,1,2,2,1,2,2,1,1,1,1,2,2,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,2,1,2,1,1,1,2,1,1,2,2,1,2,2,2,1,1,2,2,1,2,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,1,2,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,2,1,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,1,2,2,2
"13 DE FEBRERO_SAN JUAN BAUTISTA","13 DE FEBRERO","SAN JUAN BAUTISTA","Maynas",-73.43294795,-4.02103626,576,6,70,3,4,55,5.20833333333333,6.94444444444444,2,2,2,2,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,1,1,2,1,2,1,2,1,2,2,2,2,2,1,1,2,1,2,1,2,2,2,1,1,1,1,2,1,1,2,1,2,2,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,2,1,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,1,2,1,1,1,2,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,1,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,1,2,1,2,2,2,1,1,1
"CAHUIDE_SAN JUAN BAUTISTA","CAHUIDE","SAN JUAN BAUTISTA","Maynas",-73.48777991,-4.23102361,639,29,100,2,3,60,3.12989045383412,4.69483568075117,2,2,2,1,1,2,1,2,1,2,2,1,1,1,2,1,1,2,2,1,1,1,2,1,2,1,1,2,2,1,2,2,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,1,2,2,2,1,2,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,1,2,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,1,1,2,2,2,1,2,2,2,1,2,1,2,1,1,2,1,2,2,1,2,2,1,2,2,1,1,2,1,2,1,2,2,2,1,2,2,2,2,1,1,2,2,1,1,2,2,1
"EX PETROLERO I ZONA_SAN JUAN BAUTISTA","EX PETROLERO I ZONA","SAN JUAN BAUTISTA","Maynas",-73.45320074,-4.09183465,489,8,80,2,15,63,4.08997955010225,30.6748466257669,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,2,2,2,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,2,2,2,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,1,2,2,1,1,1,1,2,1,1,2
"MISHANA_SAN JUAN BAUTISTA","MISHANA","SAN JUAN BAUTISTA","Maynas",-73.49216646,-3.88150894,62,429,476,0,3,67,0,48.3870967741936,1,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,2,1,1,2,2,1,1,2,1,1,1,2,2,1,2,1,2,2,2,2,1,2,2,2,1,1,1,1,2,2,2,1,2,1,1,1,2,2,2,2,1,2,1,2,1,1,2,1,1,2,1,1,1,1,2,2,1,2,2,1,2,2,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2,2,1,2,1,2,2,1,2,1,2,1,2,2,2,2,1,1,1,1,2,1,2,2,1,2,1,1,2,2,1,1,1,2,1,2,2,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1,1,1,2
"MORALILLO_SAN JUAN BAUTISTA","MORALILLO","SAN JUAN BAUTISTA","Maynas",-73.33875707,-3.91011222,396,4,49,0,7,68,0,17.6767676767677,1,2,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,1,2,2,1,2,1,2,2,2,1,1,2,2,1,1,1,2,2,1,1,2,1,2,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,2,1,2,1,1,2,1,1,2,1,1,2,2,2,1,1,2,1,2,2,2,2,2,1,1,1,2,1,1,1,2,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2
"NINA RUMI_SAN JUAN BAUTISTA","NINA RUMI","SAN JUAN BAUTISTA","Maynas",-73.38648037,-3.84512812,649,0,53,6,72,69,9.24499229583975,110.939907550077,1,1,1,1,2,2,1,1,2,1,2,1,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,2,1,1,1,1,2,2,2,1,2,2,2,1,1,1,2,1,2,1,2,2,1,2,2,1,2,1,2,2,2,1,2,2,1,1,2,2,1,2,2,1,1,2,2,2,1,2,1,1,1,2,1,1,1,2,2,2,2,1,2,2,2,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,1,2,2,1,2,2,2,1,2,2,2,1,1,1,2,1,2,1,2,1,1,1,1,2,1,2,2,2,1,1,2,1,2,1,1,1,1,2,2,1,1,1,2,2,1,2,2,2,2,1,2,2,1,1,1
"NUEVO HORIZONTE_SAN JUAN BAUTISTA","NUEVO HORIZONTE","SAN JUAN BAUTISTA","Maynas",-73.44612307,-4.07150914,316,3,75,0,7,71,0,22.1518987341772,1,2,2,2,2,2,2,1,2,1,1,1,2,2,1,1,2,1,2,2,2,1,2,2,1,2,2,1,2,1,2,2,2,2,1,2,2,1,1,1,2,2,1,2,2,1,1,2,1,2,1,2,1,2,1,2,2,1,1,2,1,2,2,1,2,2,1,1,1,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,2,2,1,2,1,1,2,2,2,1,1,2,2,1,1,1,1,2,1,1,2,1,2,2,1,1,2,2,1,2,1,2,1,1,1,2,2,2,1,2,2,2,1,2,1,1,1,2,2,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2,2,1,1,1,2,2,1,2,1,1,2,2,1,1,1,2,2,1,1
"NUEVO MILAGRO_SAN JUAN BAUTISTA","NUEVO MILAGRO","SAN JUAN BAUTISTA","Maynas",-73.37414075,-3.93885069,165,9,54,0,6,72,0,36.3636363636364,1,1,1,2,1,2,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,1,2,1,1,2,1,2,2,1,2,2,2,2,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,2,1,1,1,1,1,2,2,1,2,2,1,1,1,1,2,1,1,2,1,2,1,1,1,1,2,2,1,2,1,2,2,2,1,2,1,2,2,2,1,1,1,1,2,2,2,1,2,1,2,2,1,2,1,2,2,2,2,2,1,2
