"","village_district","Village","District","Province","Latitude","Longitude","Population size","dist_minutes_cat1","dist_minutes_cat3","2021","2022","order"
"65","HABANA_SAN JUAN BAUTISTA","HABANA","SAN JUAN BAUTISTA","Maynas",-73.47933417,-4.20314447,193,24,96,1,1,64
"66","LLANCHAMA_SAN JUAN BAUTISTA","LLANCHAMA","SAN JUAN BAUTISTA","Maynas",-73.40921615,-3.85797192,214,9,56,3,74,65
"67","LOS DELFINES-CRUZ DEL SUR_SAN JUAN BAUTISTA","LOS DELFINES-CRUZ DEL SUR","SAN JUAN BAUTISTA","Maynas",-73.33787246,-3.8467545,1452,3,38,4,7,66
"68","MISHANA_SAN JUAN BAUTISTA","MISHANA","SAN JUAN BAUTISTA","Maynas",-73.49216646,-3.88150894,62,429,476,0,3,67
"69","MORALILLO_SAN JUAN BAUTISTA","MORALILLO","SAN JUAN BAUTISTA","Maynas",-73.33875707,-3.91011222,396,4,49,0,7,68
"70","NINA RUMI_SAN JUAN BAUTISTA","NINA RUMI","SAN JUAN BAUTISTA","Maynas",-73.38648037,-3.84512812,649,0,53,6,72,69
"71","NUEVA ESPERANZA_SAN JUAN BAUTISTA","NUEVA ESPERANZA","SAN JUAN BAUTISTA","Maynas",-73.41405915,-3.90478713,59,338,382,0,1,70
"72","NUEVO HORIZONTE_SAN JUAN BAUTISTA","NUEVO HORIZONTE","SAN JUAN BAUTISTA","Maynas",-73.44612307,-4.07150914,316,3,75,0,7,71
"73","NUEVO MILAGRO_SAN JUAN BAUTISTA","NUEVO MILAGRO","SAN JUAN BAUTISTA","Maynas",-73.37414075,-3.93885069,165,9,54,0,6,72
"74","NUEVO PROGRESO_SAN JUAN BAUTISTA","NUEVO PROGRESO","SAN JUAN BAUTISTA","Maynas",-73.42731618,-4.20777807,99,93,165,1,0,73
"75","NUEVO SAN MARTIN_SAN JUAN BAUTISTA","NUEVO SAN MARTIN","SAN JUAN BAUTISTA","Maynas",-73.51559905,-4.28785681,26,NA,NA,1,0,74
"76","NUEVO TRIUNFO_SAN JUAN BAUTISTA","NUEVO TRIUNFO","SAN JUAN BAUTISTA","Maynas",-73.49824911,-4.12637,31,75,146,0,1,75
"77","PALO SECO_SAN JUAN BAUTISTA","PALO SECO","SAN JUAN BAUTISTA","Maynas",-73.37134055,-4.00353959,94,112,171,0,3,76
"78","PARAISO_SAN JUAN BAUTISTA","PARAISO","SAN JUAN BAUTISTA","Maynas",-73.38256668,-4.04117196,70,64,127,0,0,77
"79","PAUJIL I ZONA_SAN JUAN BAUTISTA","PAUJIL I ZONA","SAN JUAN BAUTISTA","Maynas",-73.43779829,-4.04225443,135,NA,NA,0,12,78
"80","PAUJIL II ZONA_SAN JUAN BAUTISTA","PAUJIL II ZONA","SAN JUAN BAUTISTA","Maynas",-73.43779829,-4.04225443,135,NA,NA,0,8,79
"81","PEÑA NEGRA_SAN JUAN BAUTISTA","PEÑA NEGRA","SAN JUAN BAUTISTA","Maynas",-73.33817614,-3.86343656,367,NA,NA,0,9,80
"82","PORVENIR_SAN JUAN BAUTISTA","PORVENIR","SAN JUAN BAUTISTA","Maynas",-73.55697379,-3.90011748,66,854,954,2,4,81
"83","PUERTO ALMENDRA_SAN JUAN BAUTISTA","PUERTO ALMENDRA","SAN JUAN BAUTISTA","Maynas",-73.37823118,-3.83100579,NA,6,46,1,28,82
"84","QUISTOCOCHA_SAN JUAN BAUTISTA","QUISTOCOCHA","SAN JUAN BAUTISTA","Maynas",-73.32586935,-3.82279307,1675,6,34,22,20,83
"85","RUMOCOCHA_SAN JUAN BAUTISTA","RUMOCOCHA","SAN JUAN BAUTISTA","Maynas",-73.31283184,-3.77955548,1979,NA,NA,0,4,84
"86","SAN ANTONIO_SAN JUAN BAUTISTA","SAN ANTONIO","SAN JUAN BAUTISTA","Maynas",-73.379614,-4.026352,158,16,79,0,3,85
"87","SAN CARLOS_SAN JUAN BAUTISTA","SAN CARLOS","SAN JUAN BAUTISTA","Maynas",-73.34463951,-3.95923707,74,45,90,0,0,86
"88","SAN JOSE_SAN JUAN BAUTISTA","SAN JOSE","SAN JUAN BAUTISTA","Maynas",-73.39179954,-3.93204651,111,8,53,0,1,87
"89","SAN LUCAS_SAN JUAN BAUTISTA","SAN LUCAS","SAN JUAN BAUTISTA","Maynas",-73.45425593,-4.10327409,408,8,80,1,5,88
"90","SAN PEDRO_SAN JUAN BAUTISTA","SAN PEDRO","SAN JUAN BAUTISTA","Maynas",-73.36611571,-3.99999146,41,99,144,0,1,89
"91","SAN PEDRO PINTUYACU_SAN JUAN BAUTISTA","SAN PEDRO PINTUYACU","SAN JUAN BAUTISTA","Maynas",-73.4024554,-4.10364585,NA,NA,NA,0,1,90
"92","SANTA BARBARA_SAN JUAN BAUTISTA","SANTA BARBARA","SAN JUAN BAUTISTA","Maynas",-73.32865218,-3.94312725,67,89,134,0,1,91
"93","SANTA CLARA_SAN JUAN BAUTISTA","SANTA CLARA","SAN JUAN BAUTISTA","Maynas",-73.33967642,-3.78454135,2381,4,43,10,38,92
"94","SANTO TOMAS_SAN JUAN BAUTISTA","SANTO TOMAS","SAN JUAN BAUTISTA","Maynas",-73.3406291,-3.80470845,684,1,38,20,41,93
"95","SOLEDAD_SAN JUAN BAUTISTA","SOLEDAD","SAN JUAN BAUTISTA","Maynas",-73.36112545,-3.98261313,117,30,75,0,1,94
"96","UNION_SAN JUAN BAUTISTA","UNION","SAN JUAN BAUTISTA","Maynas",-73.41628681,-4.12752995,61,190,262,1,0,95
"97","VARILLAL_SAN JUAN BAUTISTA","VARILLAL","SAN JUAN BAUTISTA","Maynas",-73.35390623,-3.8896413,646,3,48,74,172,96
"98","VILLA EL BUEN PASTOR_SAN JUAN BAUTISTA","VILLA EL BUEN PASTOR","SAN JUAN BAUTISTA","Maynas",-73.36111249,-3.94851666,NA,13,58,10,52,97
"99","YUTO_SAN JUAN BAUTISTA","YUTO","SAN JUAN BAUTISTA","Maynas",-73.54987237,-3.90104792,32,NA,NA,0,3,98
"100","ZUNGARO COCHA-CORRIENTILLO_SAN JUAN BAUTISTA","ZUNGARO COCHA-CORRIENTILLO","SAN JUAN BAUTISTA","Maynas",-73.3551862,-3.82805974,645,NA,NA,22,20,99
