village_district,order,village,district,province,basin,selected,dist_iquitos,population,access,pfal2013,pmal2013,pviv2013,malaria2013,pfal2014,pmal2014,pviv2014,malaria2014,pfal2015,pmal2015,pviv2015,malaria2015,pfal2016,pmal2016,pviv2016,malaria2016,pfal2017,pviv2017,malaria2017,pfal2018,pviv2018,malaria2018,pfal2019,pviv2019,malaria2019,api.pfal2013,api.pfal2014,api.pfal2015,api.pfal2016,api.pfal2017,api.pfal2018,api.pfal2019,api.pmal2013,api.pmal2014,api.pmal2015,api.pmal2016,api.pviv2013,api.pviv2014,api.pviv2015,api.pviv2016,api.pviv2017,api.pviv2018,api.pviv2019,api.malaria2013,api.malaria2014,api.malaria2015,api.malaria2016,api.malaria2017,api.malaria2018,api.malaria2019,XGD,YGD,dist_minutes_cat3,dist_minutes_cat2,dist_minutes_cat1,dist_minutes_all,urban,landc,cobVeg,cobVeg_simbol,pop2k,pop5k
JUAN PEÑAHERRERA_SAN JUAN BAUTISTA,11,JUAN PEÑAHERRERA,SAN JUAN BAUTISTA,MAYNAS,Nanay,No,NA,NA,NA,1,0,4,5,0,0,1,1,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.2775906,-3.77784475,NA,NA,NA,NA,NA,NA,NA,NA,1156.729004,4912.56804
PADRE COCHA_PUNCHANA,12,PADRE COCHA,PUNCHANA,MAYNAS,Nanay,Yes,9337,1695,24.072901,22,0,526,548,27,0,834,861,16,0,214,230,25,0,145,170,11,206,217,78,438,516,5,129,134,12.97935103,15.92920354,9.439528024,14.74926254,6.489675516,46.01769912,2.949852507,0,0,0,0,310.3244838,492.0353982,126.2536873,85.54572271,121.5339233,258.4070796,76.10619469,323.3038348,507.9646018,135.6932153,100.2949853,128.0235988,304.4247788,79.0560472,-73.27788166,-3.69834512,NA,NA,NA,NA,NA,NA,NA,NA,459.8573388,3092.096521
MODELO_SAN JUAN BAUTISTA,13,MODELO,SAN JUAN BAUTISTA,MAYNAS,Nanay,No,NA,NA,NA,0,0,5,5,4,0,26,30,3,0,12,15,2,0,18,20,2,14,16,2,6,8,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.28197869,-3.77815037,25,9,0,0,1,13,Areas de no bosque amazï¿½nico,Ano,1242.438555,5071.890041
MANACAMIRI_IQUITOS,14,MANACAMIRI,IQUITOS,MAYNAS,Nanay,Yes,6604,529,6.203924974,14,0,183,197,6,0,327,333,24,1,47,72,30,0,78,108,10,41,51,31,91,122,18,46,64,26.46502836,11.34215501,45.36862004,56.71077505,18.90359168,58.60113422,34.02646503,0,0,1.890359168,0,345.9357278,618.147448,88.84688091,147.4480151,77.5047259,172.0226843,86.95652174,372.4007561,629.489603,136.1058601,204.1587902,96.40831758,230.6238185,120.9829868,-73.28367097,-3.71812322,50,45,0,0,1,13,Areas de no bosque amazï¿½nico,Ano,448.5197033,3657.511237
HEROES DEL CENEPA_SAN JUAN BAUTISTA,15,HEROES DEL CENEPA,SAN JUAN BAUTISTA,MAYNAS,Nanay,No,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.28838698,-3.78742722,33,16,0,0,1,13,Pajonal andino,Pj,1217.924391,4988.360803
INKA MANKO KALI_SAN JUAN BAUTISTA,16,INKA MANKO KALI,SAN JUAN BAUTISTA,MAYNAS,Nanay,No,NA,NA,NA,0,0,2,2,1,0,2,3,1,0,3,4,0,0,11,11,0,0,0,1,2,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.29896494,-3.7942032,NA,NA,NA,NA,NA,NA,NA,NA,1288.866341,5022.917546
SIMON BOLIVAR_SAN JUAN BAUTISTA,17,SIMON BOLIVAR,SAN JUAN BAUTISTA,MAYNAS,Nanay,No,NA,NA,NA,2,0,17,19,9,0,84,93,3,0,38,41,12,0,29,41,1,3,4,3,4,7,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.30240465,-3.77623259,26,10,2,2,1,13,Pajonal andino,Pj,1224.678043,5057.318329
SAN ANTONIO_SAN JUAN BAUTISTA,18,SAN ANTONIO,SAN JUAN BAUTISTA,MAYNAS,Nanay,No,NA,158,NA,4,0,18,22,1,0,17,18,1,0,4,5,10,0,5,15,0,2,2,1,1,2,0,0,0,25.3164557,6.329113924,6.329113924,63.29113924,0,6.329113924,0,0,0,0,0,113.9240506,107.5949367,25.3164557,31.64556962,12.65822785,6.329113924,0,139.2405063,113.9240506,31.64556962,94.93670886,12.65822785,12.65822785,0,-73.30477189,-3.79518476,29,12,2,2,1,13,Matorral arbustivo,Ma,1308.325877,5024.548411
RUMOCOCHA_SAN JUAN BAUTISTA,19,RUMOCOCHA,SAN JUAN BAUTISTA,MAYNAS,Nanay,No,10440,1979,2.964999886,5,0,142,147,25,0,366,391,4,0,137,141,22,0,225,247,2,19,21,17,249,266,4,54,58,2.52652855,12.63264275,2.02122284,11.11672562,1.01061142,8.590197069,2.02122284,0,0,0,0,71.75341081,184.9418898,69.22688226,113.6937847,9.600808489,125.8211218,27.28650834,74.27993936,197.5745326,71.2481051,124.8105104,10.61141991,134.4113188,29.30773118,-73.31283184,-3.77955548,NA,NA,NA,NA,NA,NA,NA,NA,1128.715238,4779.612002
SAN MARTIN DE PORRES_IQUITOS,20,SAN MARTIN DE PORRES,IQUITOS,MAYNAS,Nanay,No,10942,77,37.77624969,4,0,103,107,5,0,67,72,0,0,35,35,21,0,44,65,12,21,33,34,50,84,0,2,2,51.94805195,64.93506494,0,272.7272727,155.8441558,441.5584416,0,0,0,0,0,1337.662338,870.1298701,454.5454545,571.4285714,272.7272727,649.3506494,25.97402597,1389.61039,935.0649351,454.5454545,844.1558442,428.5714286,1090.909091,25.97402597,-73.31614579,-3.71544507,NA,NA,NA,NA,NA,NA,NA,NA,375.2645092,2353.827459
25 DE ENERO_SAN JUAN BAUTISTA,21,25 DE ENERO,SAN JUAN BAUTISTA,MAYNAS,Nanay,No,NA,204,NA,0,0,2,2,1,0,13,14,0,0,3,3,0,0,0,0,0,0,0,1,1,2,0,0,0,0,4.901960784,0,0,0,4.901960784,0,0,0,0,0,9.803921569,63.7254902,14.70588235,0,0,4.901960784,0,9.803921569,68.62745098,14.70588235,0,0,9.803921569,0,-73.31667667,-3.80980735,32,15,5,5,0,10,Matorral arbustivo,Ma,1084.468069,4811.966406
SAN JOSE DE LUPUNA_IQUITOS,22,SAN JOSE DE LUPUNA,IQUITOS,MAYNAS,Nanay,Yes,13066,361,26.05529889,14,0,230,244,23,0,257,280,13,0,230,243,122,0,159,281,50,136,186,86,139,225,23,71,94,38.78116343,63.71191136,36.01108033,337.9501385,138.5041551,238.2271468,63.71191136,0,0,0,0,637.1191136,711.9113573,637.1191136,440.4432133,376.7313019,385.0415512,196.6759003,675.900277,775.6232687,673.1301939,778.3933518,515.2354571,623.2686981,260.3878116,-73.32384418,-3.74529103,99,82,50,50,0,10,Matorral arbustivo,Ma,454.465521,3285.106023
SANTA RITA_IQUITOS,23,SANTA RITA,IQUITOS,MAYNAS,Nanay,Yes,12569,299,18.0093506,4,0,203,207,19,0,305,324,9,0,208,217,130,0,207,337,42,150,192,83,150,233,21,188,209,13.37792642,63.5451505,30.10033445,434.7826087,140.4682274,277.5919732,70.23411371,0,0,0,0,678.9297659,1020.06689,695.6521739,692.3076923,501.6722408,501.6722408,628.7625418,692.3076923,1083.61204,725.7525084,1127.090301,642.1404682,779.264214,698.9966555,-73.32390262,-3.7334809,98,82,0,0,0,8,Agricultura costera y andina,Agri,434.5749,2684.020964
QUISTOCOCHA_SAN JUAN BAUTISTA,24,QUISTOCOCHA,SAN JUAN BAUTISTA,MAYNAS,Nanay,No,13568,1675,5.361949859,34,0,427,461,53,0,965,1018,21,0,281,302,22,0,251,273,16,189,205,20,137,157,4,55,59,20.29850746,31.64179104,12.53731343,13.13432836,9.552238806,11.94029851,2.388059701,0,0,0,0,254.9253731,576.119403,167.761194,149.8507463,112.8358209,81.79104478,32.8358209,275.2238806,607.761194,180.2985075,162.9850746,122.3880597,93.73134328,35.2238806,-73.32586935,-3.82279307,34,17,6,6,1,13,Agricultura costera y andina,Agri,881.0022351,4341.865971
SAN PEDRO_IQUITOS,25,SAN PEDRO,IQUITOS,MAYNAS,Nanay,Yes,19007,191,30.48904977,15,0,221,236,25,0,248,273,17,0,143,160,129,0,157,286,22,48,70,23,41,64,19,45,64,78.53403141,130.8900524,89.0052356,675.3926702,115.1832461,120.4188482,99.47643979,0,0,0,0,1157.068063,1298.429319,748.6910995,821.9895288,251.3089005,214.6596859,235.6020942,1235.602094,1429.319372,837.6963351,1497.382199,366.4921466,335.078534,335.078534,-73.33247562,-3.7508329,105,89,77,77,0,8,Desierto costero,Dc,462.6354544,3303.427844
CRUZ DEL SUR_SAN JUAN BAUTISTA,26,CRUZ DEL SUR,SAN JUAN BAUTISTA,MAYNAS,Nanay,No,NA,480,NA,0,0,3,3,1,0,9,10,0,0,8,8,1,0,10,11,0,0,0,0,2,2,0,0,0,0,2.083333333,0,2.083333333,0,0,0,0,0,0,0,6.25,18.75,16.66666667,20.83333333,0,4.166666667,0,6.25,20.83333333,16.66666667,22.91666667,0,4.166666667,0,-73.33573522,-3.84391031,38,21,3,3,0,10,Agricultura costera y andina,Agri,775.7070409,3316.070209
12 DE DICIEMBRE_SAN JUAN BAUTISTA,27,12 DE DICIEMBRE,SAN JUAN BAUTISTA,MAYNAS,Nanay,No,NA,NA,NA,2,0,39,41,2,0,59,61,1,0,29,30,2,0,5,7,0,0,0,0,2,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.33637132,-3.81616626,36,19,4,4,0,10,Matorral arbustivo,Ma,907.6584517,4325.709222
LOS DELFINES_SAN JUAN BAUTISTA,28,LOS DELFINES,SAN JUAN BAUTISTA,MAYNAS,Nanay,No,16834,1452,10.80989986,5,0,65,70,12,0,223,235,6,0,108,114,18,0,97,115,6,45,51,2,42,44,1,14,15,3.443526171,8.26446281,4.132231405,12.39669421,4.132231405,1.377410468,0.688705234,0,0,0,0,44.76584022,153.5812672,74.38016529,66.80440771,30.99173554,28.92561983,9.641873278,48.20936639,161.84573,78.51239669,79.20110193,35.12396694,30.3030303,10.33057851,-73.33787246,-3.8467545,38,21,3,3,0,10,Agricultura costera y andina,Agri,774.1759698,3224.65215
PEÑA NEGRA_SAN JUAN BAUTISTA,29,PEÑA NEGRA,SAN JUAN BAUTISTA,MAYNAS,Nanay,No,18038,367,NA,2,0,14,16,3,0,77,80,3,0,38,41,1,0,44,45,1,16,17,2,1,3,0,3,3,5.449591281,8.174386921,8.174386921,2.72479564,2.72479564,5.449591281,0,0,0,0,0,38.14713896,209.8092643,103.5422343,119.8910082,43.59673025,2.72479564,8.174386921,43.59673025,217.9836512,111.7166213,122.6158038,46.32152589,8.174386921,8.174386921,-73.33817614,-3.86343656,NA,NA,NA,NA,NA,NA,NA,NA,527.5208075,2777.469168
SANTA CLARA_SAN JUAN BAUTISTA,30,SANTA CLARA,SAN JUAN BAUTISTA,MAYNAS,Nanay,Yes,NA,2381,21.99062406,44,0,253,297,192,0,1119,1311,26,0,377,403,115,0,449,564,38,239,277,72,742,814,1,123,124,18.47963041,80.63838723,10.9197816,48.29903402,15.95968081,30.23939521,0.4199916,0,0,0,0,106.2578748,469.9706006,158.3368333,188.5762285,100.3779924,311.6337673,51.65896682,124.7375052,550.6089878,169.2566149,236.8752625,116.3376732,341.8731625,52.07895842,-73.33967642,-3.78454135,43,26,4,4,1,13,Pajonal andino,Pj,685.4930802,3944.330811
SANTO TOMAS_SAN JUAN BAUTISTA,31,SANTO TOMAS,SAN JUAN BAUTISTA,MAYNAS,Nanay,Yes,13582,684,7.213749641,57,0,205,262,120,0,915,1035,56,0,326,382,59,0,352,411,33,181,214,36,331,367,3,48,51,83.33333333,175.4385965,81.87134503,86.25730994,48.24561404,52.63157895,4.385964912,0,0,0,0,299.7076023,1337.719298,476.6081871,514.619883,264.619883,483.9181287,70.1754386,383.0409357,1513.157895,558.4795322,600.877193,312.8654971,536.5497076,74.56140351,-73.3406291,-3.80470845,38,22,1,1,0,10,Matorral arbustivo,Ma,789.6917395,4239.132143
CUYANA_SAN JUAN BAUTISTA,32,CUYANA,SAN JUAN BAUTISTA,MAYNAS,Nanay,Yes,17492,175,NA,28,0,202,230,91,0,274,365,31,0,134,165,17,0,44,61,5,21,26,19,94,113,1,70,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.34257139,-3.83350289,37,21,3,3,0,10,Bosque de terraza baja,Btb,959.8364306,3669.124532
VARILLAL_SAN JUAN BAUTISTA,33,VARILLAL,SAN JUAN BAUTISTA,MAYNAS,Nanay,Yes,22344,646,19.93287432,25,0,152,177,6,0,241,247,31,0,315,346,132,0,445,577,6,247,253,6,117,123,2,62,64,38.6996904,9.287925697,47.9876161,204.3343653,9.287925697,9.287925697,3.095975232,0,0,0,0,235.2941176,373.0650155,487.6160991,688.8544892,382.3529412,181.1145511,95.9752322,273.993808,382.3529412,535.6037152,893.1888545,391.6408669,190.4024768,99.07120743,-73.35390623,-3.8896413,48,32,3,3,0,10,Agricultura costera y andina,Agri,377.115118,1963.443512
SANTA ISABEL DE ZUNGARO COCHA_SAN JUAN BAUTISTA,34,SANTA ISABEL DE ZUNGARO COCHA,SAN JUAN BAUTISTA,MAYNAS,Nanay,Yes,17492,645,12.3708757,69,0,610,679,109,0,877,986,32,0,453,485,70,0,348,418,62,410,472,57,283,340,2,113,115,106.9767442,168.9922481,49.6124031,108.5271318,96.12403101,88.37209302,3.100775194,0,0,0,0,945.7364341,1359.689922,702.3255814,539.5348837,635.6589147,438.7596899,175.1937984,1052.713178,1528.682171,751.9379845,648.0620155,731.7829457,527.1317829,178.2945736,-73.3551862,-3.82805974,NA,NA,NA,NA,NA,NA,NA,NA,747.4616318,3475.469073
CORRIENTILLO_SAN JUAN BAUTISTA,35,CORRIENTILLO,SAN JUAN BAUTISTA,MAYNAS,Nanay,No,NA,NA,NA,2,0,25,27,1,0,8,9,0,0,2,2,2,0,6,8,0,0,0,0,3,3,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.36245739,-3.83624877,47,31,6,6,1,13,Cardonal,Car,638.3211579,3093.276442
TRES UNIDOS_IQUITOS,36,TRES UNIDOS,IQUITOS,MAYNAS,Nanay,No,28896,73,134.0183492,3,0,30,33,8,0,57,65,21,0,68,89,15,0,63,78,3,22,25,5,10,15,0,1,1,41.09589041,109.5890411,287.6712329,205.4794521,41.09589041,68.49315068,0,0,0,0,0,410.9589041,780.8219178,931.5068493,863.0136986,301.369863,136.9863014,13.69863014,452.0547945,890.4109589,1219.178082,1068.493151,342.4657534,205.4794521,13.69863014,-73.36701949,-3.74220592,203,187,80,80,0,2,Agricultura costera y andina,Agri,311.0029956,2057.763813
SAN PABLO DE CUYANA_IQUITOS,37,SAN PABLO DE CUYANA,IQUITOS,MAYNAS,Nanay,No,NA,175,110.0979493,0,0,3,3,1,0,5,6,0,0,3,3,21,0,54,75,4,41,45,3,32,35,0,1,1,0,5.714285714,0,120,22.85714286,17.14285714,0,0,0,0,0,17.14285714,28.57142857,17.14285714,308.5714286,234.2857143,182.8571429,5.714285714,17.14285714,34.28571429,17.14285714,428.5714286,257.1428571,200,5.714285714,-73.3764498,-3.76628772,NA,NA,NA,NA,NA,NA,NA,NA,347.3969396,2108.663244
PUERTO ALMENDRA_SAN JUAN BAUTISTA,38,PUERTO ALMENDRA,SAN JUAN BAUTISTA,MAYNAS,Nanay,Yes,20220,NA,NA,4,0,25,29,3,0,35,38,25,0,155,180,36,0,112,148,6,14,20,23,55,78,4,30,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.37823118,-3.83100579,46,30,6,6,0,8,Pajonal andino,Pj,400.7121058,2562.972576
NINA RUMI_SAN JUAN BAUTISTA,39,NINA RUMI,SAN JUAN BAUTISTA,MAYNAS,Nanay,Yes,22169,649,16.74975026,91,0,423,514,100,0,532,632,69,0,485,554,119,0,266,385,19,106,125,69,280,349,5,83,88,140.2157165,154.0832049,106.3174114,183.3590139,29.27580894,106.3174114,7.704160247,0,0,0,0,651.7719569,819.7226502,747.3035439,409.8613251,163.3281972,431.4329738,127.8890601,791.9876733,973.8058552,853.6209553,593.220339,192.6040062,537.7503852,135.5932203,-73.38648037,-3.84512812,53,37,0,0,0,9,Matorral arbustivo,Ma,347.2082574,2148.219774
LOBOYACU_IQUITOS,40,LOBOYACU,IQUITOS,MAYNAS,Nanay,No,28557,83,108.8099993,11,0,95,106,17,0,80,97,5,0,45,50,12,0,28,40,1,13,14,1,26,27,0,0,0,132.5301205,204.8192771,60.24096386,144.5783133,12.04819277,12.04819277,0,0,0,0,0,1144.578313,963.8554217,542.1686747,337.3493976,156.626506,313.253012,0,1277.108434,1168.674699,602.4096386,481.9277108,168.6746988,325.3012048,0,-73.39004191,-3.75148644,206,190,90,90,0,2,Areas de no bosque amazï¿½nico,Ano,296.962862,1632.061331
ESPERANZA_SAN JUAN BAUTISTA,41,ESPERANZA,SAN JUAN BAUTISTA,MAYNAS,Nanay,No,NA,NA,NA,2,0,0,2,1,0,24,25,1,0,10,11,2,0,1,3,0,1,1,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.3972299,-3.84360615,62,45,14,14,0,2,Agricultura costera y andina,Agri,283.814478,1737.989968
HUATURI_IQUITOS,42,HUATURI,IQUITOS,MAYNAS,Nanay,No,NA,NA,NA,51,0,81,132,57,0,189,246,10,0,200,210,11,0,59,70,0,26,26,15,22,37,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.40501226,-3.77558485,NA,NA,NA,NA,NA,NA,NA,NA,252.9425112,1478.947836
TARAPOTO_IQUITOS,43,TARAPOTO,IQUITOS,MAYNAS,Nanay,No,34691,165,130.8189993,97,0,157,254,55,0,228,283,6,0,74,80,35,0,64,99,3,90,93,29,48,77,1,0,1,587.8787879,333.3333333,36.36363636,212.1212121,18.18181818,175.7575758,6.060606061,0,0,0,0,951.5151515,1381.818182,448.4848485,387.8787879,545.4545455,290.9090909,0,1539.393939,1715.151515,484.8484848,600,563.6363636,466.6666667,6.060606061,-73.40571852,-3.80483258,106,90,0,0,0,2,Pajonal andino,Pj,226.0176077,1542.838717
8 DE OCTUBRE_IQUITOS,44,8 DE OCTUBRE,IQUITOS,MAYNAS,Nanay,No,NA,NA,NA,8,0,34,42,10,0,54,64,7,0,97,104,6,0,32,38,0,0,0,1,5,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.40860549,-3.75214182,NA,NA,NA,NA,NA,NA,NA,NA,235.4320404,1390.28358
LLANCHAMA_SAN JUAN BAUTISTA,45,LLANCHAMA,SAN JUAN BAUTISTA,MAYNAS,Nanay,Yes,25037,214,11.89332558,106,0,176,282,53,0,213,266,48,0,308,356,119,0,274,393,5,81,86,33,147,180,3,85,88,495.3271028,247.6635514,224.2990654,556.0747664,23.36448598,154.2056075,14.01869159,0,0,0,0,822.4299065,995.3271028,1439.252336,1280.373832,378.5046729,686.9158879,397.1962617,1317.757009,1242.990654,1663.551402,1836.448598,401.8691589,841.1214953,411.2149533,-73.40921615,-3.85797192,56,40,9,9,0,2,Areas de no bosque amazï¿½nico,Ano,235.17781,1421.837138
NUEVA ESPERANZA_SAN JUAN BAUTISTA,46,NUEVA ESPERANZA,SAN JUAN BAUTISTA,MAYNAS,Nanay,No,NA,59,NA,2,0,5,7,0,0,8,8,0,0,15,15,2,0,5,7,1,10,11,0,1,1,0,0,0,33.89830508,0,0,33.89830508,16.94915254,0,0,0,0,0,0,84.74576271,135.5932203,254.2372881,84.74576271,169.4915254,16.94915254,0,118.6440678,135.5932203,254.2372881,118.6440678,186.440678,16.94915254,0,-73.41405915,-3.90478713,382,366,338,338,0,2,Agricultura costera y andina,Agri,168.7253773,1103.815987
LIBERTAD_IQUITOS,47,LIBERTAD,IQUITOS,MAYNAS,Nanay,Yes,51714,264,254.0999993,18,0,163,181,65,0,217,282,41,0,212,253,66,0,111,177,54,175,229,31,139,170,3,34,37,68.18181818,246.2121212,155.3030303,250,204.5454545,117.4242424,11.36363636,0,0,0,0,617.4242424,821.969697,803.030303,420.4545455,662.8787879,526.5151515,128.7878788,685.6060606,1068.181818,958.3333333,670.4545455,867.4242424,643.9393939,140.1515152,-73.45891341,-3.81895993,354,338,248,248,0,2,Matorral arbustivo,Ma,175.0131795,957.8779177
