Province,district,Indigenious pop,Oficial locality,Census INEI 2017,Cuenca (Basin),It is included in another project,2019_1,2019_2,2019_3,2019_4,2019_5,2019_6,2019_7,2019_8,2019_9,2019_10,2019_11,2019_12,2019_13,2019_14,2019_15,2019_16,2019_17,2019_18,2019_19,2019_20,2019_21,2019_22,2019_23,2019_24,2019_25,2019_26,2019_27,2019_28,2019_29,2019_30,2019_31,2019_32,2019_33,2019_34,2019_35,2019_36,2019_37,2019_38,2019_39,2019_40,2019_41,2019_42,2019_43,2019_44,2019_45,2019_46,2019_47,2019_48,2019_49,2019_50,2019_51,2019_52,2020_1,2020_2,2020_3,2020_4,2020_5,2020_6,2020_7,2020_8,2020_9,2020_10,2020_11,2020_12,2020_13,2020_14,2020_15,2020_16,2020_17,2020_18,2020_19,2020_20,2020_21,2020_22,2020_23,2020_24,2020_25,2020_26,2020_27,2020_28,2020_29,2020_30,2020_31,2020_32,2020_33,2020_34,2020_35,2020_36,2020_37,2020_38,2020_39,2020_40,2020_41,2020_42,2020_43,2020_44,2020_45,2020_46,2020_47,2020_48,2020_49,2020_50,2020_51,2020_52,2020_53,2021_1,2021_2,2021_3,2021_4,2021_5,2021_6,2021_7,2021_8,2021_9,2021_10,2021_11,2021_12,2021_13,2021_14,2021_15,2021_16,2021_17,2021_18,2021_19,2021_20,2021_21,2021_22,2021_23,2021_24,2021_25,2021_26,2021_27,2021_28,2021_29,2021_30,2021_31,2021_32,2021_33,2021_34,2021_35,2021_36,2021_37,2021_38,2021_39,2021_40,2021_41,2021_42,2021_43,2021_44,2021_45,2021_46,2021_47,2021_48,2021_49,2021_50,2021_51,2021_52,2022_1,2022_2,2022_3,2022_4,2022_5,2022_6,2022_7,2022_8,2022_9,2022_10,2022_11,2022_12,2022_13,2022_14,2022_15,2022_16,2022_17,2022_18,2022_19,2022_20,2022_21,2022_22,2022_23,2022_24,2022_25,2022_26,2022_27,2022_28,2022_29,2022_30,2022_31,2022_32,2022_33,2022_34,2022_35,2022_36,2022_37,2022_38,2022_39,2022_40,2022_41,2022_42,2022_43,2022_44,2022_45,2022_46,2022_47,2022_48,2022_49,2022_50,2022_51,2022_52
Maynas,ALTO NANAY,NO,SI,SABOYA,Pintuyacu,,,1,,1,1,,,1,,,1,1,1,,,,,,,,,1,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,1,,,1,,1,,,1,,,,,2,,,3,,2,1,1,,1,1,,,1,,,,,1,,,,,,1,,,1,,,,,,1,,,,,,,,,
Maynas,ALTO NANAY,NO,SI,SAMITO,Nanay,,4,4,2,,4,2,,5,2,1,1,2,,1,,1,4,2,3,2,2,2,7,4,7,2,3,5,3,1,,,2,3,,,,1,1,,2,1,5,2,3,7,4,3,6,,2,4,2,3,2,2,2,1,1,,2,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,2,,1,1,,,,2,1,1,,1,5,4,2,1,1,6,2,3,,1,3,1,2,5,4,4,1,,1,,1,,,,,2,1,,,,,1,,4,3,,1,2,,,
Maynas,ALTO NANAY,NO,SI,SAN JUAN DE RAYA,Pintuyacu,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maynas,ALTO NANAY,NO,SI,SANTA MARIA DE NANAY,Nanay,,2,2,2,1,3,1,5,2,1,4,5,1,,3,1,,6,,,1,4,3,2,1,3,5,3,3,5,4,6,1,2,1,1,3,,2,2,4,4,5,1,4,3,1,6,1,2,5,2,1,1,,11,3,,,1,2,,1,,1,1,1,2,2,3,,,,,1,,1,,5,2,,,,2,1,3,1,4,,2,2,1,3,4,1,2,,,2,2,4,5,9,6,2,4,,2,1,1,1,,1,,3,,,2,,,,1,,,3,2,9,,4,1,1,,1,1,2,1,,1,2,,1,1,3,,1,3,4,1,1,13,9,2,3,7,23,9,7,5,3,,2,1,,3,1,1,5,1,2,2,2,,4,2,3,2,2,2,3,3,1,2,3,,,6,1,2,1,3,1,2,1,,,3,5,1,,,2,,2,2,2,1,,1,,
Maynas,ALTO NANAY,NO,SI,TRIUNFO,Pintuyacu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maynas,ALTO NANAY,NO,SI,VILLA FLOR,Nanay,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maynas,ALTO NANAY,NO,SI,SALVATIERRA,Pintuyacu,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Maynas,ALTO NANAY,NO,SI,ANGUILLA,Nanay,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maynas,IQUITOS,NO,SI,AYACUCHO,Nanay,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maynas,IQUITOS,NO,SI,HUATURI,Nanay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,2,,,1,2,2,,,,,1,,,,,,,,,1,,1,2,,,,1,1,,
Maynas,IQUITOS,NO,SI,LAGUNAS,Nanay,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,1,,,,,1,,,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,1,1,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Maynas,IQUITOS,NO,SI,LIBERTAD,Nanay,,1,,,,4,,,1,1,4,,,,3,2,,1,2,1,,,1,1,2,,,,3,,,1,,1,1,,,,,,,,1,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,3,,,4,1,,,4,,,,,4,,,2,2,,1,1,1,1,1,,,,,,1,,,,,,1,,,2,,1,,,,,,,
Maynas,IQUITOS,NO,SI,LOBOYACU,Nanay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,2,1,3,5,,,,,
Maynas,IQUITOS,NO,SI,MANACAMIRI,Nanay,,1,8,,2,1,,,1,4,1,,1,,,,1,,,4,,1,3,1,1,,,,3,,,1,1,1,2,1,2,,,1,,,,,,,,,1,1,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Maynas,IQUITOS,NO,SI,MARAVILLA,Nanay,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,2,,,,1,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,,,,1,,1,,1,1,,1,,1,,,,1,,1,,,,,,,,,,1,1,,,,1,1,,,,,,,,,,2,,,1,1,,,,
Maynas,IQUITOS,NO,SI,SAN PABLO DE CUYANA,Nanay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,2,,,,,1,,,1,1,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maynas,IQUITOS,NO,SI,SHIRIARA,Nanay,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,5,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,1,,,1,,,1,1,,1,1,,,,1,,,1,5,2,,,,,,,,,,,1,,,,,,2,,,,,,,,,1,,
Maynas,IQUITOS,NO,SI,TARAPOTO,Nanay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,1,2,2,1,,,,,,
Maynas,IQUITOS,NO,SI,YARINA,Nanay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maynas,IQUITOS,NO,SI,FRAY MARTIN,Nanay,,,,2,,,1,,,,,,,,,2,,2,,1,,,,,,,1,1,,,,2,,,,,,3,,1,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,
Maynas,PUNCHANA,NO,SI,AGRARIO DE SHIMBILLO,Momón-Quebrada,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maynas,PUNCHANA,NO,SI,ALMIRANTE MIGUEL GRAU,Momón ,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,
Maynas,PUNCHANA,NO,SI,FLOR DE AGOSTO,Momón ,,,,,,2,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Maynas,PUNCHANA,NO,SI,FRAY MARTIN,Momón-Quebrada,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maynas,PUNCHANA,NO,SI,HIPOLITO UNANUE,Momón,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,1,,2,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,
Maynas,PUNCHANA,NO,SI,MAYNAS,Momón,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,1,1,1,,,,,,,1,1,,,,1,,,
Maynas,PUNCHANA,NO,SI,MOMONCILLO,Momón-Quebrada,,1,,1,1,2,,,1,,1,,,2,,1,,1,4,,1,,1,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,2,1,,1,,1,,,,,,,,,,,,1,,,,,,2,,,,,1,
Maynas,PUNCHANA,NO,SI,NUEVA PRIMAVERA,Momón-Quebrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,,
Maynas,PUNCHANA,NO,SI,NUEVA YORK,Momón,,3,3,,1,3,,,,,,1,,,2,2,1,1,,2,,,,,,,,,2,,1,,,,,,,,1,4,1,,,,,1,,,,,,,,,,,,,,,3,1,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,2,,2,3,,1,,,1,1,3,,,,,1,,1,,1,2,,,,,
Maynas,PUNCHANA,NO,SI,NUEVO PARAISO,Momón-Quebrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maynas,PUNCHANA,NO,SI,NUEVO SAN ANTONIO,Momón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,1,,,,,,,,,,2,1,,,,,,1,,,1,,,,
Maynas,PUNCHANA,NO,SI,SAN FERNANDO,Nanay,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maynas,PUNCHANA,NO,SI,PORVENIR,Momón,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,8,3,1,1,1,,,,,1,2,3,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,
Maynas,PUNCHANA,NO,SI,PROGRESO I ZONA,Momón-Quebrada,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
