LOC_DIS,LOCALIDAD,DISTRITO,PROVINCIA,POBLACION,BASIN,Selected,XGD,YGD,dist_minutes_cat3,dist_minutes_cat2,dist_minutes_cat1,dist_minutes_all,urban,landc,cobVeg,cobVeg_simbol,year,cases,api,specie
AMELIA_YAVARI,AMELIA,YAVARI,MARISCAL RAMON CASTILLA,0,NA,No,-70.20091752,-4.33439115,NA,NA,NA,NA,NA,NA,NA,NA,2013,0,NA,P. falciparum
GAMBOA_RAMON CASTILLA,GAMBOA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,NA,NA,No,-70.2012109,-4.05262115,4562,4557,194,194,0,2,Matorral arbustivo,Ma,2013,0,NA,P. falciparum
MARIO RIVERA_RAMON CASTILLA,MARIO RIVERA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,NA,NA,No,-70.2012109,-4.0626699,4577,4572,208,208,0,2,Agricultura costera y andina,Agri,2013,0,NA,P. falciparum
CHINERIAS_RAMON CASTILLA,CHINERIAS,RAMON CASTILLA,MARISCAL RAMON CASTILLA,NA,NA,No,-70.2027559,-4.04605077,4556,4552,188,188,0,2,Area urbana,U,2013,0,NA,P. falciparum
CAMPIÑA SERRA_RAMON CASTILLA,CAMPIÑA SERRA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,NA,NA,No,-70.2167199,-3.92172215,NA,NA,NA,NA,NA,NA,NA,NA,2013,0,NA,P. falciparum
PRIMAVERA_YAGUAS,PRIMAVERA,YAGUAS,PUTUMAYO,137,NA,No,-70.2328709,-2.62723352,NA,NA,NA,NA,NA,NA,NA,NA,2013,0,0,P. falciparum
BELLAVISTA CALLARU_RAMON CASTILLA,BELLAVISTA CALLARU,RAMON CASTILLA,MARISCAL RAMON CASTILLA,1804,NA,No,-70.25044218,-4.05316241,4373,4368,0,0,0,10,Areas de no bosque amazï¿½nico,Ano,2013,27,14.96674058,P. falciparum
NUEVO PARAISO_RAMON CASTILLA,NUEVO PARAISO,RAMON CASTILLA,MARISCAL RAMON CASTILLA,115,NA,No,-70.25594333,-4.098128333,NA,NA,NA,NA,NA,NA,NA,NA,2013,0,0,P. falciparum
ERENE_RAMON CASTILLA,ERENE,RAMON CASTILLA,MARISCAL RAMON CASTILLA,NA,NA,No,-70.27542969,-4.10149024,4502,4497,225,225,0,2,Pajonal andino,Pj,2013,59,NA,P. falciparum
ERENE_RAMON CASTILLA,ERENE,RAMON CASTILLA,MARISCAL RAMON CASTILLA,NA,NA,No,-70.27542969,-4.10149024,4229,4224,188,188,0,2,Areas de no bosque amazï¿½nico,Ano,2013,59,NA,P. falciparum
ERENE_RAMON CASTILLA,ERENE,RAMON CASTILLA,MARISCAL RAMON CASTILLA,NA,NA,No,-70.2804394,-4.01126753,4229,4224,188,188,0,2,Areas de no bosque amazï¿½nico,Ano,2013,59,NA,P. falciparum
ERENE_RAMON CASTILLA,ERENE,RAMON CASTILLA,MARISCAL RAMON CASTILLA,NA,NA,No,-70.2804394,-4.01126753,4502,4497,225,225,0,2,Pajonal andino,Pj,2013,59,NA,P. falciparum
SIMON RIVERA_YAVARI,SIMON RIVERA,YAVARI,MARISCAL RAMON CASTILLA,NA,NA,No,-70.28323833,-4.171491667,NA,NA,NA,NA,NA,NA,NA,NA,2013,10,NA,P. falciparum
UNION FAMILIAR_YAVARI,UNION FAMILIAR,YAVARI,MARISCAL RAMON CASTILLA,61,NA,No,-70.28475488,-4.18005914,NA,NA,NA,NA,NA,NA,NA,NA,2013,12,196.7213115,P. falciparum
SAN SEBASTIAN_YAVARI,SAN SEBASTIAN,YAVARI,MARISCAL RAMON CASTILLA,125,NA,No,-70.28607333,-4.162026667,NA,NA,NA,NA,NA,NA,NA,NA,2013,9,72,P. falciparum
SAN SEBASTIAN_YAVARI,SAN SEBASTIAN,YAVARI,MARISCAL RAMON CASTILLA,125,NA,No,-70.28846868,-4.15995785,4621,4616,476,476,0,10,Agricultura costera y andina,Agri,2013,9,72,P. falciparum
VISTA ALEGRE_RAMON CASTILLA,VISTA ALEGRE,RAMON CASTILLA,MARISCAL RAMON CASTILLA,305,NA,No,-70.28996539,-3.88067589,3915,3910,301,301,0,11,Area urbana,U,2013,0,0,P. falciparum
PUERTO LIBANO_YAVARI,PUERTO LIBANO,YAVARI,MARISCAL RAMON CASTILLA,23,NA,No,-70.29205333,-4.15724,NA,NA,NA,NA,NA,NA,NA,NA,2013,0,0,P. falciparum
SANTA RITA_YAVARI,SANTA RITA,YAVARI,MARISCAL RAMON CASTILLA,52,NA,No,-70.2998108,-4.24272085,NA,NA,NA,NA,NA,NA,NA,NA,2013,12,230.7692308,P. falciparum
NUEVO REMANSO_YAVARI,NUEVO REMANSO,YAVARI,MARISCAL RAMON CASTILLA,NA,NA,No,-70.31812461,-4.14244477,4560,4556,457,457,0,17,Bosque de terraza alta,Bta,2013,0,NA,P. falciparum
SAN ANTONIO DE CACAO_RAMON CASTILLA,SAN ANTONIO DE CACAO,RAMON CASTILLA,MARISCAL RAMON CASTILLA,169,NA,No,-70.32620825,-3.81186346,3613,3608,12,12,0,11,Area urbana,U,2013,0,0,P. falciparum
SAN PEDRO DE CACAO_RAMON CASTILLA,SAN PEDRO DE CACAO,RAMON CASTILLA,MARISCAL RAMON CASTILLA,222,NA,No,-70.33528702,-3.85188915,3684,3679,170,170,0,10,Matorral arbustivo,Ma,2013,1,4.504504505,P. falciparum
SAN JOSE DE YANAYACU_RAMON CASTILLA,SAN JOSE DE YANAYACU,RAMON CASTILLA,MARISCAL RAMON CASTILLA,263,NA,No,-70.35665811,-3.94448135,3798,3794,382,382,0,2,Matorral arbustivo,Ma,2013,4,15.20912548,P. falciparum
POBRE ALEGRE_YAVARI,POBRE ALEGRE,YAVARI,MARISCAL RAMON CASTILLA,29,NA,No,-70.36398887,-4.14396502,4481,4476,547,547,0,10,Matorral arbustivo,Ma,2013,8,275.862069,P. falciparum
SAN MIGUEL_RAMON CASTILLA,SAN MIGUEL,RAMON CASTILLA,MARISCAL RAMON CASTILLA,NA,NA,No,-70.36610689,-3.91756527,3705,3700,349,349,0,10,Area urbana,U,2013,0,NA,P. falciparum
2 DE MAYO_YAVARI,2 DE MAYO,YAVARI,MARISCAL RAMON CASTILLA,55,NA,No,-70.36864667,-4.137516667,NA,NA,NA,NA,NA,NA,NA,NA,2013,19,345.4545455,P. falciparum
2 DE MAYO_YAVARI,2 DE MAYO,YAVARI,MARISCAL RAMON CASTILLA,55,NA,No,-70.36902287,-4.13800066,4470,4465,545,545,0,2,Pajonal andino,Pj,2013,19,345.4545455,P. falciparum
2 DE MAYO_YAVARI,2 DE MAYO,YAVARI,MARISCAL RAMON CASTILLA,55,NA,No,-70.36902287,-4.13800066,4470,4465,545,545,0,2,Matorral arbustivo,Ma,2013,19,345.4545455,P. falciparum
ALDEA GRAU_RAMON CASTILLA,ALDEA GRAU,RAMON CASTILLA,MARISCAL RAMON CASTILLA,NA,NA,No,-70.36990638,-3.88769928,3692,3687,375,375,0,10,Matorral arbustivo,Ma,2013,0,NA,P. falciparum
NUEVA CREACION_RAMON CASTILLA,NUEVA CREACION,RAMON CASTILLA,MARISCAL RAMON CASTILLA,55,NA,No,-70.37733224,-3.83665744,3524,3519,156,156,0,2,Areas de no bosque amazï¿½nico,Ano,2013,0,0,P. falciparum
CANAAN DE LA ESPERANZA_YAVARI,CANAAN DE LA ESPERANZA,YAVARI,MARISCAL RAMON CASTILLA,72,NA,No,-70.37872111,-4.13271102,4431,4426,497,497,0,2,Area urbana,U,2013,19,263.8888889,P. falciparum
NUEVA GALILEA_RAMON CASTILLA,NUEVA GALILEA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,104,NA,No,-70.38703579,-3.94928242,3697,3692,263,263,0,2,Areas de no bosque amazï¿½nico,Ano,2013,0,0,P. falciparum
SANTA CECILIA_RAMON CASTILLA,SANTA CECILIA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,195,NA,No,-70.39859664,-3.90644139,3594,3589,238,238,0,10,Areas de no bosque amazï¿½nico,Ano,2013,0,0,P. falciparum
PARAISO_YAVARI,PARAISO,YAVARI,MARISCAL RAMON CASTILLA,25,NA,No,-70.40617514,-4.13310139,4373,4368,373,373,0,2,Pajonal andino,Pj,2013,0,0,P. falciparum
PARAISO_YAVARI,PARAISO,YAVARI,MARISCAL RAMON CASTILLA,25,NA,No,-70.40617514,-4.13310139,4048,4043,462,462,0,2,Agricultura costera y andina,Agri,2013,0,0,P. falciparum
BUEN SUCESO_YAVARI,BUEN SUCESO,YAVARI,MARISCAL RAMON CASTILLA,191,NA,No,-70.42252183,-4.13212073,4338,4333,338,338,0,10,Agricultura costera y andina,Agri,2013,56,293.1937173,P. falciparum
HUAPAPA_YAGUAS,HUAPAPA,YAGUAS,PUTUMAYO,508,NA,No,-70.42687758,-2.53954401,7595,7592,3779,3779,0,2,Agricultura costera y andina,Agri,2013,0,0,P. falciparum
PUERTO SINAI_RAMON CASTILLA,PUERTO SINAI,RAMON CASTILLA,MARISCAL RAMON CASTILLA,193,NA,No,-70.43224207,-3.90638814,3479,3474,163,163,0,10,Areas de no bosque amazï¿½nico,Ano,2013,0,0,P. falciparum
NUEVO AMBIENTE_RAMON CASTILLA,NUEVO AMBIENTE,RAMON CASTILLA,MARISCAL RAMON CASTILLA,0,NA,No,-70.44064702,-3.87182389,3404,3400,207,207,0,11,Areas de no bosque amazï¿½nico,Ano,2013,0,NA,P. falciparum
SOPLIN VARGAS_YAVARI,SOPLIN VARGAS,YAVARI,MARISCAL RAMON CASTILLA,178,NA,No,-70.44601781,-4.13300336,4315,4310,258,258,0,2,Pajonal andino,Pj,2013,8,44.94382022,P. falciparum
CUSHILLO COCHA_RAMON CASTILLA,CUSHILLO COCHA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,1737,NA,No,-70.44915949,-3.94208645,3534,3529,0,0,0,10,Areas de no bosque amazï¿½nico,Ano,2013,29,16.69545193,P. falciparum
SAN JUAN DE CACAO_RAMON CASTILLA,SAN JUAN DE CACAO,RAMON CASTILLA,MARISCAL RAMON CASTILLA,69,NA,No,-70.4494816,-3.89432904,3397,3392,190,190,0,10,Areas de no bosque amazï¿½nico,Ano,2013,1,14.49275362,P. falciparum
SANTA ROSA DEL CAÑO_RAMON CASTILLA,SANTA ROSA DEL CAÑO,RAMON CASTILLA,MARISCAL RAMON CASTILLA,NA,NA,No,-70.4752784,-3.89996089,NA,NA,NA,NA,NA,NA,NA,NA,2013,1,NA,P. falciparum
JAPON_YAVARI,JAPON,YAVARI,MARISCAL RAMON CASTILLA,69,NA,No,-70.49507006,-4.12469868,4175,4171,113,113,0,2,Areas de no bosque amazï¿½nico,Ano,2013,27,391.3043478,P. falciparum
SAN MARTIN DE PORRES_RAMON CASTILLA,SAN MARTIN DE PORRES,RAMON CASTILLA,MARISCAL RAMON CASTILLA,NA,NA,No,-70.50989508,-3.90049353,3351,3346,19,19,0,10,Bosque de terraza baja,Btb,2013,1,NA,P. falciparum
SANTA TERESA_YAVARI,SANTA TERESA,YAVARI,MARISCAL RAMON CASTILLA,NA,NA,No,-70.51594915,-4.14006226,4222,4217,0,0,0,10,Agricultura costera y andina,Agri,2013,98,NA,P. falciparum
CABALLO COCHA_RAMON CASTILLA,CABALLO COCHA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,NA,NA,No,-70.51679052,-3.9059914,3363,3358,0,0,1,13,Areas de no bosque amazï¿½nico,Ano,2013,62,NA,P. falciparum
VILLA SAN ESTEBAN_RAMON CASTILLA,VILLA SAN ESTEBAN,RAMON CASTILLA,MARISCAL RAMON CASTILLA,47,NA,No,-70.51703925,-3.94796562,3484,3479,120,120,0,2,Herbazal hidrofï¿½tico,Hehi,2013,0,0,P. falciparum
EDEN DE LA FRONTERA_RAMON CASTILLA,EDEN DE LA FRONTERA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,33,NA,No,-70.51908728,-3.94269752,3473,3468,109,109,0,2,Bosque seco tipo sabana,Bss,2013,15,454.5454545,P. falciparum
SANCHEZ CERRO_RAMON CASTILLA,SANCHEZ CERRO,RAMON CASTILLA,MARISCAL RAMON CASTILLA,NA,NA,No,-70.52281439,-3.91595564,3381,3376,17,17,1,13,Areas de no bosque amazï¿½nico,Ano,2013,0,NA,P. falciparum
SANTA RITA DEL CAÑO_RAMON CASTILLA,SANTA RITA DEL CAÑO,RAMON CASTILLA,MARISCAL RAMON CASTILLA,NA,NA,No,-70.52415886,-3.91696072,NA,NA,NA,NA,NA,NA,NA,NA,2013,11,NA,P. falciparum
PRIMAVERA_RAMON CASTILLA,PRIMAVERA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,87,NA,No,-70.52841375,-3.94677808,3501,3497,138,138,0,2,Areas de no bosque amazï¿½nico,Ano,2013,36,413.7931034,P. falciparum
SAN FRANCISCO DE MARICHIN_RAMON CASTILLA,SAN FRANCISCO DE MARICHIN,RAMON CASTILLA,MARISCAL RAMON CASTILLA,181,NA,No,-70.53310939,-3.93231489,3441,3436,77,77,0,17,Pajonal andino,Pj,2013,29,160.2209945,P. falciparum
PUERTO INCA_RAMON CASTILLA,PUERTO INCA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,56,NA,No,-70.54309284,-3.89201981,3298,3293,102,102,0,2,Bosque de terraza baja,Btb,2013,0,0,P. falciparum
SANTA TERESA II ZONA_YAVARI,SANTA TERESA II ZONA,YAVARI,MARISCAL RAMON CASTILLA,128,NA,No,-70.54888877,-4.1338352,4263,4258,102,102,0,10,Pajonal andino,Pj,2013,9,70.3125,P. falciparum
CENTRO UNIDO_RAMON CASTILLA,CENTRO UNIDO,RAMON CASTILLA,MARISCAL RAMON CASTILLA,NA,NA,No,-70.55158897,-3.97709808,3615,3610,251,251,0,8,Agricultura costera y andina,Agri,2013,2,NA,P. falciparum
NAZARETH_RAMON CASTILLA,NAZARETH,RAMON CASTILLA,MARISCAL RAMON CASTILLA,100,NA,No,-70.55179667,-4.02552,NA,NA,NA,NA,NA,NA,NA,NA,2013,3,30,P. falciparum
VILLA LUZ_RAMON CASTILLA,VILLA LUZ,RAMON CASTILLA,MARISCAL RAMON CASTILLA,37,NA,No,-70.56740667,-3.940971667,NA,NA,NA,NA,NA,NA,NA,NA,2013,3,81.08108108,P. falciparum
NUEVA ALIANZA_RAMON CASTILLA,NUEVA ALIANZA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,NA,NA,No,-70.57372215,-3.93932614,NA,NA,NA,NA,NA,NA,NA,NA,2013,2,NA,P. falciparum
1 DE SETIEMBRE_RAMON CASTILLA,1 DE SETIEMBRE,RAMON CASTILLA,MARISCAL RAMON CASTILLA,43,NA,No,-70.58097114,-3.86445274,NA,NA,NA,NA,NA,NA,NA,NA,2013,0,0,P. falciparum
VILLA NUEVA ESPERANZA_RAMON CASTILLA,VILLA NUEVA ESPERANZA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,29,NA,No,-70.58109726,-3.93615439,3478,3474,271,271,0,2,Agricultura costera y andina,Agri,2013,0,0,P. falciparum
TRES ESQUINAS_YAGUAS,TRES ESQUINAS,YAGUAS,PUTUMAYO,45,NA,No,-70.5958271,-2.48902124,6873,6868,3057,3057,0,11,Area urbana,U,2013,0,0,P. falciparum
PALESTINO_RAMON CASTILLA,PALESTINO,RAMON CASTILLA,MARISCAL RAMON CASTILLA,NA,NA,No,-70.59828514,-4.02340039,3744,3739,519,519,0,2,Bosque de llanura meï¿½ndrica,Bllm,2013,4,NA,P. falciparum
NUEVA VIDA_RAMON CASTILLA,NUEVA VIDA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,56,NA,No,-70.60076333,-3.935551667,NA,NA,NA,NA,NA,NA,NA,NA,2013,1,17.85714286,P. falciparum
SAN SALVADOR_RAMON CASTILLA,SAN SALVADOR,RAMON CASTILLA,MARISCAL RAMON CASTILLA,101,NA,No,-70.60125226,-3.84742514,3286,3281,228,228,0,2,Area urbana,U,2013,0,0,P. falciparum
SAN MARTIN DE ARAHUANA_RAMON CASTILLA,SAN MARTIN DE ARAHUANA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,90,NA,No,-70.60569464,-3.93543715,3472,3467,342,342,0,10,Cardonal,Car,2013,0,0,P. falciparum
SANTA ROSA DE LIMA_RAMON CASTILLA,SANTA ROSA DE LIMA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,59,NA,No,-70.6057937,-3.59190279,4228,4223,1222,1222,0,2,Bosque de terraza baja,Btb,2013,1,16.94915254,P. falciparum
SAN MARTIN DE ARAHUANA_RAMON CASTILLA,SAN MARTIN DE ARAHUANA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,90,NA,No,-70.60635,-3.936898333,3472,3467,342,342,0,10,Cardonal,Car,2013,0,0,P. falciparum
TUPAC AMARU_RAMON CASTILLA,TUPAC AMARU,RAMON CASTILLA,MARISCAL RAMON CASTILLA,112,NA,No,-70.60971845,-3.8747821,3263,3258,232,232,0,17,Area urbana,U,2013,0,0,P. falciparum
NUEVA PALESTINA_RAMON CASTILLA,NUEVA PALESTINA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,146,NA,No,-70.61038077,-3.93617453,3466,3461,349,349,0,10,Agricultura costera y andina,Agri,2013,0,0,P. falciparum
NUEVA PALESTINA_RAMON CASTILLA,NUEVA PALESTINA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,146,NA,No,-70.610715,-3.936498333,3466,3461,349,349,0,10,Agricultura costera y andina,Agri,2013,0,0,P. falciparum
NUEVO ORIENTE_RAMON CASTILLA,NUEVO ORIENTE,RAMON CASTILLA,MARISCAL RAMON CASTILLA,83,NA,No,-70.62764312,-3.86785314,3196,3192,184,184,0,11,Matorral arbustivo,Ma,2013,0,0,P. falciparum
PARAISO_YAVARI,PARAISO,YAVARI,MARISCAL RAMON CASTILLA,25,NA,No,-70.63243833,-4.12532,NA,NA,NA,NA,NA,NA,NA,NA,2013,0,0,P. falciparum
BUFEOCOCHA_RAMON CASTILLA,BUFEOCOCHA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,NA,NA,No,-70.63368452,-3.92921627,3398,3393,385,385,0,10,Matorral arbustivo,Ma,2013,0,NA,P. falciparum
BUFEO COCHA_RAMON CASTILLA,BUFEO COCHA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,307,NA,No,-70.633985,-3.92924,3398,3393,385,385,0,10,Area urbana,U,2013,4,13.02931596,P. falciparum
ISLA DEL TIGRE_RAMON CASTILLA,ISLA DEL TIGRE,RAMON CASTILLA,MARISCAL RAMON CASTILLA,122,NA,No,-70.6442371,-3.83250738,NA,NA,NA,NA,NA,NA,NA,NA,2013,1,8.196721311,P. falciparum
SAN MARTIN LIBERTADOR_YAGUAS,SAN MARTIN LIBERTADOR,YAGUAS,PUTUMAYO,49,NA,No,-70.648815,-2.415246667,6540,6535,2723,2723,0,11,Agricultura costera y andina,Agri,2013,0,0,P. falciparum
PUERTO BRASIL_RAMON CASTILLA,PUERTO BRASIL,RAMON CASTILLA,MARISCAL RAMON CASTILLA,271,NA,No,-70.64946801,-3.87001103,3168,3164,156,156,0,11,Agricultura costera y andina,Agri,2013,1,3.6900369,P. falciparum
VILLA SANTA ROSA_RAMON CASTILLA,VILLA SANTA ROSA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,100,NA,No,-70.66683927,-3.89104452,3356,3351,541,541,0,2,Desierto costero,Dc,2013,1,10,P. falciparum
VILLA SANTA ROSA_RAMON CASTILLA,VILLA SANTA ROSA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,100,NA,No,-70.66683927,-3.89104452,3191,3187,179,179,0,11,Matorral arbustivo,Ma,2013,1,10,P. falciparum
VILLA SANTA ROSA_RAMON CASTILLA,VILLA SANTA ROSA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,100,NA,No,-70.66683927,-3.89104452,3356,3351,541,541,0,2,Agricultura costera y andina,Agri,2013,1,10,P. falciparum
SANTA RITA DE MOCHILA_RAMON CASTILLA,SANTA RITA DE MOCHILA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,135,NA,No,-70.68703664,-3.90959027,3173,3168,161,161,0,11,Pajonal andino,Pj,2013,0,0,P. falciparum
SANTA ELENA_RAMON CASTILLA,SANTA ELENA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,91,NA,No,-70.70179226,-3.90446927,3111,3106,98,98,0,11,Pajonal andino,Pj,2013,0,0,P. falciparum
SANTOA DE SUNI_RAMON CASTILLA,SANTOA DE SUNI,RAMON CASTILLA,MARISCAL RAMON CASTILLA,80,NA,No,-70.70463701,-3.83671678,3355,3350,342,342,0,2,Sabana xï¿½rica interandina,Saxe,2013,0,0,P. falciparum
URANIAS_RAMON CASTILLA,URANIAS,RAMON CASTILLA,MARISCAL RAMON CASTILLA,78,NA,No,-70.73527584,-3.80390022,3320,3315,314,314,0,2,Areas de no bosque amazï¿½nico,Ano,2013,5,64.1025641,P. falciparum
NUEVO SAN FELIPE_YAVARI,NUEVO SAN FELIPE,YAVARI,MARISCAL RAMON CASTILLA,32,NA,No,-70.73658167,-4.171623333,NA,NA,NA,NA,NA,NA,NA,NA,2013,0,0,P. falciparum
SAN FELIPE_YAVARI,SAN FELIPE,YAVARI,MARISCAL RAMON CASTILLA,NA,NA,No,-70.73662077,-4.17185076,3328,3323,703,703,0,2,Areas de no bosque amazï¿½nico,Ano,2013,2,NA,P. falciparum
JOSE CARLOS MARIATEGUI_RAMON CASTILLA,JOSE CARLOS MARIATEGUI,RAMON CASTILLA,MARISCAL RAMON CASTILLA,111,NA,No,-70.73740777,-3.91645015,3066,3062,54,54,0,17,Pajonal andino,Pj,2013,1,9.009009009,P. falciparum
SAN PEDRO_YAVARI,SAN PEDRO,YAVARI,MARISCAL RAMON CASTILLA,478,NA,No,-70.75023424,-4.15819415,3907,3902,902,902,0,10,Areas de no bosque amazï¿½nico,Ano,2013,69,144.3514644,P. falciparum
SAN PEDRO_YAVARI,SAN PEDRO,YAVARI,MARISCAL RAMON CASTILLA,478,NA,No,-70.75023424,-4.15819415,3907,3902,901,901,0,10,Areas de no bosque amazï¿½nico,Ano,2013,69,144.3514644,P. falciparum
SAN PEDRO_YAVARI,SAN PEDRO,YAVARI,MARISCAL RAMON CASTILLA,478,NA,No,-70.750265,-4.15706,3907,3902,902,902,0,10,Areas de no bosque amazï¿½nico,Ano,2013,69,144.3514644,P. falciparum
SAN PEDRO_YAVARI,SAN PEDRO,YAVARI,MARISCAL RAMON CASTILLA,478,NA,No,-70.750265,-4.15706,3907,3902,901,901,0,10,Areas de no bosque amazï¿½nico,Ano,2013,69,144.3514644,P. falciparum
SANTA MARTHA_RAMON CASTILLA,SANTA MARTHA,RAMON CASTILLA,MARISCAL RAMON CASTILLA,82,NA,No,-70.75845576,-3.9059537,3096,3092,84,84,0,2,Pajonal andino,Pj,2013,0,0,P. falciparum
CHIMBOTE_RAMON CASTILLA,CHIMBOTE,RAMON CASTILLA,MARISCAL RAMON CASTILLA,442,NA,No,-70.77957852,-3.92866827,3016,3011,0,0,0,17,Agricultura costera y andina,Agri,2013,9,20.36199095,P. falciparum
EL SOL_RAMON CASTILLA,EL SOL,RAMON CASTILLA,MARISCAL RAMON CASTILLA,121,NA,No,-70.7863433,-3.73718017,3810,3805,804,804,0,2,Areas de no bosque amazï¿½nico,Ano,2013,31,256.1983471,P. falciparum
EL SOL_RAMON CASTILLA,EL SOL,RAMON CASTILLA,MARISCAL RAMON CASTILLA,121,NA,No,-70.7863433,-3.73718017,3263,3258,257,257,0,2,Bosque de llanura meï¿½ndrica,Bllm,2013,31,256.1983471,P. falciparum
