LOC_DIST,test1,LOCALIDAD,DISTRITO,PROVINCIA,POBLACION,casos 2013,casos 2014,casos 2015,casos 2016,casos 2017,casos 2018,casos 2019,IPAs 2013,IPAs 2014,IPAs 2015,IPAs 2016,IPAs 2017,IPAs 2018,IPAs 2019,filtro
SOLEDAD DE HUITOYACU_BALSAPUERTO,SOLEDAD DE HUITOYACU_BALSAPUERTO,SOLEDAD DE HUITOYACU,BALSAPUERTO,ALTO AMAZONAS,162,0,0,1,2,1,0,0,0,0,6.17,12.35,6.17,0,0,NO
HIRAPAY_BALSAPUERTO,HIRAPAY_BALSAPUERTO,HIRAPAY,BALSAPUERTO,ALTO AMAZONAS,181,0,0,0,1,8,6,0,0,0,0,5.52,44.2,33.15,0,NO
LIBERTAD_BALSAPUERTO,LIBERTAD_BALSAPUERTO,LIBERTAD,BALSAPUERTO,ALTO AMAZONAS,392,0,0,11,16,15,6,0,0,0,28.06,40.82,38.27,15.31,0,NO
LOMALINDA_BALSAPUERTO,LOMALINDA_BALSAPUERTO,LOMALINDA,BALSAPUERTO,ALTO AMAZONAS,161,3,0,18,26,30,41,20,18.63,0,111.8,161.49,186.34,254.66,124.22,NO
LORETO_BALSAPUERTO,LORETO_BALSAPUERTO,LORETO,BALSAPUERTO,ALTO AMAZONAS,146,0,0,3,1,1,3,0,0,0,20.55,6.85,6.85,20.55,0,NO
LOS ANGELES_BALSAPUERTO,LOS ANGELES_BALSAPUERTO,LOS ANGELES,BALSAPUERTO,ALTO AMAZONAS,197,0,0,3,0,2,0,0,0,0,15.23,0,10.15,0,0,NO
MARANATHA_BALSAPUERTO,MARANATHA_BALSAPUERTO,MARANATHA,BALSAPUERTO,ALTO AMAZONAS,280,0,0,7,10,99,60,4,0,0,25,35.71,353.57,214.29,14.29,NO
MONTE ALEGRE_BALSAPUERTO,MONTE ALEGRE_BALSAPUERTO,MONTE ALEGRE,BALSAPUERTO,ALTO AMAZONAS,113,0,0,0,1,2,10,0,0,0,0,8.85,17.7,88.5,0,NO
MOYOBAMBILLO_BALSAPUERTO,MOYOBAMBILLO_BALSAPUERTO,MOYOBAMBILLO,BALSAPUERTO,ALTO AMAZONAS,230,25,19,11,19,80,70,17,108.7,82.61,47.83,82.61,347.83,304.35,73.91,NO
NARANJAL_BALSAPUERTO,NARANJAL_BALSAPUERTO,NARANJAL,BALSAPUERTO,ALTO AMAZONAS,82,0,0,12,1,12,13,0,0,0,146.34,12.2,146.34,158.54,0,NO
NARANJAL DE YANAYACU_BALSAPUERTO,NARANJAL DE YANAYACU_BALSAPUERTO,NARANJAL DE YANAYACU,BALSAPUERTO,ALTO AMAZONAS,148,0,0,0,63,10,8,0,0,0,0,425.68,67.57,54.05,0,NO
NARANJILLO_BALSAPUERTO,NARANJILLO_BALSAPUERTO,NARANJILLO,BALSAPUERTO,ALTO AMAZONAS,65,0,0,0,1,0,2,0,0,0,0,15.38,0,30.77,0,NO
NUEVA ALIANZA_BALSAPUERTO,NUEVA ALIANZA_BALSAPUERTO,NUEVA ALIANZA,BALSAPUERTO,ALTO AMAZONAS,131,0,0,0,2,0,0,0,0,0,0,15.27,0,0,0,NO
NUEVA BARRANQUITA_BALSAPUERTO,NUEVA BARRANQUITA_BALSAPUERTO,NUEVA BARRANQUITA,BALSAPUERTO,ALTO AMAZONAS,144,0,0,2,9,18,64,14,0,0,13.89,62.5,125,444.44,97.22,NO
NUEVA CREACION_BALSAPUERTO,NUEVA CREACION_BALSAPUERTO,NUEVA CREACION,BALSAPUERTO,ALTO AMAZONAS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NO
NUEVA ERA_BALSAPUERTO,NUEVA ERA_BALSAPUERTO,NUEVA ERA,BALSAPUERTO,ALTO AMAZONAS,57,0,0,0,9,6,0,0,0,0,0,157.89,105.26,0,0,NO
NUEVA ESPERANZA_BALSAPUERTO,NUEVA ESPERANZA_BALSAPUERTO,NUEVA ESPERANZA,BALSAPUERTO,ALTO AMAZONAS,316,0,0,0,3,6,9,1,0,0,0,9.49,18.99,28.48,3.16,NO
NUEVA LUZ_BALSAPUERTO,NUEVA LUZ_BALSAPUERTO,NUEVA LUZ,BALSAPUERTO,ALTO AMAZONAS,185,0,0,0,3,0,2,0,0,0,0,16.22,0,10.81,0,NO
NUEVO PACHIZA_BALSAPUERTO,NUEVO PACHIZA_BALSAPUERTO,NUEVO PACHIZA,BALSAPUERTO,ALTO AMAZONAS,89,0,0,0,1,0,0,2,0,0,0,11.24,0,0,22.47,NO
NUEVO REFORMA_BALSAPUERTO,NUEVO REFORMA_BALSAPUERTO,NUEVO REFORMA,BALSAPUERTO,ALTO AMAZONAS,110,0,0,1,1,18,18,6,0,0,9.09,9.09,163.64,163.64,54.55,NO
NUEVA ZARAMIRIZA_BALSAPUERTO,NUEVA ZARAMIRIZA_BALSAPUERTO,NUEVA ZARAMIRIZA,BALSAPUERTO,ALTO AMAZONAS,58,0,0,0,1,9,1,1,0,0,0,17.24,155.17,17.24,17.24,NO
NUEVA UCHIZA_BALSAPUERTO,NUEVA UCHIZA_BALSAPUERTO,NUEVA UCHIZA,BALSAPUERTO,ALTO AMAZONAS,86,0,0,0,0,6,6,21,0,0,0,0,69.77,69.77,244.19,NO
NUEVA VIDA_BALSAPUERTO,NUEVA VIDA_BALSAPUERTO,NUEVA VIDA,BALSAPUERTO,ALTO AMAZONAS,657,2,0,27,9,5,8,3,3.04,0,41.1,13.7,7.61,12.18,4.57,NO
ANGAIZA_BALSAPUERTO,ANGAIZA_BALSAPUERTO,ANGAIZA,BALSAPUERTO,ALTO AMAZONAS,120,0,0,0,0,47,22,1,0,0,0,0,391.67,183.33,8.33,NO
NUEVO ARICA_BALSAPUERTO,NUEVO ARICA_BALSAPUERTO,NUEVO ARICA,BALSAPUERTO,ALTO AMAZONAS,97,1,3,7,5,11,7,9,10.31,30.93,72.16,51.55,113.4,72.16,92.78,NO
NUEVO BARRANQUITA_BALSAPUERTO,NUEVO BARRANQUITA_BALSAPUERTO,NUEVO BARRANQUITA,BALSAPUERTO,ALTO AMAZONAS,221,0,0,0,1,2,1,0,0,0,0,4.52,9.05,4.52,0,NO
PINTOYACU/NUEVO CACHIYACU_BALSAPUERTO,PINTOYACU/NUEVO CACHIYACU_BALSAPUERTO,PINTOYACU/NUEVO CACHIYACU,BALSAPUERTO,ALTO AMAZONAS,201,0,0,1,2,49,51,12,0,0,4.98,9.95,243.78,253.73,59.7,NO
NUEVO CANAAN_BALSAPUERTO,NUEVO CANAAN_BALSAPUERTO,NUEVO CANAAN,BALSAPUERTO,ALTO AMAZONAS,42,0,0,2,1,5,0,2,0,0,47.62,23.81,119.05,0,47.62,NO
NUEVO CHAZUTA_BALSAPUERTO,NUEVO CHAZUTA_BALSAPUERTO,NUEVO CHAZUTA,BALSAPUERTO,ALTO AMAZONAS,200,0,0,2,5,58,89,16,0,0,10,25,290,445,80,NO
NUEVO CUZCO_BALSAPUERTO,NUEVO CUZCO_BALSAPUERTO,NUEVO CUZCO,BALSAPUERTO,ALTO AMAZONAS,90,0,0,5,19,6,9,3,0,0,55.56,211.11,66.67,100,33.33,NO
NUEVO HUNGURAWI_BALSAPUERTO,NUEVO HUNGURAWI_BALSAPUERTO,NUEVO HUNGURAWI,BALSAPUERTO,ALTO AMAZONAS,58,0,0,0,2,4,0,2,0,0,0,34.48,68.97,0,34.48,NO
NUEVO JERUSALEN_BALSAPUERTO,NUEVO JERUSALEN_BALSAPUERTO,NUEVO JERUSALEN,BALSAPUERTO,ALTO AMAZONAS,0,0,0,9,15,71,80,14,0,0,0,0,0,0,0,NO
NUEVO JERUSALEN DEL YANAY_BALSAPUERTO,NUEVO JERUSALEN DEL YANAY_BALSAPUERTO,NUEVO JERUSALEN DEL YANAY,BALSAPUERTO,ALTO AMAZONAS,85,0,0,0,4,7,7,1,0,0,0,47.06,82.35,82.35,11.76,NO
NUEVO JUNIN_BALSAPUERTO,NUEVO JUNIN_BALSAPUERTO,NUEVO JUNIN,BALSAPUERTO,ALTO AMAZONAS,367,0,0,1,13,106,86,5,0,0,2.72,35.42,288.83,234.33,13.62,NO
NUEVO MIRAFLORES_BALSAPUERTO,NUEVO MIRAFLORES_BALSAPUERTO,NUEVO MIRAFLORES,BALSAPUERTO,ALTO AMAZONAS,108,0,1,0,3,0,0,0,0,9.26,0,27.78,0,0,0,NO
NUEVO MOYOBAMBA_BALSAPUERTO,NUEVO MOYOBAMBA_BALSAPUERTO,NUEVO MOYOBAMBA,BALSAPUERTO,ALTO AMAZONAS,107,0,0,0,31,7,5,3,0,0,0,289.72,65.42,46.73,28.04,NO
BELLA ORIENTE_BALSAPUERTO,BELLA ORIENTE_BALSAPUERTO,BELLA ORIENTE,BALSAPUERTO,ALTO AMAZONAS,81,0,0,0,0,1,1,0,0,0,0,0,12.35,12.35,0,NO
NUEVO PROGRESO_BALSAPUERTO,NUEVO PROGRESO_BALSAPUERTO,NUEVO PROGRESO,BALSAPUERTO,ALTO AMAZONAS,244,0,2,2,2,29,6,50,0,8.2,8.2,8.2,118.85,24.59,204.92,NO
NUEVO PUCALLPA_BALSAPUERTO,NUEVO PUCALLPA_BALSAPUERTO,NUEVO PUCALLPA,BALSAPUERTO,ALTO AMAZONAS,51,0,0,0,0,3,0,0,0,0,0,0,58.82,0,0,NO
NUEVO SABALOYACU_BALSAPUERTO,NUEVO SABALOYACU_BALSAPUERTO,NUEVO SABALOYACU,BALSAPUERTO,ALTO AMAZONAS,62,0,0,0,13,2,9,1,0,0,0,209.68,32.26,145.16,16.13,NO
NUEVO SAN LORENZO ARMANAY_BALSAPUERTO,NUEVO SAN LORENZO ARMANAY_BALSAPUERTO,NUEVO SAN LORENZO ARMANAY,BALSAPUERTO,ALTO AMAZONAS,142,0,0,0,1,2,0,1,0,0,0,7.04,14.08,0,7.04,NO
NUEVO SAN MARTIN_BALSAPUERTO,NUEVO SAN MARTIN_BALSAPUERTO,NUEVO SAN MARTIN,BALSAPUERTO,ALTO AMAZONAS,53,0,0,1,0,0,0,0,0,0,18.87,0,0,0,0,NO
NUEVO SANTA CRUZ CACHIYAC_BALSAPUERTO,NUEVO SANTA CRUZ CACHIYAC_BALSAPUERTO,NUEVO SANTA CRUZ CACHIYAC,BALSAPUERTO,ALTO AMAZONAS,183,0,0,0,0,7,11,3,0,0,0,0,38.25,60.11,16.39,NO
NUEVO TOCACHE_BALSAPUERTO,NUEVO TOCACHE_BALSAPUERTO,NUEVO TOCACHE,BALSAPUERTO,ALTO AMAZONAS,35,0,0,0,0,3,0,0,0,0,0,0,85.71,0,0,NO
NUEVO YURIMAGUAS_BALSAPUERTO,NUEVO YURIMAGUAS_BALSAPUERTO,NUEVO YURIMAGUAS,BALSAPUERTO,ALTO AMAZONAS,68,0,0,0,3,7,1,0,0,0,0,44.12,102.94,14.71,0,NO
OCULIZA_BALSAPUERTO,OCULIZA_BALSAPUERTO,OCULIZA,BALSAPUERTO,ALTO AMAZONAS,164,0,0,0,1,7,11,0,0,0,0,6.1,42.68,67.07,0,NO
PAMPA HERMOSA_BALSAPUERTO,PAMPA HERMOSA_BALSAPUERTO,PAMPA HERMOSA,BALSAPUERTO,ALTO AMAZONAS,65,0,0,1,1,5,2,1,0,0,15.38,15.38,76.92,30.77,15.38,NO
PANAN_BALSAPUERTO,PANAN_BALSAPUERTO,PANAN,BALSAPUERTO,ALTO AMAZONAS,415,2,1,26,30,84,165,31,4.82,2.41,62.65,72.29,202.41,397.59,74.7,NO
PARAISO_BALSAPUERTO,PARAISO_BALSAPUERTO,PARAISO,BALSAPUERTO,ALTO AMAZONAS,96,0,0,0,1,1,4,0,0,0,0,10.42,10.42,41.67,0,NO
PROGRESO_BALSAPUERTO,PROGRESO_BALSAPUERTO,PROGRESO,BALSAPUERTO,ALTO AMAZONAS,353,0,0,44,31,68,45,5,0,0,124.65,87.82,192.63,127.48,14.16,NO
PUCALLPILLO_BALSAPUERTO,PUCALLPILLO_BALSAPUERTO,PUCALLPILLO,BALSAPUERTO,ALTO AMAZONAS,227,0,0,8,14,23,6,1,0,0,35.24,61.67,101.32,26.43,4.41,NO
PUERTO PORVENIR_BALSAPUERTO,PUERTO PORVENIR_BALSAPUERTO,PUERTO PORVENIR,BALSAPUERTO,ALTO AMAZONAS,363,0,1,21,0,23,15,3,0,2.75,57.85,0,63.36,41.32,8.26,NO
REINO UNIDO_BALSAPUERTO,REINO UNIDO_BALSAPUERTO,REINO UNIDO,BALSAPUERTO,ALTO AMAZONAS,165,0,0,2,2,1,2,1,0,0,12.12,12.12,6.06,12.12,6.06,NO
SABALOYACU_BALSAPUERTO,SABALOYACU_BALSAPUERTO,SABALOYACU,BALSAPUERTO,ALTO AMAZONAS,67,0,0,26,0,0,0,0,0,0,388.06,0,0,0,0,NO
SAN ANTONIO_BALSAPUERTO,SAN ANTONIO_BALSAPUERTO,SAN ANTONIO,BALSAPUERTO,ALTO AMAZONAS,325,0,0,2,2,2,2,3,0,0,6.15,6.15,6.15,6.15,9.23,NO
SAN CARLOS DE ARMANAYACU_BALSAPUERTO,SAN CARLOS DE ARMANAYACU_BALSAPUERTO,SAN CARLOS DE ARMANAYACU,BALSAPUERTO,ALTO AMAZONAS,60,0,0,0,0,1,0,0,0,0,0,0,16.67,0,0,NO
SAN FERNANDO_BALSAPUERTO,SAN FERNANDO_BALSAPUERTO,SAN FERNANDO,BALSAPUERTO,ALTO AMAZONAS,88,0,0,1,2,1,19,0,0,0,11.36,22.73,11.36,215.91,0,NO
SAN GABRIEL DE VARADERO_BALSAPUERTO,SAN GABRIEL DE VARADERO_BALSAPUERTO,SAN GABRIEL DE VARADERO,BALSAPUERTO,ALTO AMAZONAS,584,2,0,7,18,57,48,36,3.42,0,11.99,30.82,97.6,82.19,61.64,NO
SAN ISIDRO_BALSAPUERTO,SAN ISIDRO_BALSAPUERTO,SAN ISIDRO,BALSAPUERTO,ALTO AMAZONAS,81,1,0,11,4,3,0,0,12.35,0,135.8,49.38,37.04,0,0,NO
SAN JOSE_BALSAPUERTO,SAN JOSE_BALSAPUERTO,SAN JOSE,BALSAPUERTO,ALTO AMAZONAS,83,0,0,5,0,0,0,0,0,0,60.24,0,0,0,0,NO
SAN JOSE DE CABALLITO_BALSAPUERTO,SAN JOSE DE CABALLITO_BALSAPUERTO,SAN JOSE DE CABALLITO,BALSAPUERTO,ALTO AMAZONAS,173,0,0,1,1,9,8,0,0,0,5.78,5.78,52.02,46.24,0,NO
SAN JOSE YANAYACU_BALSAPUERTO,SAN JOSE YANAYACU_BALSAPUERTO,SAN JOSE YANAYACU,BALSAPUERTO,ALTO AMAZONAS,98,0,0,0,4,3,4,1,0,0,0,40.82,30.61,40.82,10.2,NO
SAN JUAN_BALSAPUERTO,SAN JUAN_BALSAPUERTO,SAN JUAN,BALSAPUERTO,ALTO AMAZONAS,195,0,0,13,21,12,5,2,0,0,66.67,107.69,61.54,25.64,10.26,NO
SAN JUAN DE ARMANAYACU_BALSAPUERTO,SAN JUAN DE ARMANAYACU_BALSAPUERTO,SAN JUAN DE ARMANAYACU,BALSAPUERTO,ALTO AMAZONAS,89,0,0,0,0,3,1,0,0,0,0,0,33.71,11.24,0,NO
SAN JUAN DE PALOMETAYACU_BALSAPUERTO,SAN JUAN DE PALOMETAYACU_BALSAPUERTO,SAN JUAN DE PALOMETAYACU,BALSAPUERTO,ALTO AMAZONAS,0,0,0,12,11,13,1,0,0,0,0,0,0,0,0,NO
SAN LORENZO_BALSAPUERTO,SAN LORENZO_BALSAPUERTO,SAN LORENZO,BALSAPUERTO,ALTO AMAZONAS,130,0,0,4,1,5,3,2,0,0,30.77,7.69,38.46,23.08,15.38,NO
SAN MARCOS DE PILLINGUE_BALSAPUERTO,SAN MARCOS DE PILLINGUE_BALSAPUERTO,SAN MARCOS DE PILLINGUE,BALSAPUERTO,ALTO AMAZONAS,50,0,0,0,0,13,25,13,0,0,0,0,260,500,260,NO
SAN MIGUEL_BALSAPUERTO,SAN MIGUEL_BALSAPUERTO,SAN MIGUEL,BALSAPUERTO,ALTO AMAZONAS,130,0,0,0,2,3,1,0,0,0,0,15.38,23.08,7.69,0,NO
SAN PEDRO_BALSAPUERTO,SAN PEDRO_BALSAPUERTO,SAN PEDRO,BALSAPUERTO,ALTO AMAZONAS,118,0,0,0,0,0,1,0,0,0,0,0,0,8.47,0,NO
SAN PEDRO DE POROTOYACU_BALSAPUERTO,SAN PEDRO DE POROTOYACU_BALSAPUERTO,SAN PEDRO DE POROTOYACU,BALSAPUERTO,ALTO AMAZONAS,64,0,0,2,0,2,8,3,0,0,31.25,0,31.25,125,46.88,NO
SAN VICENTE_BALSAPUERTO,SAN VICENTE_BALSAPUERTO,SAN VICENTE,BALSAPUERTO,ALTO AMAZONAS,102,0,0,5,28,31,26,1,0,0,49.02,274.51,303.92,254.9,9.8,NO
SANTA ANITA_BALSAPUERTO,SANTA ANITA_BALSAPUERTO,SANTA ANITA,BALSAPUERTO,ALTO AMAZONAS,42,0,0,2,0,0,0,0,0,0,47.62,0,0,0,0,NO
SANTA CLARA_BALSAPUERTO,SANTA CLARA_BALSAPUERTO,SANTA CLARA,BALSAPUERTO,ALTO AMAZONAS,146,0,0,10,25,21,33,6,0,0,68.49,171.23,143.84,226.03,41.1,NO
SANTA CLARA DE PILLINGUE_BALSAPUERTO,SANTA CLARA DE PILLINGUE_BALSAPUERTO,SANTA CLARA DE PILLINGUE,BALSAPUERTO,ALTO AMAZONAS,145,0,0,0,1,13,6,5,0,0,0,6.9,89.66,41.38,34.48,NO
SANTA MARTHA_BALSAPUERTO,SANTA MARTHA_BALSAPUERTO,SANTA MARTHA,BALSAPUERTO,ALTO AMAZONAS,68,0,8,22,25,46,56,4,0,117.65,323.53,367.65,676.47,823.53,58.82,NO
SANTA MERCEDES_BALSAPUERTO,SANTA MERCEDES_BALSAPUERTO,SANTA MERCEDES,BALSAPUERTO,ALTO AMAZONAS,25,0,0,1,41,85,26,1,0,0,40,1640,3400,1040,40,NO
SANTA RITA_BALSAPUERTO,SANTA RITA_BALSAPUERTO,SANTA RITA,BALSAPUERTO,ALTO AMAZONAS,163,0,0,1,3,5,4,2,0,0,6.13,18.4,30.67,24.54,12.27,NO
SANTA ROSA_BALSAPUERTO,SANTA ROSA_BALSAPUERTO,SANTA ROSA,BALSAPUERTO,ALTO AMAZONAS,66,0,0,0,1,2,1,3,0,0,0,15.15,30.3,15.15,45.45,NO
SANTA SOFIA_BALSAPUERTO,SANTA SOFIA_BALSAPUERTO,SANTA SOFIA,BALSAPUERTO,ALTO AMAZONAS,54,0,0,1,2,9,3,0,0,0,18.52,37.04,166.67,55.56,0,NO
SOLEDAD_BALSAPUERTO,SOLEDAD_BALSAPUERTO,SOLEDAD,BALSAPUERTO,ALTO AMAZONAS,561,0,0,58,159,108,80,14,0,0,103.39,283.42,192.51,142.6,24.96,NO
TRANCAYACU_BALSAPUERTO,TRANCAYACU_BALSAPUERTO,TRANCAYACU,BALSAPUERTO,ALTO AMAZONAS,136,1,0,2,0,2,2,0,7.35,0,14.71,0,14.71,14.71,0,NO
TRES UNIDOS_BALSAPUERTO,TRES UNIDOS_BALSAPUERTO,TRES UNIDOS,BALSAPUERTO,ALTO AMAZONAS,153,0,1,0,0,0,0,0,0,6.54,0,0,0,0,0,NO
VILLA ALEGRE_BALSAPUERTO,VILLA ALEGRE_BALSAPUERTO,VILLA ALEGRE,BALSAPUERTO,ALTO AMAZONAS,101,0,0,5,0,1,0,0,0,0,49.5,0,9.9,0,0,NO
VISTA ALEGRE_BALSAPUERTO,VISTA ALEGRE_BALSAPUERTO,VISTA ALEGRE,BALSAPUERTO,ALTO AMAZONAS,793,0,0,2,0,0,0,0,0,0,2.52,0,0,0,0,NO
BELLAVISTA_JEBEROS,BELLAVISTA_JEBEROS,BELLAVISTA,JEBEROS,ALTO AMAZONAS,394,0,0,0,2,3,0,0,0,0,0,5.08,7.61,0,0,NO
BETHEL_JEBEROS,BETHEL_JEBEROS,BETHEL,JEBEROS,ALTO AMAZONAS,294,0,0,3,12,44,4,0,0,0,10.2,40.82,149.66,13.61,0,NO
JEBERILLOS_YURIMAGUAS,JEBERILLOS_YURIMAGUAS,JEBERILLOS,YURIMAGUAS,ALTO AMAZONAS,18,0,0,0,1,0,1,0,0,0,0,55.56,0,55.56,0,NO
JEBEROS_JEBEROS,JEBEROS_JEBEROS,JEBEROS,JEBEROS,ALTO AMAZONAS,2081,0,0,6,28,15,2,0,0,0,2.88,13.46,7.21,0.96,0,NO
MONTE CRISTO_JEBEROS,MONTE CRISTO_JEBEROS,MONTE CRISTO,JEBEROS,ALTO AMAZONAS,239,0,0,0,2,1,0,1,0,0,0,8.37,4.18,0,4.18,NO
NUEVO JORDANIA_JEBEROS,NUEVO JORDANIA_JEBEROS,NUEVO JORDANIA,JEBEROS,ALTO AMAZONAS,88,0,0,0,1,0,0,0,0,0,0,11.36,0,0,0,NO
NUEVO JUNIN_JEBEROS,NUEVO JUNIN_JEBEROS,NUEVO JUNIN,JEBEROS,ALTO AMAZONAS,98,0,0,7,47,1,0,0,0,0,71.43,479.59,10.2,0,0,NO
LAS PALPAS_BARRANCA,LAS PALPAS_BARRANCA,LAS PALPAS,BARRANCA,ALTO AMAZONAS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NO
PUNCHANA_JEBEROS,PUNCHANA_JEBEROS,PUNCHANA,JEBEROS,ALTO AMAZONAS,173,0,0,0,0,1,0,0,0,0,0,0,5.78,0,0,NO
SANTA FE_JEBEROS,SANTA FE_JEBEROS,SANTA FE,JEBEROS,ALTO AMAZONAS,60,0,0,0,2,1,0,0,0,0,0,33.33,16.67,0,0,NO
6 DE JULIO_LAGUNAS,6 DE JULIO_LAGUNAS,6 DE JULIO,LAGUNAS,ALTO AMAZONAS,366,22,9,4,1,1,4,0,60.11,24.59,10.93,2.73,2.73,10.93,0,NO
ACHUAL TIPISHCA_LAGUNAS,ACHUAL TIPISHCA_LAGUNAS,ACHUAL TIPISHCA,LAGUNAS,ALTO AMAZONAS,404,0,0,1,1,0,0,0,0,0,2.48,2.48,0,0,0,NO
ALIANZA DEL HUACAMAYO_LAGUNAS,ALIANZA DEL HUACAMAYO_LAGUNAS,ALIANZA DEL HUACAMAYO,LAGUNAS,ALTO AMAZONAS,36,0,2,1,3,9,9,1,0,55.56,27.78,83.33,250,250,27.78,NO
ARAHUANTE_LAGUNAS,ARAHUANTE_LAGUNAS,ARAHUANTE,LAGUNAS,ALTO AMAZONAS,784,2,1,0,0,1,0,0,2.55,1.28,0,0,1.28,0,0,NO
UNION BARRANQUITA_LAGUNAS,UNION BARRANQUITA_LAGUNAS,UNION BARRANQUITA,LAGUNAS,ALTO AMAZONAS,63,2,22,9,5,6,53,8,31.75,349.21,142.86,79.37,95.24,841.27,126.98,NO
BELLAVISTA_LAGUNAS,BELLAVISTA_LAGUNAS,BELLAVISTA,LAGUNAS,ALTO AMAZONAS,30,0,0,2,0,0,0,0,0,0,66.67,0,0,0,0,NO
ESPERANZA_LAGUNAS,ESPERANZA_LAGUNAS,ESPERANZA,LAGUNAS,ALTO AMAZONAS,158,1,0,0,0,0,0,0,6.33,0,0,0,0,0,0,NO
HUANCAYO_LAGUNAS,HUANCAYO_LAGUNAS,HUANCAYO,LAGUNAS,ALTO AMAZONAS,127,5,71,25,23,23,86,11,39.37,559.06,196.85,181.1,181.1,677.17,86.61,NO
LAGUNAS_LAGUNAS,LAGUNAS_LAGUNAS,LAGUNAS,LAGUNAS,ALTO AMAZONAS,6377,1,6,2,1,3,5,0,0.16,0.94,0.31,0.16,0.47,0.78,0,NO
NO PERTENECE A LAGUNAS_LAGUNAS,#N/A,NO PERTENECE A LAGUNAS,LAGUNAS,ALTO AMAZONAS,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NO
NUCURAY_LAGUNAS,NUCURAY_LAGUNAS,NUCURAY,LAGUNAS,ALTO AMAZONAS,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,NO
NUEVA BELLAVISTA_LAGUNAS,NUEVA BELLAVISTA_LAGUNAS,NUEVA BELLAVISTA,LAGUNAS,ALTO AMAZONAS,55,0,0,0,0,0,1,0,0,0,0,0,0,18.18,0,NO
NUEVO CORINA_LAGUNAS,NUEVO CORINA_LAGUNAS,NUEVO CORINA,LAGUNAS,ALTO AMAZONAS,31,1,0,0,0,0,0,0,32.26,0,0,0,0,0,0,NO
NUEVA CREACION_LAGUNAS,NUEVA CREACION_LAGUNAS,NUEVA CREACION,LAGUNAS,ALTO AMAZONAS,55,1,8,2,9,7,30,1,18.18,145.45,36.36,163.64,127.27,545.45,18.18,NO
NUEVO ARICA_LAGUNAS,NUEVO ARICA_LAGUNAS,NUEVO ARICA,LAGUNAS,ALTO AMAZONAS,120,2,9,5,11,9,17,0,16.67,75,41.67,91.67,75,141.67,0,NO
