"","village_district","Village","District","Province","Latitude","Longitude","Population.size","dist_minutes_cat1","dist_minutes_cat3","X2021","X2022","order","ipa.2021","ipa.2022"
"11","NUEVO HORIZONTE_SAN JUAN BAUTISTA","NUEVO HORIZONTE","SAN JUAN BAUTISTA","Maynas",-73.44612307,-4.07150914,316,3,75,0,7,71,0,22.15189873
"12","LIBERTAD_IQUITOS","LIBERTAD","IQUITOS","Maynas",-73.45891341,-3.81895993,264,248,354,3,31,22,11.36363636,117.4242424
"13","PUERTO ALMENDRA_SAN JUAN BAUTISTA","PUERTO ALMENDRA","SAN JUAN BAUTISTA","Maynas",-73.37823118,-3.83100579,227,6,46,1,28,82,4.405286344,123.3480176
"14","TARAPOTO_IQUITOS","TARAPOTO","IQUITOS","Maynas",-73.40571852,-3.80483258,165,0,106,0,10,28,0,60.60606061
"15","NUEVO MILAGRO_SAN JUAN BAUTISTA","NUEVO MILAGRO","SAN JUAN BAUTISTA","Maynas",-73.37414075,-3.93885069,165,9,54,0,6,72,0,36.36363636
"16","SAN ANTONIO_SAN JUAN BAUTISTA","SAN ANTONIO","SAN JUAN BAUTISTA","Maynas",-73.379614,-4.026352,158,16,79,0,3,85,0,18.98734177
"17","MOMONCILLO_PUNCHANA","MOMONCILLO","PUNCHANA","Maynas",-73.26928472,-3.67263588,137,48,60,0,12,36,0,87.59124088
"18","PAUJIL I ZONA_SAN JUAN BAUTISTA","PAUJIL I ZONA","SAN JUAN BAUTISTA","Maynas",-73.43779829,-4.04225443,135,3,75,0,12,78,0,88.88888889
"19","PAUJIL II ZONA_SAN JUAN BAUTISTA","PAUJIL II ZONA","SAN JUAN BAUTISTA","Maynas",-73.43779829,-4.04225443,135,3,75,0,8,79,0,59.25925926
"20","HUATURI_IQUITOS","HUATURI","IQUITOS","Maynas",-73.40501226,-3.77558485,129,0,106,3,16,20,23.25581395,124.0310078
"21","SALVADOR (PAVA QUEVADA)_ALTO NANAY","SALVADOR (PAVA QUEVADA)","ALTO NANAY","Maynas",-73.90014383,-3.89107522,95,31,171,0,3,12,0,31.57894737
"22","PALO SECO_SAN JUAN BAUTISTA","PALO SECO","SAN JUAN BAUTISTA","Maynas",-73.37134055,-4.00353959,94,112,171,0,3,76,0,31.91489362
"23","NUEVO SAN ANTONIO_PUNCHANA","NUEVO SAN ANTONIO","PUNCHANA","Maynas",-73.33319476,-3.64587537,87,23,143,0,9,40,0,103.4482759
"24","LOBOYACU_IQUITOS","LOBOYACU","IQUITOS","Maynas",-73.39004191,-3.75148644,83,90,206,1,13,23,12.04819277,156.626506
"25","SANTO TOMAS DE CAPIRONAL_PUNCHANA","SANTO TOMAS DE CAPIRONAL","PUNCHANA","Maynas",-73.36174061,-3.57877907,78,197,317,1,6,50,12.82051282,76.92307692
"26","PISCO_ALTO NANAY","PISCO","ALTO NANAY","Maynas",-73.7136298,-3.89052285,75,14,154,8,8,9,106.6666667,106.6666667
"27","SAN ANTONIO_PUNCHANA","SAN ANTONIO","PUNCHANA","Maynas",-73.25994,-3.627738333,70,72,88,0,3,46,0,42.85714286
"28","MISHANA_SAN JUAN BAUTISTA","MISHANA","SAN JUAN BAUTISTA","Maynas",-73.49216646,-3.88150894,62,429,476,0,3,67,0,48.38709677
"29","FRAY MARTIN_IQUITOS","FRAY MARTIN","IQUITOS","Maynas",-73.38177373,-3.690831489,57,317,433,0,4,19,0,70.1754386
"30","UNION FAMILIAR_PUNCHANA","UNION FAMILIAR","PUNCHANA","Maynas",-73.38096847,-3.54480853,53,205,496,0,7,52,0,132.0754717
"31","FLOR DE AGOSTO_PUNCHANA","FLOR DE AGOSTO","PUNCHANA","Maynas",-73.34517844,-3.63324797,47,55,175,1,6,32,21.27659574,127.6595745
"32","ALMIRANTE MIGUEL GRAU_PUNCHANA","ALMIRANTE MIGUEL GRAU","PUNCHANA","Maynas",-73.37300504,-3.57046308,28,249,369,0,3,31,0,107.1428571
